Date,KINDEX 레버리지
2017-11-20,7070.0
2017-11-21,7100.0
2017-11-22,7170.0
2017-11-23,7160.0
2017-11-24,7170.0
2017-11-27,6935.0
2017-11-28,6960.0
2017-11-29,6965.0
2017-11-30,6725.0
2017-12-01,6725.0
2017-12-04,6855.0
2017-12-05,6910.0
2017-12-06,6715.0
2017-12-07,6675.0
2017-12-08,6710.0
2017-12-11,6725.0
2017-12-12,6680.0
2017-12-13,6770.0
2017-12-14,6795.0
2017-12-15,6780.0
2017-12-18,6795.0
2017-12-19,6800.0
2017-12-20,6770.0
2017-12-21,6515.0
2017-12-22,6565.0
2017-12-26,6510.0
2017-12-27,6640.0
2017-12-28,6815.0
2018-01-02,6875.0
2018-01-03,6945.0
2018-01-04,6835.0
2018-01-05,6990.0
2018-01-08,7085.0
2018-01-09,7045.0
2018-01-10,6970.0
2018-01-11,6895.0
2018-01-12,6930.0
2018-01-15,6960.0
2018-01-16,7040.0
2018-01-17,7010.0
2018-01-18,7030.0
2018-01-19,7040.0
2018-01-22,6905.0
2018-01-23,7075.0
2018-01-24,7095.0
2018-01-25,7235.0
2018-01-26,7265.0
2018-01-29,7400.0
2018-01-30,7215.0
2018-01-31,7220.0
2018-02-01,7205.0
2018-02-02,6935.0
2018-02-05,6755.0
2018-02-06,6545.0
2018-02-07,6245.0
2018-02-08,6350.0
2018-02-09,6005.0
2018-02-12,6135.0
2018-02-13,6220.0
2018-02-14,6365.0
2018-02-19,6450.0
2018-02-20,6305.0
2018-02-21,6370.0
2018-02-22,6290.0
2018-02-23,6460.0
2018-02-26,6490.0
2018-02-27,6480.0
2018-02-28,6320.0
2018-03-02,6135.0
2018-03-05,5955.0
2018-03-06,6200.0
2018-03-07,6195.0
2018-03-08,6330.0
2018-03-09,6495.0
2018-03-12,6615.0
2018-03-13,6660.0
2018-03-14,6645.0
2018-03-15,6705.0
2018-03-16,6690.0
2018-03-19,6595.0
2018-03-20,6630.0
2018-03-21,6640.0
2018-03-22,6690.0
2018-03-23,6255.0
2018-03-26,6345.0
2018-03-27,6400.0
2018-03-28,6220.0
2018-03-29,6350.0
2018-03-30,6390.0
2018-04-02,6365.0
2018-04-03,6330.0
2018-04-04,6125.0
2018-04-05,6285.0
2018-04-06,6220.0
2018-04-09,6320.0
2018-04-10,6345.0
2018-04-11,6300.0
2018-04-12,6295.0
2018-04-13,6355.0
2018-04-16,6380.0
2018-04-17,6360.0
2018-04-18,6490.0
2018-04-19,6570.0
2018-04-20,6500.0
2018-04-23,6480.0
2018-04-24,6415.0
2018-04-25,6320.0
2018-04-26,6470.0
2018-04-27,6590.0
2018-04-30,6710.0
2018-05-02,6590.0
2018-05-03,6540.0
2018-05-04,6445.0
2018-05-08,6385.0
2018-05-09,6345.0
2018-05-10,6430.0
2018-05-11,6490.0
2018-05-14,6470.0
2018-05-15,6365.0
2018-05-16,6405.0
2018-05-17,6350.0
2018-05-18,6380.0
2018-05-21,6415.0
2018-05-23,6480.0
2018-05-24,6450.0
2018-05-25,6480.0
2018-05-28,6530.0
2018-05-29,6415.0
2018-05-30,6125.0
2018-05-31,6155.0
2018-06-01,6245.0
2018-06-04,6310.0
2018-06-05,6335.0
2018-06-07,6450.0
2018-06-08,6340.0
2018-06-11,6430.0
2018-06-12,6430.0
2018-06-14,6190.0
2018-06-15,6120.0
2018-06-18,5975.0
2018-06-19,5820.0
2018-06-20,5900.0
2018-06-21,5800.0
2018-06-22,5880.0
2018-06-25,5890.0
2018-06-26,5865.0
2018-06-27,5835.0
2018-06-28,5715.0
2018-06-29,5740.0
2018-07-02,5495.0
2018-07-03,5510.0
2018-07-04,5475.0
2018-07-05,5445.0
2018-07-06,5500.0
2018-07-09,5600.0
2018-07-10,5625.0
2018-07-11,5550.0
2018-07-12,5590.0
2018-07-13,5700.0
2018-07-16,5665.0
2018-07-17,5655.0
2018-07-18,5620.0
2018-07-19,5585.0
2018-07-20,5650.0
2018-07-23,5565.0
2018-07-24,5585.0
2018-07-25,5570.0
2018-07-26,5630.0
2018-07-27,5680.0
2018-07-30,5650.0
2018-07-31,5660.0
2018-08-01,5710.0
2018-08-02,5510.0
2018-08-03,5585.0
2018-08-06,5580.0
2018-08-07,5645.0
2018-08-08,5650.0
2018-08-09,5630.0
2018-08-10,5525.0
2018-08-13,5380.0
2018-08-14,5430.0
2018-08-16,5320.0
2018-08-17,5325.0
2018-08-20,5310.0
2018-08-21,5415.0
2018-08-22,5465.0
2018-08-23,5505.0
2018-08-24,5570.0
2018-08-27,5615.0
2018-08-28,5625.0
2018-08-29,5645.0
2018-08-30,5655.0
2018-08-31,5710.0
2018-09-03,5630.0
2018-09-04,5685.0
2018-09-05,5555.0
2018-09-06,5515.0
2018-09-07,5470.0
2018-09-10,5500.0
2018-09-11,5465.0
2018-09-12,5455.0
2018-09-13,5470.0
2018-09-14,5635.0
2018-09-17,5535.0
2018-09-18,5600.0
2018-09-19,5610.0
2018-09-20,5685.0
2018-09-21,5735.0
2018-09-27,5830.0
2018-09-28,5760.0
2018-10-01,5740.0
2018-10-02,5625.0
