Date,TIGER 은행
2017-12-19,9325.0
2017-12-20,9420.0
2017-12-21,9435.0
2017-12-22,9455.0
2017-12-26,9535.0
2017-12-27,9615.0
2017-12-28,9590.0
2018-01-02,9675.0
2018-01-03,9675.0
2018-01-04,9655.0
2018-01-05,9760.0
2018-01-08,10100.0
2018-01-09,10145.0
2018-01-10,10180.0
2018-01-11,10275.0
2018-01-12,10350.0
2018-01-15,10300.0
2018-01-16,10080.0
2018-01-17,10130.0
2018-01-18,10085.0
2018-01-19,10310.0
2018-01-22,10115.0
2018-01-23,10370.0
2018-01-24,10240.0
2018-01-25,10125.0
2018-01-26,10120.0
2018-01-29,10170.0
2018-01-30,10215.0
2018-01-31,10185.0
2018-02-01,10115.0
2018-02-02,10115.0
2018-02-05,10300.0
2018-02-06,9850.0
2018-02-07,9655.0
2018-02-08,9595.0
2018-02-09,9415.0
2018-02-12,9725.0
2018-02-13,9750.0
2018-02-14,9675.0
2018-02-19,9930.0
2018-02-20,9875.0
2018-02-21,9815.0
2018-02-22,9825.0
2018-02-23,9970.0
2018-02-26,9880.0
2018-02-27,9840.0
2018-02-28,9750.0
2018-03-02,9675.0
2018-03-05,9460.0
2018-03-06,9395.0
2018-03-07,9260.0
2018-03-08,9295.0
2018-03-09,9340.0
2018-03-12,9635.0
2018-03-13,9390.0
2018-03-14,9275.0
2018-03-15,9285.0
2018-03-16,9410.0
2018-03-19,9440.0
2018-03-20,9415.0
2018-03-21,9455.0
2018-03-22,9600.0
2018-03-23,9265.0
2018-03-26,9205.0
2018-03-27,9270.0
2018-03-28,9035.0
2018-03-29,9100.0
2018-03-30,9105.0
2018-04-02,8920.0
2018-04-03,8680.0
2018-04-04,8645.0
2018-04-05,8705.0
2018-04-06,8735.0
2018-04-09,8675.0
2018-04-10,8885.0
2018-04-11,8840.0
2018-04-12,8925.0
2018-04-13,9070.0
2018-04-16,9050.0
2018-04-17,9015.0
2018-04-18,9055.0
2018-04-19,9155.0
2018-04-20,9100.0
2018-04-23,9380.0
2018-04-24,9495.0
2018-04-25,9385.0
2018-04-26,9420.0
2018-04-27,9150.0
2018-04-30,9280.0
2018-05-02,9200.0
2018-05-03,9080.0
2018-05-04,8985.0
2018-05-08,8895.0
2018-05-09,8920.0
2018-05-10,8965.0
2018-05-11,9020.0
2018-05-14,9050.0
2018-05-15,8950.0
2018-05-16,9055.0
2018-05-17,8990.0
2018-05-18,8825.0
2018-05-21,8915.0
2018-05-23,8790.0
2018-05-24,8825.0
2018-05-25,8710.0
2018-05-28,8660.0
2018-05-29,8620.0
2018-05-30,8370.0
2018-05-31,8300.0
2018-06-01,8380.0
2018-06-04,8650.0
2018-06-05,8720.0
2018-06-07,8950.0
2018-06-08,8925.0
2018-06-11,9030.0
2018-06-12,9050.0
2018-06-14,8895.0
2018-06-15,8710.0
2018-06-18,8825.0
2018-06-19,8700.0
2018-06-20,8830.0
2018-06-21,8455.0
2018-06-22,8500.0
2018-06-25,8615.0
2018-06-26,8610.0
2018-06-27,8530.0
2018-06-28,8365.0
2018-06-29,8495.0
2018-07-02,8450.0
2018-07-03,8315.0
2018-07-04,8335.0
2018-07-05,8345.0
2018-07-06,8585.0
2018-07-09,8755.0
2018-07-10,8635.0
2018-07-11,8585.0
2018-07-12,8485.0
2018-07-13,8720.0
2018-07-16,8620.0
2018-07-17,8700.0
2018-07-18,8605.0
2018-07-19,8490.0
2018-07-20,8515.0
2018-07-23,8605.0
2018-07-24,8555.0
2018-07-25,8690.0
2018-07-26,8580.0
2018-07-27,8630.0
2018-07-30,8640.0
2018-07-31,8610.0
2018-08-01,8655.0
2018-08-02,8490.0
2018-08-03,8530.0
2018-08-06,8550.0
2018-08-07,8445.0
2018-08-08,8555.0
2018-08-09,8410.0
2018-08-10,8405.0
2018-08-13,8295.0
2018-08-14,8360.0
2018-08-16,8315.0
2018-08-17,8305.0
2018-08-20,8360.0
2018-08-21,8355.0
2018-08-22,8295.0
2018-08-23,8225.0
2018-08-24,8265.0
2018-08-27,8400.0
2018-08-28,8465.0
2018-08-29,8480.0
2018-08-30,8335.0
2018-08-31,8365.0
2018-09-03,8310.0
2018-09-04,8335.0
2018-09-05,8185.0
2018-09-06,8140.0
2018-09-07,8195.0
2018-09-10,8220.0
2018-09-11,8230.0
2018-09-12,8280.0
2018-09-13,8395.0
2018-09-14,8330.0
2018-09-17,8250.0
2018-09-18,8170.0
2018-09-19,8160.0
2018-09-20,8330.0
2018-09-21,8490.0
2018-09-27,8535.0
2018-09-28,8650.0
2018-10-01,8770.0
2018-10-02,8700.0
2018-10-04,8825.0
2018-10-05,8840.0
