Date,KBSTAR 200
2017-05-08,30120.0
2017-05-10,29830.0
2017-05-11,30175.0
2017-05-12,30080.0
2017-05-15,30135.0
2017-05-16,30180.0
2017-05-17,30155.0
2017-05-18,30115.0
2017-05-19,30060.0
2017-05-22,30295.0
2017-05-23,30385.0
2017-05-24,30410.0
2017-05-25,30765.0
2017-05-26,30945.0
2017-05-29,30935.0
2017-05-30,30735.0
2017-05-31,30750.0
2017-06-01,30650.0
2017-06-02,31030.0
2017-06-05,30995.0
2017-06-07,30805.0
2017-06-08,30905.0
2017-06-09,31180.0
2017-06-12,30870.0
2017-06-13,31050.0
2017-06-14,31050.0
2017-06-15,30895.0
2017-06-16,30910.0
2017-06-19,31105.0
2017-06-20,31175.0
2017-06-21,30975.0
2017-06-22,31185.0
2017-06-23,31250.0
2017-06-26,31425.0
2017-06-27,31435.0
2017-06-28,31355.0
2017-06-29,31560.0
2017-06-30,31475.0
2017-07-03,31535.0
2017-07-04,31330.0
2017-07-05,31455.0
2017-07-06,31480.0
2017-07-07,31350.0
2017-07-10,31430.0
2017-07-11,31625.0
2017-07-12,31615.0
2017-07-13,31955.0
2017-07-14,32025.0
2017-07-17,32150.0
2017-07-18,32145.0
2017-07-19,32190.0
2017-07-20,32345.0
2017-07-21,32480.0
2017-07-24,32470.0
2017-07-25,32310.0
2017-07-26,32240.0
2017-07-27,32335.0
2017-07-28,31690.0
2017-07-31,31685.0
2017-08-01,31950.0
2017-08-02,32035.0
2017-08-03,31495.0
2017-08-04,31640.0
2017-08-07,31670.0
2017-08-08,31595.0
2017-08-09,31240.0
2017-08-10,31080.0
2017-08-11,30520.0
2017-08-14,30780.0
2017-08-16,30965.0
2017-08-17,31150.0
2017-08-18,31110.0
2017-08-21,31080.0
2017-08-22,31195.0
2017-08-23,31210.0
2017-08-24,31355.0
2017-08-25,31385.0
2017-08-28,31220.0
2017-08-29,31115.0
2017-08-30,31235.0
2017-08-31,31055.0
2017-09-01,31030.0
2017-09-04,30685.0
2017-09-05,30685.0
2017-09-06,30595.0
2017-09-07,30970.0
2017-09-08,31000.0
2017-09-11,31300.0
2017-09-12,31310.0
2017-09-13,31330.0
2017-09-14,31465.0
2017-09-15,31615.0
2017-09-18,32100.0
2017-09-19,32080.0
2017-09-20,32090.0
2017-09-21,32115.0
2017-09-22,31900.0
2017-09-25,31900.0
2017-09-26,31725.0
2017-09-27,31620.0
2017-09-28,31665.0
2017-09-29,31900.0
2017-10-10,32495.0
2017-10-11,32820.0
2017-10-12,33050.0
2017-10-13,33015.0
2017-10-16,33080.0
2017-10-17,33155.0
2017-10-18,33160.0
2017-10-19,32975.0
2017-10-20,33140.0
2017-10-23,33240.0
2017-10-24,33225.0
2017-10-25,33235.0
2017-10-26,32990.0
2017-10-27,33225.0
2017-10-30,33230.0
2017-10-31,33630.0
2017-11-01,34125.0
2017-11-02,33995.0
2017-11-03,34085.0
2017-11-06,33930.0
2017-11-07,33895.0
2017-11-08,34030.0
2017-11-09,33950.0
2017-11-10,33830.0
2017-11-13,33670.0
2017-11-14,33645.0
2017-11-15,33450.0
2017-11-16,33645.0
2017-11-17,33645.0
2017-11-20,33495.0
2017-11-21,33570.0
2017-11-22,33770.0
2017-11-23,33715.0
2017-11-24,33765.0
2017-11-27,33205.0
2017-11-28,33305.0
2017-11-29,33295.0
2017-11-30,32720.0
2017-12-01,32725.0
2017-12-04,33060.0
2017-12-05,33180.0
2017-12-06,32690.0
2017-12-07,32590.0
2017-12-08,32690.0
2017-12-11,32745.0
2017-12-12,32600.0
2017-12-13,32870.0
2017-12-14,32835.0
2017-12-15,32855.0
2017-12-18,32910.0
2017-12-19,32900.0
2017-12-20,32835.0
2017-12-21,32220.0
2017-12-22,32360.0
2017-12-26,32230.0
2017-12-27,32580.0
2017-12-28,33115.0
2018-01-02,33160.0
2018-01-03,33275.0
2018-01-04,33030.0
2018-01-05,33450.0
2018-01-08,33650.0
2018-01-09,33570.0
2018-01-10,33365.0
2018-01-11,33195.0
2018-01-12,33265.0
2018-01-15,33310.0
2018-01-16,33590.0
2018-01-17,33500.0
2018-01-18,33500.0
2018-01-19,33515.0
2018-01-22,33200.0
2018-01-23,33655.0
2018-01-24,33685.0
2018-01-25,33985.0
2018-01-26,34125.0
2018-01-29,34340.0
2018-01-30,33855.0
2018-01-31,33865.0
2018-02-01,33870.0
2018-02-02,33240.0
2018-02-05,32870.0
2018-02-06,32375.0
2018-02-07,31580.0
2018-02-08,31825.0
2018-02-09,31005.0
2018-02-12,31325.0
2018-02-13,31600.0
2018-02-14,31950.0
2018-02-19,32160.0
2018-02-20,31770.0
2018-02-21,31920.0
2018-02-22,31765.0
2018-02-23,32225.0
2018-02-26,32275.0
2018-02-27,32220.0
2018-02-28,31815.0
2018-03-02,31370.0
2018-03-05,30960.0
2018-03-06,31585.0
2018-03-07,31605.0
2018-03-08,31890.0
2018-03-09,32290.0
2018-03-12,32600.0
2018-03-13,32775.0
2018-03-14,32750.0
2018-03-15,32860.0
2018-03-16,32795.0
2018-03-19,32550.0
2018-03-20,32715.0
2018-03-21,32735.0
2018-03-22,32870.0
2018-03-23,31700.0
2018-03-26,32020.0
2018-03-27,32185.0
2018-03-28,31755.0
2018-03-29,32030.0
2018-03-30,32155.0
2018-04-02,32040.0
2018-04-03,31950.0
2018-04-04,31460.0
2018-04-05,31915.0
2018-04-06,31760.0
2018-04-09,31945.0
2018-04-10,32005.0
2018-04-11,31920.0
2018-04-12,32005.0
2018-04-13,32120.0
2018-04-16,32125.0
2018-04-17,32075.0
2018-04-18,32455.0
2018-04-19,32630.0
2018-04-20,32435.0
2018-04-23,32385.0
2018-04-24,32235.0
2018-04-25,32020.0
2018-04-26,32400.0
2018-04-27,32230.0
2018-04-30,32405.0
2018-05-02,32225.0
2018-05-03,32105.0
2018-05-04,31870.0
2018-05-08,31735.0
2018-05-09,31630.0
2018-05-10,31845.0
2018-05-11,32040.0
2018-05-14,31955.0
2018-05-15,31675.0
2018-05-16,31775.0
2018-05-17,31645.0
2018-05-18,31750.0
2018-05-21,31815.0
2018-05-23,32000.0
2018-05-24,31920.0
2018-05-25,31960.0
2018-05-28,32090.0
2018-05-29,31805.0
2018-05-30,31115.0
2018-05-31,31270.0
2018-06-01,31435.0
2018-06-04,31625.0
2018-06-05,31700.0
2018-06-07,31955.0
2018-06-08,31655.0
2018-06-11,31905.0
2018-06-12,31865.0
2018-06-14,31260.0
2018-06-15,31110.0
2018-06-18,30760.0
2018-06-19,30365.0
2018-06-20,30595.0
2018-06-21,30330.0
2018-06-22,30555.0
2018-06-25,30580.0
2018-06-26,30505.0
2018-06-27,30415.0
2018-06-28,30110.0
2018-06-29,30215.0
2018-07-02,29540.0
2018-07-03,29575.0
2018-07-04,29485.0
2018-07-05,29410.0
2018-07-06,29630.0
2018-07-09,29815.0
2018-07-10,29860.0
2018-07-11,29720.0
2018-07-12,29805.0
2018-07-13,30110.0
2018-07-16,29985.0
2018-07-17,29960.0
2018-07-18,29895.0
2018-07-19,29825.0
2018-07-20,29935.0
2018-07-23,29710.0
2018-07-24,29815.0
2018-07-25,29740.0
2018-07-26,29920.0
2018-07-27,30025.0
2018-07-30,29850.0
2018-07-31,29895.0
2018-08-01,30005.0
2018-08-02,29480.0
2018-08-03,29695.0
2018-08-06,29675.0
2018-08-07,29850.0
2018-08-08,29850.0
2018-08-09,29865.0
2018-08-10,29530.0
2018-08-13,29110.0
2018-08-14,29260.0
2018-08-16,28960.0
2018-08-17,28995.0
2018-08-20,29025.0
2018-08-21,29320.0
2018-08-22,29425.0
2018-08-23,29535.0
2018-08-24,29670.0
2018-08-27,29815.0
2018-08-28,29840.0
2018-08-29,29935.0
2018-08-30,29960.0
2018-08-31,30105.0
2018-09-03,29880.0
2018-09-04,30020.0
2018-09-05,29645.0
2018-09-06,29575.0
2018-09-07,29445.0
2018-09-10,29495.0
2018-09-11,29395.0
2018-09-12,29375.0
2018-09-13,29400.0
2018-09-14,29845.0
2018-09-17,29630.0
2018-09-18,29770.0
2018-09-19,29800.0
2018-09-20,30040.0
2018-09-21,30175.0
2018-09-27,30405.0
2018-09-28,30230.0
2018-10-01,30195.0
2018-10-02,29850.0
2018-10-04,29385.0
