Date,KODEX 중국본토 A50
2018-05-10,15955.0
2018-05-11,16010.0
2018-05-14,16130.0
2018-05-15,16160.0
2018-05-16,16070.0
2018-05-17,15970.0
2018-05-18,15985.0
2018-05-21,16230.0
2018-05-23,15860.0
2018-05-24,15620.0
2018-05-25,15555.0
2018-05-28,15595.0
2018-05-29,15485.0
2018-05-30,15300.0
2018-05-31,15540.0
2018-06-01,15390.0
2018-06-04,15710.0
2018-06-05,15910.0
2018-06-07,15805.0
2018-06-08,15650.0
2018-06-11,15680.0
2018-06-12,15935.0
2018-06-14,15855.0
2018-06-15,15995.0
2018-06-18,15950.0
2018-06-19,15845.0
2018-06-20,15700.0
2018-06-21,15725.0
2018-06-22,15490.0
2018-06-25,15455.0
2018-06-26,15050.0
2018-06-27,14650.0
2018-06-28,14580.0
2018-06-29,14720.0
2018-07-02,14315.0
2018-07-03,14135.0
2018-07-04,14105.0
2018-07-05,14050.0
2018-07-06,14290.0
2018-07-09,14585.0
2018-07-10,14580.0
2018-07-11,14325.0
2018-07-12,14700.0
2018-07-13,14800.0
2018-07-16,14580.0
2018-07-17,14460.0
2018-07-18,14455.0
2018-07-19,14435.0
2018-07-20,14835.0
2018-07-23,14945.0
2018-07-24,15120.0
2018-07-25,15085.0
2018-07-26,14885.0
2018-07-27,14750.0
2018-07-30,14690.0
2018-07-31,14800.0
2018-08-01,14690.0
2018-08-02,14110.0
2018-08-03,14050.0
2018-08-06,13960.0
2018-08-07,14205.0
2018-08-08,14045.0
2018-08-09,14410.0
2018-08-10,14510.0
2018-08-13,14310.0
2018-08-14,14195.0
2018-08-16,13915.0
2018-08-17,13700.0
2018-08-20,13745.0
2018-08-21,14195.0
2018-08-22,14120.0
2018-08-23,14165.0
2018-08-24,14190.0
2018-08-27,14495.0
2018-08-28,14400.0
2018-08-29,14370.0
2018-08-30,14210.0
2018-08-31,14210.0
2018-09-03,14080.0
2018-09-04,14395.0
2018-09-05,14145.0
2018-09-06,13920.0
2018-09-07,13965.0
2018-09-10,13935.0
2018-09-11,13805.0
2018-09-12,13720.0
2018-09-13,13815.0
2018-09-14,13925.0
2018-09-17,13850.0
2018-09-18,14040.0
2018-09-19,14335.0
2018-09-20,14310.0
2018-09-21,14660.0
2018-09-27,14600.0
2018-09-28,14660.0
2018-10-01,14675.0
