Date,KOSEF 국고채10년레버리지
2018-02-02,114610.0
2018-02-05,114040.0
2018-02-06,115310.0
2018-02-07,115675.0
2018-02-08,115080.0
2018-02-09,115040.0
2018-02-12,114180.0
2018-02-13,114440.0
2018-02-14,115110.0
2018-02-19,114325.0
2018-02-20,114155.0
2018-02-21,114555.0
2018-02-22,114180.0
2018-02-23,114595.0
2018-02-26,115050.0
2018-02-27,115420.0
2018-02-28,115625.0
2018-03-02,115655.0
2018-03-05,115730.0
2018-03-06,115380.0
2018-03-07,115850.0
2018-03-08,115915.0
2018-03-09,115855.0
2018-03-12,115485.0
2018-03-13,115695.0
2018-03-14,116250.0
2018-03-15,116635.0
2018-03-16,116430.0
2018-03-19,116085.0
2018-03-20,115985.0
2018-03-21,116245.0
2018-03-22,116510.0
2018-03-23,117525.0
2018-03-26,116970.0
2018-03-27,117145.0
2018-03-28,118035.0
2018-03-29,117955.0
2018-03-30,118255.0
2018-04-02,117850.0
2018-04-03,118070.0
2018-04-04,118245.0
2018-04-05,118035.0
2018-04-06,118535.0
2018-04-09,118445.0
2018-04-10,118300.0
2018-04-11,119000.0
2018-04-12,119265.0
2018-04-13,119010.0
2018-04-16,118465.0
2018-04-17,118200.0
2018-04-18,118145.0
2018-04-19,117830.0
2018-04-20,117495.0
2018-04-23,116555.0
2018-04-24,116720.0
2018-04-25,115905.0
2018-04-26,116000.0
2018-04-27,117130.0
2018-04-30,116910.0
2018-05-02,115860.0
2018-05-03,116340.0
2018-05-04,115885.0
2018-05-08,115515.0
2018-05-09,115340.0
2018-05-10,115925.0
2018-05-11,115655.0
2018-05-14,115365.0
2018-05-15,115040.0
2018-05-16,115340.0
2018-05-17,115595.0
2018-05-18,116035.0
2018-05-21,116100.0
2018-05-23,116265.0
2018-05-24,117230.0
2018-05-25,117235.0
2018-05-28,116945.0
2018-05-29,117555.0
2018-05-30,117480.0
2018-05-31,117840.0
2018-06-01,117545.0
2018-06-04,117040.0
2018-06-05,116730.0
2018-06-07,116630.0
2018-06-08,117215.0
2018-06-11,116820.0
2018-06-12,117105.0
2018-06-14,117335.0
2018-06-15,117840.0
2018-06-18,118435.0
2018-06-19,119080.0
2018-06-20,119170.0
2018-06-21,119635.0
2018-06-22,119590.0
2018-06-25,119430.0
2018-06-26,119370.0
2018-06-27,120210.0
2018-06-28,120685.0
2018-06-29,120470.0
2018-07-02,121060.0
2018-07-03,120235.0
2018-07-04,120580.0
2018-07-05,120960.0
2018-07-06,120545.0
2018-07-09,120640.0
2018-07-10,120710.0
2018-07-11,121445.0
2018-07-12,120880.0
2018-07-13,120800.0
2018-07-16,121015.0
2018-07-17,120810.0
2018-07-18,121250.0
2018-07-19,121000.0
2018-07-20,121490.0
2018-07-23,121150.0
2018-07-24,120350.0
2018-07-25,120875.0
2018-07-26,120890.0
2018-07-27,120330.0
2018-07-30,120475.0
2018-07-31,121090.0
2018-08-01,120100.0
2018-08-02,120460.0
2018-08-03,120415.0
2018-08-06,120725.0
2018-08-07,120900.0
2018-08-08,120900.0
2018-08-09,121460.0
2018-08-10,122000.0
2018-08-13,122020.0
2018-08-14,122100.0
2018-08-16,122490.0
2018-08-17,123130.0
2018-08-20,123665.0
2018-08-21,124630.0
2018-08-22,124115.0
2018-08-23,124275.0
2018-08-24,124260.0
2018-08-27,124570.0
2018-08-28,124995.0
2018-08-29,125005.0
2018-08-30,124795.0
2018-08-31,125865.0
2018-09-03,126190.0
2018-09-04,126120.0
2018-09-05,126440.0
2018-09-06,127025.0
2018-09-07,126735.0
2018-09-10,127130.0
2018-09-11,126820.0
2018-09-12,127205.0
2018-09-13,127050.0
2018-09-14,126025.0
2018-09-17,125735.0
2018-09-18,125470.0
2018-09-19,124940.0
2018-09-20,123865.0
2018-09-21,123975.0
2018-09-27,124845.0
2018-09-28,125185.0
