Date,KOSEF 미국달러선물인버스
2017-04-11,10895.0
2017-04-12,10935.0
2017-04-13,11060.0
2017-04-14,10965.0
2017-04-17,10985.0
2017-04-18,10940.0
2017-04-19,10950.0
2017-04-20,10965.0
2017-04-21,11015.0
2017-04-24,11050.0
2017-04-25,11090.0
2017-04-26,11100.0
2017-04-27,11055.0
2017-04-28,10995.0
2017-05-02,11040.0
2017-05-04,11030.0
2017-05-08,11050.0
2017-05-10,11000.0
2017-05-11,11060.0
2017-05-12,11070.0
2017-05-15,11105.0
2017-05-16,11190.0
2017-05-17,11170.0
2017-05-18,11115.0
2017-05-19,11070.0
2017-05-22,11165.0
2017-05-23,11120.0
2017-05-24,11085.0
2017-05-25,11175.0
2017-05-26,11150.0
2017-05-29,11135.0
2017-05-30,11115.0
2017-05-31,11160.0
2017-06-01,11125.0
2017-06-02,11130.0
2017-06-05,11170.0
2017-06-07,11110.0
2017-06-08,11130.0
2017-06-09,11125.0
2017-06-12,11085.0
2017-06-13,11075.0
2017-06-14,11110.0
2017-06-15,11115.0
2017-06-16,11015.0
2017-06-19,11015.0
2017-06-20,10995.0
2017-06-21,10920.0
2017-06-22,10955.0
2017-06-23,10950.0
2017-06-26,10985.0
2017-06-27,10975.0
2017-06-28,10915.0
2017-06-29,10950.0
2017-06-30,10910.0
2017-07-03,10875.0
2017-07-04,10845.0
2017-07-05,10850.0
2017-07-06,10785.0
2017-07-07,10810.0
2017-07-10,10855.0
2017-07-11,10840.0
2017-07-12,10900.0
2017-07-13,10985.0
2017-07-14,11000.0
2017-07-17,11060.0
2017-07-18,11110.0
2017-07-19,11135.0
2017-07-20,11070.0
2017-07-21,11145.0
2017-07-24,11185.0
2017-07-25,11190.0
2017-07-26,11125.0
2017-07-27,11210.0
2017-07-28,11120.0
2017-07-31,11140.0
2017-08-01,11135.0
2017-08-02,11105.0
2017-08-03,11055.0
2017-08-04,11095.0
2017-08-07,11070.0
2017-08-08,11075.0
2017-08-09,10995.0
2017-08-10,10930.0
2017-08-11,10910.0
2017-08-14,10945.0
2017-08-16,10940.0
2017-08-17,10970.0
2017-08-18,10925.0
2017-08-21,10950.0
2017-08-22,10995.0
2017-08-23,11010.0
2017-08-24,11060.0
2017-08-25,11050.0
2017-08-28,11120.0
2017-08-29,11085.0
2017-08-30,11095.0
2017-08-31,11050.0
2017-09-01,11105.0
2017-09-04,11000.0
2017-09-05,11025.0
2017-09-06,10985.0
2017-09-07,11040.0
2017-09-08,11075.0
2017-09-11,11020.0
2017-09-12,11045.0
2017-09-13,11055.0
2017-09-14,11010.0
2017-09-15,11010.0
2017-09-18,11060.0
2017-09-19,11025.0
2017-09-20,11050.0
2017-09-21,11000.0
2017-09-22,10970.0
2017-09-25,11025.0
2017-09-26,10970.0
2017-09-27,10930.0
2017-09-28,10845.0
2017-09-29,10885.0
2017-10-10,10980.0
2017-10-11,10965.0
2017-10-12,10990.0
2017-10-13,11035.0
2017-10-16,11045.0
2017-10-17,11005.0
2017-10-18,11020.0
2017-10-19,11000.0
2017-10-20,11010.0
2017-10-23,11025.0
2017-10-24,11045.0
2017-10-25,11050.0
2017-10-26,11075.0
2017-10-27,11025.0
