Date,TIGER 단기통안채
2017-07-11,100695.0
2017-07-12,100700.0
2017-07-13,100715.0
2017-07-14,100715.0
2017-07-17,100720.0
2017-07-18,100720.0
2017-07-19,100720.0
2017-07-20,100740.0
2017-07-21,100740.0
2017-07-24,100740.0
2017-07-25,100740.0
2017-07-26,100750.0
2017-07-27,100760.0
2017-07-28,100765.0
2017-07-31,100765.0
2017-08-01,100765.0
2017-08-02,100770.0
2017-08-03,100785.0
2017-08-04,100785.0
2017-08-07,100785.0
2017-08-08,100790.0
2017-08-09,100795.0
2017-08-10,100800.0
2017-08-11,100805.0
2017-08-14,100805.0
2017-08-16,100810.0
2017-08-17,100820.0
2017-08-18,100830.0
2017-08-21,100835.0
2017-08-22,100835.0
2017-08-23,100835.0
2017-08-24,100850.0
2017-08-25,100850.0
2017-08-28,100855.0
2017-08-29,100860.0
2017-08-30,100865.0
2017-08-31,100870.0
2017-09-01,100875.0
2017-09-04,100880.0
2017-09-05,100885.0
2017-09-06,100895.0
2017-09-07,100900.0
2017-09-08,100905.0
2017-09-11,100910.0
2017-09-12,100910.0
2017-09-13,100915.0
2017-09-14,100920.0
2017-09-15,100930.0
2017-09-18,100925.0
2017-09-19,100930.0
2017-09-20,100930.0
2017-09-21,100945.0
2017-09-22,100950.0
2017-09-25,100945.0
2017-09-26,100955.0
2017-09-27,100950.0
2017-09-28,100985.0
2017-09-29,100985.0
2017-10-10,100985.0
2017-10-11,100990.0
2017-10-12,101000.0
2017-10-13,101000.0
2017-10-16,101010.0
2017-10-17,101010.0
2017-10-18,101015.0
2017-10-19,101000.0
2017-10-20,101005.0
2017-10-23,101005.0
2017-10-24,101020.0
2017-10-25,101025.0
2017-10-26,101030.0
2017-10-27,101030.0
2017-10-30,101045.0
2017-10-31,101050.0
2017-11-01,101045.0
2017-11-02,101060.0
2017-11-03,101060.0
2017-11-06,101070.0
2017-11-07,101070.0
2017-11-08,101075.0
2017-11-09,101080.0
2017-11-10,101080.0
2017-11-13,101080.0
2017-11-14,101075.0
2017-11-15,101075.0
2017-11-16,101085.0
2017-11-17,101085.0
2017-11-20,101095.0
2017-11-21,101095.0
2017-11-22,101100.0
2017-11-23,101110.0
2017-11-24,101115.0
2017-11-27,101115.0
2017-11-28,101120.0
2017-11-29,101125.0
2017-11-30,101135.0
2017-12-01,101145.0
2017-12-04,101145.0
2017-12-05,101155.0
2017-12-06,101150.0
2017-12-07,101175.0
2017-12-08,101175.0
2017-12-11,101175.0
2017-12-12,101180.0
2017-12-13,101190.0
2017-12-14,101200.0
2017-12-15,101200.0
2017-12-18,101210.0
2017-12-19,101205.0
2017-12-20,101215.0
2017-12-21,101230.0
2017-12-22,101225.0
2017-12-26,101240.0
2017-12-27,100035.0
2017-12-28,100030.0
2018-01-02,100045.0
2018-01-03,100050.0
2018-01-04,100065.0
2018-01-05,100065.0
2018-01-08,100075.0
2018-01-09,100075.0
2018-01-10,100080.0
2018-01-11,100095.0
2018-01-12,100095.0
2018-01-15,100095.0
2018-01-16,100100.0
2018-01-17,100105.0
2018-01-18,100125.0
2018-01-19,100130.0
2018-01-22,100130.0
2018-01-23,100130.0
2018-01-24,100135.0
2018-01-25,100150.0
2018-01-26,100150.0
2018-01-29,100160.0
2018-01-30,100160.0
2018-01-31,100160.0
2018-02-01,100180.0
2018-02-02,100185.0
2018-02-05,100180.0
2018-02-06,100190.0
2018-02-07,100195.0
2018-02-08,100210.0
2018-02-09,100210.0
2018-02-12,100215.0
2018-02-13,100240.0
2018-02-14,100235.0
2018-02-19,100240.0
2018-02-20,100250.0
2018-02-21,100250.0
2018-02-22,100270.0
2018-02-23,100265.0
2018-02-26,100270.0
2018-02-27,100285.0
2018-02-28,100280.0
2018-03-02,100295.0
2018-03-05,100300.0
2018-03-06,100300.0
2018-03-07,100305.0
2018-03-08,100315.0
2018-03-09,100320.0
2018-03-12,100325.0
2018-03-13,100325.0
2018-03-14,100330.0
2018-03-15,100350.0
2018-03-16,100355.0
2018-03-19,100350.0
2018-03-20,100355.0
2018-03-21,100360.0
2018-03-22,100375.0
2018-03-23,100375.0
2018-03-26,100380.0
2018-03-27,100390.0
2018-03-28,100395.0
2018-03-29,100405.0
2018-03-30,100410.0
2018-04-02,100415.0
2018-04-03,100415.0
2018-04-04,100420.0
2018-04-05,100435.0
2018-04-06,100445.0
2018-04-09,100445.0
2018-04-10,100445.0
2018-04-11,100455.0
2018-04-12,100470.0
2018-04-13,100470.0
2018-04-16,100475.0
2018-04-17,100475.0
2018-04-18,100480.0
2018-04-19,100495.0
2018-04-20,100495.0
2018-04-23,100505.0
2018-04-24,100510.0
2018-04-25,100510.0
2018-04-26,100525.0
2018-04-27,100530.0
2018-04-30,100535.0
2018-05-02,100540.0
2018-05-03,100560.0
2018-05-04,100555.0
2018-05-08,100565.0
2018-05-09,100565.0
2018-05-10,100580.0
2018-05-11,100595.0
2018-05-14,100590.0
2018-05-15,100600.0
2018-05-16,100605.0
2018-05-17,100615.0
2018-05-18,100625.0
2018-05-21,100625.0
2018-05-23,100630.0
2018-05-24,100640.0
2018-05-25,100645.0
2018-05-28,100655.0
2018-05-29,100655.0
2018-05-30,100660.0
2018-05-31,100670.0
2018-06-01,100680.0
2018-06-04,100685.0
2018-06-05,100685.0
2018-06-07,100700.0
2018-06-08,100705.0
2018-06-11,100710.0
2018-06-12,100710.0
2018-06-14,100725.0
2018-06-15,100730.0
2018-06-18,100735.0
2018-06-19,100745.0
2018-06-20,100740.0
2018-06-21,100755.0
2018-06-22,100765.0
2018-06-25,100770.0
2018-06-26,100770.0
2018-06-27,100775.0
2018-06-28,100790.0
2018-06-29,100795.0
2018-07-02,100795.0
2018-07-03,100795.0
2018-07-04,100800.0
2018-07-05,100815.0
2018-07-06,100820.0
2018-07-09,100825.0
2018-07-10,100825.0
2018-07-11,100835.0
2018-07-12,100850.0
2018-07-13,100855.0
2018-07-16,100855.0
2018-07-17,100865.0
2018-07-18,100865.0
2018-07-19,100885.0
2018-07-20,100885.0
2018-07-23,100890.0
2018-07-24,100890.0
2018-07-25,100900.0
2018-07-26,100915.0
2018-07-27,100915.0
2018-07-30,100920.0
2018-07-31,100920.0
2018-08-01,100930.0
2018-08-02,100935.0
2018-08-03,100945.0
2018-08-06,100955.0
2018-08-07,100950.0
2018-08-08,100955.0
2018-08-09,100970.0
2018-08-10,100980.0
2018-08-13,100985.0
2018-08-14,100980.0
2018-08-16,101000.0
2018-08-17,101005.0
2018-08-20,101010.0
2018-08-21,101015.0
2018-08-22,101020.0
2018-08-23,101030.0
2018-08-24,101035.0
2018-08-27,101040.0
2018-08-28,101045.0
2018-08-29,101050.0
2018-08-30,101065.0
2018-08-31,101070.0
2018-09-03,101075.0
2018-09-04,101080.0
2018-09-05,101085.0
2018-09-06,101095.0
2018-09-07,101100.0
2018-09-10,101110.0
2018-09-11,101115.0
2018-09-12,101115.0
2018-09-13,101125.0
2018-09-14,101135.0
2018-09-17,101140.0
2018-09-18,101135.0
2018-09-19,101140.0
2018-09-20,101165.0
2018-09-21,101170.0
2018-09-27,101185.0
2018-09-28,101185.0
2018-10-01,101185.0
2018-10-02,101195.0
