Date,KOSEF 200 선물
2017-06-27,13450.0
2017-06-28,13405.0
2017-06-29,13495.0
2017-06-30,13450.0
2017-07-03,13475.0
2017-07-04,13395.0
2017-07-05,13450.0
2017-07-06,13445.0
2017-07-07,13405.0
2017-07-10,13445.0
2017-07-11,13530.0
2017-07-12,13525.0
2017-07-13,13670.0
2017-07-14,13695.0
2017-07-17,13740.0
2017-07-18,13745.0
2017-07-19,13765.0
2017-07-20,13825.0
2017-07-21,13880.0
2017-07-24,13885.0
2017-07-25,13820.0
2017-07-26,13780.0
2017-07-27,13830.0
2017-07-28,13560.0
2017-07-31,13570.0
2017-08-01,13675.0
2017-08-02,13705.0
2017-08-03,13470.0
2017-08-04,13535.0
2017-08-07,13545.0
2017-08-08,13520.0
2017-08-09,13355.0
2017-08-10,13290.0
2017-08-11,13060.0
2017-08-14,13165.0
2017-08-16,13240.0
2017-08-17,13320.0
2017-08-18,13305.0
2017-08-21,13285.0
2017-08-22,13340.0
2017-08-23,13345.0
2017-08-24,13405.0
2017-08-25,13420.0
2017-08-28,13350.0
2017-08-29,13300.0
2017-08-30,13355.0
2017-08-31,13275.0
2017-09-01,13265.0
2017-09-04,13125.0
2017-09-05,13115.0
2017-09-06,13080.0
2017-09-07,13240.0
2017-09-08,13250.0
2017-09-11,13375.0
2017-09-12,13385.0
2017-09-13,13375.0
2017-09-14,13465.0
2017-09-15,13510.0
2017-09-18,13745.0
2017-09-19,13705.0
2017-09-20,13730.0
2017-09-21,13725.0
2017-09-22,13640.0
2017-09-25,13635.0
2017-09-26,13555.0
2017-09-27,13535.0
2017-09-28,13540.0
2017-09-29,13650.0
2017-10-10,13900.0
2017-10-11,14045.0
2017-10-12,14190.0
2017-10-13,14135.0
2017-10-16,14155.0
2017-10-17,14175.0
2017-10-18,14165.0
2017-10-19,14105.0
2017-10-20,14175.0
2017-10-23,14205.0
2017-10-24,14200.0
2017-10-25,14205.0
2017-10-26,14105.0
2017-10-27,14175.0
2017-10-30,14230.0
2017-10-31,14385.0
2017-11-01,14610.0
2017-11-02,14565.0
2017-11-03,14610.0
2017-11-06,14535.0
2017-11-07,14525.0
2017-11-08,14570.0
2017-11-09,14535.0
2017-11-10,14490.0
2017-11-13,14420.0
2017-11-14,14405.0
2017-11-15,14330.0
2017-11-16,14415.0
2017-11-17,14405.0
2017-11-20,14345.0
2017-11-21,14385.0
2017-11-22,14460.0
2017-11-23,14425.0
2017-11-24,14440.0
2017-11-27,14210.0
2017-11-28,14265.0
2017-11-29,14255.0
2017-11-30,14005.0
2017-12-01,14010.0
2017-12-04,14160.0
2017-12-05,14200.0
2017-12-06,13995.0
2017-12-07,13950.0
2017-12-08,13990.0
2017-12-11,14010.0
2017-12-12,13955.0
2017-12-13,14060.0
2017-12-14,14090.0
2017-12-15,14055.0
2017-12-18,14085.0
2017-12-19,14085.0
2017-12-20,14060.0
2017-12-21,13790.0
2017-12-22,13860.0
2017-12-26,13810.0
2017-12-27,13950.0
2017-12-28,14140.0
2018-01-02,14195.0
2018-01-03,14240.0
2018-01-04,14130.0
2018-01-05,14315.0
2018-01-08,14415.0
2018-01-09,14375.0
2018-01-10,14265.0
2018-01-11,14195.0
2018-01-12,14220.0
2018-01-15,14255.0
2018-01-16,14370.0
2018-01-17,14330.0
2018-01-18,14330.0
2018-01-19,14345.0
2018-01-22,14210.0
2018-01-23,14435.0
2018-01-24,14420.0
2018-01-25,14640.0
2018-01-26,14605.0
2018-01-29,14720.0
2018-01-30,14520.0
2018-01-31,14525.0
2018-02-01,14525.0
2018-02-02,14240.0
2018-02-05,14075.0
2018-02-06,13860.0
2018-02-07,13515.0
2018-02-08,13630.0
2018-02-09,13275.0
2018-02-12,13420.0
2018-02-13,13520.0
2018-02-14,13685.0
2018-02-19,13770.0
2018-02-20,13600.0
2018-02-21,13675.0
2018-02-22,13595.0
2018-02-23,13800.0
2018-02-26,13820.0
2018-02-27,13790.0
2018-02-28,13625.0
2018-03-02,13430.0
2018-03-05,13250.0
2018-03-06,13515.0
2018-03-07,13520.0
2018-03-08,13675.0
2018-03-09,13815.0
2018-03-12,13945.0
2018-03-13,14025.0
2018-03-14,14005.0
2018-03-15,14055.0
2018-03-16,14035.0
2018-03-19,13930.0
2018-03-20,13990.0
2018-03-21,14000.0
2018-03-22,14065.0
2018-03-23,13575.0
2018-03-26,13680.0
2018-03-27,13740.0
2018-03-28,13555.0
2018-03-29,13680.0
2018-03-30,13720.0
2018-04-02,13685.0
2018-04-03,13655.0
2018-04-04,13435.0
2018-04-05,13635.0
2018-04-06,13560.0
2018-04-09,13645.0
2018-04-10,13675.0
2018-04-11,13620.0
2018-04-12,13615.0
2018-04-13,13700.0
2018-04-16,13725.0
2018-04-17,13705.0
2018-04-18,13865.0
2018-04-19,13930.0
2018-04-20,13845.0
2018-04-23,13840.0
2018-04-24,13760.0
2018-04-25,13665.0
2018-04-26,13845.0
2018-04-27,13970.0
2018-04-30,14045.0
2018-05-02,13960.0
2018-05-03,13900.0
2018-05-04,13795.0
2018-05-08,13735.0
2018-05-09,13690.0
2018-05-10,13780.0
2018-05-11,13870.0
2018-05-14,13830.0
2018-05-15,13710.0
2018-05-16,13755.0
2018-05-17,13690.0
2018-05-18,13735.0
2018-05-21,13770.0
2018-05-23,13855.0
2018-05-24,13815.0
2018-05-25,13840.0
2018-05-28,13895.0
2018-05-29,13765.0
2018-05-30,13455.0
2018-05-31,13520.0
2018-06-01,13595.0
2018-06-04,13675.0
2018-06-05,13710.0
2018-06-07,13830.0
2018-06-08,13690.0
2018-06-11,13800.0
2018-06-12,13780.0
2018-06-14,13530.0
2018-06-15,13450.0
2018-06-18,13295.0
2018-06-19,13100.0
2018-06-20,13220.0
2018-06-21,13095.0
2018-06-22,13200.0
2018-06-25,13200.0
2018-06-26,13185.0
2018-06-27,13150.0
2018-06-28,13025.0
2018-06-29,13145.0
2018-07-02,12755.0
2018-07-03,12775.0
2018-07-04,12745.0
2018-07-05,12705.0
2018-07-06,12795.0
2018-07-09,12890.0
2018-07-10,12910.0
2018-07-11,12840.0
2018-07-12,12865.0
2018-07-13,13020.0
2018-07-16,12970.0
2018-07-17,12955.0
2018-07-18,12925.0
2018-07-19,12900.0
2018-07-20,12970.0
2018-07-23,12855.0
2018-07-24,12900.0
2018-07-25,12875.0
2018-07-26,12950.0
2018-07-27,12990.0
2018-07-30,12965.0
2018-07-31,12985.0
2018-08-01,13030.0
2018-08-02,12795.0
2018-08-03,12885.0
2018-08-06,12880.0
2018-08-07,12965.0
2018-08-08,12965.0
2018-08-09,12960.0
2018-08-10,12820.0
2018-08-13,12650.0
2018-08-14,12705.0
2018-08-16,12585.0
2018-08-17,12590.0
2018-08-20,12595.0
2018-08-21,12730.0
2018-08-22,12775.0
2018-08-23,12825.0
2018-08-24,12885.0
2018-08-27,12945.0
2018-08-28,12960.0
2018-08-29,12990.0
2018-08-30,13000.0
2018-08-31,13055.0
2018-09-03,12980.0
2018-09-04,13040.0
2018-09-05,12885.0
2018-09-06,12840.0
2018-09-07,12780.0
2018-09-10,12795.0
2018-09-11,12755.0
2018-09-12,12755.0
2018-09-13,12760.0
2018-09-14,12965.0
2018-09-17,12870.0
2018-09-18,12930.0
2018-09-19,12935.0
2018-09-20,13050.0
2018-09-21,13095.0
2018-09-27,13210.0
2018-09-28,13135.0
2018-10-01,13120.0
2018-10-02,12965.0
