Date,TIGER 금속선물(H)
2018-07-18,5415.0
2018-07-19,5440.0
2018-07-20,5355.0
2018-07-23,5440.0
2018-07-24,5455.0
2018-07-25,5570.0
2018-07-26,5530.0
2018-07-27,5550.0
2018-07-30,5530.0
2018-07-31,5520.0
2018-08-01,5575.0
2018-08-02,5455.0
2018-08-03,5425.0
2018-08-06,5425.0
2018-08-07,5440.0
2018-08-08,5460.0
2018-08-09,5550.0
2018-08-10,5505.0
2018-08-13,5520.0
2018-08-14,5490.0
2018-08-16,5245.0
2018-08-17,5365.0
2018-08-20,5315.0
2018-08-21,5385.0
2018-08-22,5385.0
2018-08-23,5385.0
2018-08-24,5375.0
2018-08-27,5460.0
2018-08-28,5465.0
2018-08-29,5515.0
2018-08-30,5530.0
2018-08-31,5460.0
2018-09-03,5395.0
2018-09-04,5420.0
2018-09-05,5225.0
2018-09-06,5275.0
2018-09-07,5285.0
2018-09-10,5295.0
2018-09-11,5305.0
2018-09-12,5220.0
2018-09-13,5350.0
2018-09-14,5330.0
2018-09-17,5315.0
2018-09-18,5250.0
2018-09-19,5310.0
2018-09-20,5345.0
2018-09-21,5325.0
2018-09-27,5470.0
2018-09-28,5390.0
2018-10-01,5475.0
