Date,KINDEX 중국본토CSI300
2018-02-09,22065.0
2018-02-12,22500.0
2018-02-13,22770.0
2018-02-14,22795.0
2018-02-19,23135.0
2018-02-20,23125.0
2018-02-21,23100.0
2018-02-22,23240.0
2018-02-23,23315.0
2018-02-26,23530.0
2018-02-27,23310.0
2018-02-28,23310.0
2018-03-02,23170.0
2018-03-05,23220.0
2018-03-06,23305.0
2018-03-07,23000.0
2018-03-08,23265.0
2018-03-09,23380.0
2018-03-12,23615.0
2018-03-13,23510.0
2018-03-14,23335.0
2018-03-15,23345.0
2018-03-16,23235.0
2018-03-19,23315.0
2018-03-20,23335.0
2018-03-21,23330.0
2018-03-22,23145.0
2018-03-23,22145.0
2018-03-26,22395.0
2018-03-27,22670.0
2018-03-28,22170.0
2018-03-29,22460.0
2018-03-30,22585.0
2018-04-02,22130.0
2018-04-03,21890.0
2018-04-04,21790.0
2018-04-05,21930.0
2018-04-06,21990.0
2018-04-09,22145.0
2018-04-10,22170.0
2018-04-11,22485.0
2018-04-12,22570.0
2018-04-13,22380.0
2018-04-16,22090.0
2018-04-17,21760.0
2018-04-18,21570.0
2018-04-19,21760.0
2018-04-20,21640.0
2018-04-23,21535.0
2018-04-24,21945.0
2018-04-25,22160.0
2018-04-26,21735.0
2018-04-27,21585.0
2018-04-30,21810.0
2018-05-02,21355.0
2018-05-03,21670.0
2018-05-04,21740.0
2018-05-08,22120.0
2018-05-09,22160.0
2018-05-10,22205.0
2018-05-11,22200.0
2018-05-14,22370.0
2018-05-15,22420.0
2018-05-16,22440.0
2018-05-17,22255.0
2018-05-18,22295.0
2018-05-21,22605.0
2018-05-23,22280.0
2018-05-24,21995.0
2018-05-25,21825.0
2018-05-28,21825.0
2018-05-29,21825.0
2018-05-30,21430.0
2018-05-31,21625.0
2018-06-01,21490.0
2018-06-04,21680.0
2018-06-05,21790.0
2018-06-07,21845.0
2018-06-08,21560.0
2018-06-11,21585.0
2018-06-12,21800.0
2018-06-14,21680.0
2018-06-15,21680.0
2018-06-18,21625.0
2018-06-19,21070.0
