Date,TIGER 방송통신
2018-07-11,10020.0
2018-07-12,10020.0
2018-07-13,10050.0
2018-07-16,9970.0
2018-07-17,9945.0
2018-07-18,9850.0
2018-07-19,9740.0
2018-07-20,9905.0
2018-07-23,9875.0
2018-07-24,9875.0
2018-07-25,9925.0
2018-07-26,9870.0
2018-07-27,10000.0
2018-07-30,10115.0
2018-07-31,10225.0
2018-08-01,10155.0
2018-08-02,10305.0
2018-08-03,10430.0
2018-08-06,10500.0
2018-08-07,10165.0
2018-08-08,10270.0
2018-08-09,10350.0
2018-08-10,10325.0
2018-08-13,10285.0
2018-08-14,10395.0
2018-08-16,10545.0
2018-08-17,10485.0
2018-08-20,10425.0
2018-08-21,10325.0
2018-08-22,10305.0
2018-08-23,10300.0
2018-08-24,10460.0
2018-08-27,10370.0
2018-08-28,10405.0
2018-08-29,10425.0
2018-08-30,10380.0
2018-08-31,10410.0
2018-09-03,10210.0
2018-09-04,10320.0
2018-09-05,10350.0
2018-09-06,10430.0
2018-09-07,10475.0
2018-09-10,10505.0
2018-09-11,10565.0
2018-09-12,10725.0
2018-09-13,10935.0
2018-09-14,10860.0
2018-09-17,10915.0
2018-09-18,10995.0
2018-09-19,10850.0
2018-09-20,10840.0
2018-09-21,10795.0
2018-09-27,11000.0
2018-09-28,11130.0
2018-10-01,10880.0
2018-10-02,10675.0
2018-10-04,10850.0
