Date,KBSTAR 중국본토대형주CSI100
2018-05-10,15395.0
2018-05-11,15435.0
2018-05-14,15580.0
2018-05-15,15510.0
2018-05-16,15585.0
2018-05-17,15450.0
2018-05-18,15470.0
2018-05-21,15705.0
2018-05-23,15345.0
2018-05-24,15105.0
2018-05-25,15095.0
2018-05-28,15170.0
2018-05-29,14990.0
2018-05-30,14900.0
2018-05-31,15105.0
2018-06-01,15005.0
2018-06-04,15100.0
2018-06-05,15230.0
2018-06-07,15210.0
2018-06-08,15010.0
2018-06-11,15100.0
2018-06-12,15320.0
2018-06-14,15290.0
2018-06-15,15425.0
2018-06-18,15425.0
2018-06-19,15185.0
2018-06-20,15055.0
2018-06-21,14925.0
2018-06-22,14820.0
2018-06-25,14845.0
2018-06-26,14475.0
2018-06-27,14055.0
2018-06-28,14000.0
2018-06-29,14200.0
2018-07-02,13750.0
2018-07-03,13600.0
2018-07-04,13630.0
2018-07-05,13515.0
2018-07-06,13745.0
2018-07-09,13950.0
2018-07-10,14045.0
2018-07-11,13865.0
2018-07-12,14180.0
2018-07-13,14200.0
2018-07-16,14105.0
2018-07-17,13970.0
2018-07-18,14010.0
2018-07-19,13955.0
2018-07-20,14150.0
2018-07-23,14305.0
2018-07-24,14500.0
2018-07-25,14430.0
2018-07-26,14200.0
2018-07-27,14095.0
2018-07-30,13985.0
2018-07-31,14045.0
2018-08-01,13920.0
2018-08-02,13550.0
2018-08-03,13455.0
2018-08-06,13260.0
2018-08-07,13495.0
2018-08-08,13400.0
2018-08-09,13700.0
2018-08-10,13770.0
2018-08-13,13660.0
2018-08-14,13530.0
2018-08-16,13225.0
2018-08-17,13065.0
2018-08-20,13090.0
2018-08-21,13440.0
2018-08-22,13385.0
2018-08-23,13400.0
2018-08-24,13415.0
2018-08-27,13710.0
2018-08-28,13650.0
2018-08-29,13595.0
2018-08-30,13490.0
2018-08-31,13485.0
2018-09-03,13330.0
2018-09-04,13600.0
2018-09-05,13405.0
2018-09-06,13245.0
2018-09-07,13285.0
2018-09-10,13160.0
2018-09-11,13080.0
2018-09-12,13075.0
2018-09-13,13090.0
2018-09-14,13155.0
2018-09-17,13145.0
2018-09-18,13305.0
2018-09-19,13500.0
2018-09-20,13510.0
2018-09-21,13855.0
