Date,TIGER 200 중공업
2018-08-07,3060.0
2018-08-08,3060.0
2018-08-09,3065.0
2018-08-10,3085.0
2018-08-13,3000.0
2018-08-14,3080.0
2018-08-16,3060.0
2018-08-17,3095.0
2018-08-20,3205.0
2018-08-21,3205.0
2018-08-22,3245.0
2018-08-23,3230.0
2018-08-24,3195.0
2018-08-27,3125.0
2018-08-28,3165.0
2018-08-29,3190.0
2018-08-30,3170.0
2018-08-31,3145.0
2018-09-03,3200.0
2018-09-04,3165.0
2018-09-05,3170.0
2018-09-06,3210.0
2018-09-07,3265.0
2018-09-10,3325.0
2018-09-11,3325.0
2018-09-12,3350.0
2018-09-13,3410.0
2018-09-14,3415.0
2018-09-17,3435.0
2018-09-18,3435.0
2018-09-19,3400.0
2018-09-20,3430.0
2018-09-21,3455.0
2018-09-27,3535.0
2018-09-28,3535.0
2018-10-01,3580.0
2018-10-02,3635.0
