Date,KODEX 보험
2017-05-04,8750.0
2017-05-08,8850.0
2017-05-10,8920.0
2017-05-11,8890.0
2017-05-12,8885.0
2017-05-15,8990.0
2017-05-16,9060.0
2017-05-17,8920.0
2017-05-18,8790.0
2017-05-19,8850.0
2017-05-22,8845.0
2017-05-23,8990.0
2017-05-24,9025.0
2017-05-25,9150.0
2017-05-26,9205.0
2017-05-29,9170.0
2017-05-30,9140.0
2017-05-31,9205.0
2017-06-01,9195.0
2017-06-02,9350.0
2017-06-05,9300.0
2017-06-07,9290.0
2017-06-08,9280.0
2017-06-09,9185.0
2017-06-12,9240.0
2017-06-13,9305.0
2017-06-14,9290.0
2017-06-15,9165.0
2017-06-16,9140.0
2017-06-19,9085.0
2017-06-20,9020.0
2017-06-21,8860.0
2017-06-22,8915.0
2017-06-23,8915.0
2017-06-26,8910.0
2017-06-27,8940.0
2017-06-28,8980.0
2017-06-29,9180.0
2017-06-30,9140.0
2017-07-03,9195.0
2017-07-04,9260.0
2017-07-05,9230.0
2017-07-06,9270.0
2017-07-07,9500.0
2017-07-10,9725.0
2017-07-11,9840.0
2017-07-12,9820.0
2017-07-13,9905.0
2017-07-14,9790.0
2017-07-17,9910.0
2017-07-18,9890.0
2017-07-19,9965.0
2017-07-20,9880.0
2017-07-21,10055.0
2017-07-24,10100.0
2017-07-25,10020.0
2017-07-26,9980.0
2017-07-27,10095.0
2017-07-28,10080.0
2017-07-31,10030.0
2017-08-01,10355.0
2017-08-02,10400.0
2017-08-03,10305.0
2017-08-04,10195.0
2017-08-07,10195.0
2017-08-08,10175.0
2017-08-09,10150.0
2017-08-10,9950.0
2017-08-11,9925.0
2017-08-14,9915.0
2017-08-16,10015.0
2017-08-17,9995.0
2017-08-18,9935.0
2017-08-21,9780.0
2017-08-22,9825.0
2017-08-23,9810.0
2017-08-24,9920.0
2017-08-25,10105.0
2017-08-28,9890.0
2017-08-29,9825.0
2017-08-30,9745.0
2017-08-31,9665.0
2017-09-01,9445.0
2017-09-04,9350.0
2017-09-05,9175.0
2017-09-06,9080.0
2017-09-07,9310.0
2017-09-08,9330.0
2017-09-11,9230.0
2017-09-12,9270.0
2017-09-13,9185.0
2017-09-14,9155.0
2017-09-15,9350.0
2017-09-18,9390.0
2017-09-19,9295.0
2017-09-20,9305.0
2017-09-21,9305.0
2017-09-22,9450.0
2017-09-25,9380.0
2017-09-26,9440.0
2017-09-27,9325.0
2017-09-28,9355.0
2017-09-29,9385.0
2017-10-10,9515.0
2017-10-11,9715.0
2017-10-12,9825.0
2017-10-13,9835.0
2017-10-16,9840.0
2017-10-17,9685.0
2017-10-18,9610.0
2017-10-19,9715.0
2017-10-20,9940.0
2017-10-23,9865.0
2017-10-24,9885.0
2017-10-25,10150.0
2017-10-26,10040.0
2017-10-27,10075.0
2017-10-30,9850.0
2017-10-31,9880.0
2017-11-01,9810.0
2017-11-02,9810.0
2017-11-03,9915.0
2017-11-06,9845.0
2017-11-07,9760.0
2017-11-08,9680.0
2017-11-09,9725.0
2017-11-10,9720.0
2017-11-13,9600.0
2017-11-14,9565.0
2017-11-15,9635.0
2017-11-16,9700.0
2017-11-17,9805.0
2017-11-20,9610.0
2017-11-21,9545.0
2017-11-22,9520.0
2017-11-23,9550.0
2017-11-24,9640.0
2017-11-27,9635.0
2017-11-28,9600.0
2017-11-29,9630.0
2017-11-30,9600.0
2017-12-01,9390.0
2017-12-04,9510.0
2017-12-05,9490.0
2017-12-06,9535.0
2017-12-07,9535.0
2017-12-08,9490.0
2017-12-11,9555.0
2017-12-12,9400.0
2017-12-13,9585.0
2017-12-14,9540.0
2017-12-15,9570.0
2017-12-18,9510.0
2017-12-19,9600.0
2017-12-20,9670.0
2017-12-21,9650.0
2017-12-22,9595.0
2017-12-26,9695.0
2017-12-27,9750.0
2017-12-28,9820.0
2018-01-02,9730.0
2018-01-03,9700.0
2018-01-04,9520.0
2018-01-05,9550.0
2018-01-08,9550.0
2018-01-09,9655.0
2018-01-10,9800.0
2018-01-11,9850.0
2018-01-12,9935.0
2018-01-15,10175.0
2018-01-16,10150.0
2018-01-17,10130.0
2018-01-18,10055.0
2018-01-19,10150.0
2018-01-22,10090.0
2018-01-23,10215.0
2018-01-24,10120.0
2018-01-25,10075.0
2018-01-26,10015.0
2018-01-29,10165.0
2018-01-30,10065.0
2018-01-31,10345.0
2018-02-01,10425.0
2018-02-02,10355.0
2018-02-05,10210.0
2018-02-06,10075.0
2018-02-07,9930.0
2018-02-08,9865.0
2018-02-09,9600.0
2018-02-12,9670.0
2018-02-13,9575.0
2018-02-14,9560.0
2018-02-19,9760.0
2018-02-20,9560.0
2018-02-21,9720.0
2018-02-22,9730.0
2018-02-23,9945.0
2018-02-26,9930.0
2018-02-27,9750.0
2018-02-28,9745.0
2018-03-02,9570.0
2018-03-05,9530.0
2018-03-06,9420.0
2018-03-07,9310.0
2018-03-08,9385.0
2018-03-09,9440.0
2018-03-12,9565.0
2018-03-13,9395.0
2018-03-14,9405.0
2018-03-15,9345.0
2018-03-16,9365.0
2018-03-19,9290.0
2018-03-20,9290.0
2018-03-21,9310.0
2018-03-22,9375.0
2018-03-23,9130.0
2018-03-26,9100.0
2018-03-27,9125.0
2018-03-28,9060.0
2018-03-29,9115.0
2018-03-30,9130.0
2018-04-02,9125.0
2018-04-03,8970.0
2018-04-04,8850.0
2018-04-05,8805.0
2018-04-06,8830.0
2018-04-09,8820.0
2018-04-10,8845.0
2018-04-11,8680.0
2018-04-12,8685.0
2018-04-13,8690.0
2018-04-16,8725.0
2018-04-17,8710.0
2018-04-18,8780.0
2018-04-19,8710.0
2018-04-20,8755.0
2018-04-23,8915.0
2018-04-24,9025.0
2018-04-25,9040.0
2018-04-26,9090.0
2018-04-27,8710.0
2018-04-30,8800.0
2018-05-02,8680.0
2018-05-03,8700.0
2018-05-04,8630.0
2018-05-08,8630.0
2018-05-09,8640.0
2018-05-10,8610.0
2018-05-11,8705.0
2018-05-14,8730.0
2018-05-15,8585.0
2018-05-16,8625.0
2018-05-17,8560.0
2018-05-18,8555.0
2018-05-21,8595.0
2018-05-23,8505.0
2018-05-24,8410.0
2018-05-25,8325.0
2018-05-28,8310.0
2018-05-29,8310.0
2018-05-30,8145.0
2018-05-31,8180.0
2018-06-01,8185.0
2018-06-04,8295.0
2018-06-05,8315.0
2018-06-07,8390.0
2018-06-08,8360.0
2018-06-11,8375.0
2018-06-12,8465.0
2018-06-14,8365.0
2018-06-15,8300.0
2018-06-18,8495.0
2018-06-19,8625.0
2018-06-20,8485.0
2018-06-21,8215.0
2018-06-22,8315.0
2018-06-25,8220.0
2018-06-26,8175.0
2018-06-27,8150.0
2018-06-28,8095.0
2018-06-29,8105.0
2018-07-02,7870.0
2018-07-03,8000.0
2018-07-04,8070.0
2018-07-05,8080.0
2018-07-06,8245.0
2018-07-09,8295.0
2018-07-10,8175.0
2018-07-11,8090.0
2018-07-12,8060.0
2018-07-13,8065.0
2018-07-16,8005.0
2018-07-17,7980.0
2018-07-18,8005.0
2018-07-19,7890.0
2018-07-20,7995.0
2018-07-23,8155.0
2018-07-24,8190.0
2018-07-25,8150.0
2018-07-26,8030.0
2018-07-27,8065.0
2018-07-30,8190.0
2018-07-31,8250.0
2018-08-01,8350.0
2018-08-02,8185.0
2018-08-03,8185.0
2018-08-06,8460.0
2018-08-07,8450.0
2018-08-08,8365.0
2018-08-09,8340.0
2018-08-10,8345.0
2018-08-13,8205.0
2018-08-14,8185.0
2018-08-16,8180.0
2018-08-17,8125.0
2018-08-20,8170.0
2018-08-21,8160.0
2018-08-22,8090.0
2018-08-23,8040.0
2018-08-24,8030.0
2018-08-27,7885.0
2018-08-28,7945.0
2018-08-29,7915.0
2018-08-30,7860.0
2018-08-31,7945.0
2018-09-03,7900.0
2018-09-04,7890.0
2018-09-05,7850.0
2018-09-06,7845.0
2018-09-07,7900.0
2018-09-10,7875.0
2018-09-11,7840.0
2018-09-12,7795.0
2018-09-13,7800.0
2018-09-14,7850.0
2018-09-17,7820.0
2018-09-18,7775.0
2018-09-19,7775.0
2018-09-20,7830.0
2018-09-21,8050.0
2018-09-27,8335.0
2018-09-28,8515.0
2018-10-01,8500.0
2018-10-02,8430.0
2018-10-04,8420.0
2018-10-05,8470.0
