Date,KINDEX 미국다우존스리츠(합성 H)
2018-06-11,68500.0
2018-06-12,68860.0
2018-06-14,67530.0
2018-06-15,68010.0
2018-06-18,68255.0
2018-06-19,67540.0
2018-06-20,68235.0
2018-06-21,69070.0
2018-06-22,69255.0
2018-06-25,69785.0
2018-06-26,70095.0
2018-06-27,70260.0
2018-06-28,69595.0
2018-06-29,70310.0
2018-07-02,70410.0
2018-07-03,70350.0
2018-07-04,70890.0
2018-07-05,70905.0
2018-07-06,71450.0
2018-07-09,71850.0
2018-07-10,71065.0
2018-07-11,71045.0
2018-07-12,71035.0
2018-07-13,71260.0
2018-07-16,70990.0
2018-07-17,71105.0
2018-07-18,70695.0
2018-07-19,69810.0
2018-07-20,70580.0
2018-07-23,70350.0
2018-07-24,70415.0
2018-07-25,69895.0
2018-07-26,69895.0
2018-07-27,70250.0
2018-07-30,69975.0
2018-07-31,70170.0
2018-08-01,70775.0
2018-08-02,71175.0
2018-08-03,70900.0
2018-08-06,72195.0
2018-08-07,72075.0
2018-08-08,71355.0
2018-08-09,71355.0
2018-08-10,71440.0
2018-08-13,70680.0
2018-08-14,70995.0
2018-08-16,71490.0
2018-08-17,71870.0
2018-08-20,72500.0
2018-08-21,72505.0
2018-08-22,72345.0
2018-08-23,72210.0
2018-08-24,72090.0
2018-08-27,72550.0
2018-08-28,72370.0
2018-08-29,72650.0
2018-08-30,72525.0
2018-08-31,72150.0
2018-09-03,72440.0
2018-09-04,72590.0
2018-09-05,72205.0
2018-09-06,72080.0
2018-09-07,72715.0
2018-09-10,72115.0
2018-09-11,72435.0
2018-09-12,72275.0
2018-09-13,72240.0
2018-09-14,72165.0
2018-09-17,72070.0
2018-09-18,71925.0
2018-09-19,71490.0
2018-09-20,70775.0
