Date,KODEX 국고채3년
2018-06-29,55130.0
2018-07-02,55170.0
2018-07-03,55140.0
2018-07-04,55160.0
2018-07-05,55215.0
2018-07-06,55190.0
2018-07-09,55200.0
2018-07-10,55190.0
2018-07-11,55275.0
2018-07-12,55245.0
2018-07-13,55220.0
2018-07-16,55250.0
2018-07-17,55245.0
2018-07-18,55230.0
2018-07-19,55255.0
2018-07-20,55275.0
2018-07-23,55275.0
2018-07-24,55255.0
2018-07-25,55270.0
2018-07-26,55255.0
2018-07-27,55225.0
2018-07-30,55230.0
2018-07-31,55250.0
2018-08-01,55240.0
2018-08-02,55235.0
2018-08-03,55260.0
2018-08-06,55295.0
2018-08-07,55305.0
2018-08-08,55325.0
2018-08-09,55365.0
2018-08-10,55395.0
2018-08-13,55400.0
2018-08-14,55395.0
2018-08-16,55390.0
2018-08-17,55470.0
2018-08-20,55495.0
2018-08-21,55550.0
2018-08-22,55580.0
2018-08-23,55560.0
2018-08-24,55570.0
2018-08-27,55565.0
2018-08-28,55595.0
2018-08-29,55580.0
2018-08-30,55560.0
2018-08-31,55630.0
2018-09-03,55665.0
2018-09-04,55695.0
2018-09-05,55685.0
2018-09-06,55730.0
2018-09-07,55710.0
2018-09-10,55715.0
2018-09-11,55510.0
2018-09-12,55560.0
2018-09-13,55495.0
2018-09-14,55435.0
2018-09-17,55440.0
2018-09-18,55425.0
2018-09-19,55380.0
2018-09-20,55345.0
2018-09-21,55320.0
2018-09-27,55390.0
2018-09-28,55395.0
2018-10-01,55365.0
2018-10-02,55390.0
