Date,KINDEX 200
2017-02-16,27315.0
2017-02-17,27330.0
2017-02-20,27405.0
2017-02-21,27665.0
2017-02-22,27715.0
2017-02-23,27715.0
2017-02-24,27495.0
2017-02-27,27405.0
2017-02-28,27535.0
2017-03-02,27695.0
2017-03-03,27430.0
2017-03-06,27470.0
2017-03-07,27620.0
2017-03-08,27645.0
2017-03-09,27635.0
2017-03-10,27650.0
2017-03-13,27935.0
2017-03-14,28175.0
2017-03-15,28210.0
2017-03-16,28425.0
2017-03-17,28565.0
2017-03-20,28545.0
2017-03-21,28810.0
2017-03-22,28675.0
2017-03-23,28770.0
2017-03-24,28720.0
2017-03-27,28500.0
2017-03-28,28620.0
2017-03-29,28655.0
2017-03-30,28635.0
2017-03-31,28655.0
2017-04-03,28660.0
2017-04-04,28580.0
2017-04-05,28525.0
2017-04-06,28405.0
2017-04-07,28380.0
2017-04-10,28215.0
2017-04-11,28070.0
2017-04-12,28105.0
2017-04-13,28365.0
2017-04-14,28240.0
2017-04-17,28315.0
2017-04-18,28315.0
2017-04-19,28175.0
2017-04-20,28260.0
2017-04-21,28515.0
2017-04-24,28660.0
2017-04-25,28975.0
2017-04-26,29145.0
2017-04-27,28705.0
2017-04-28,28795.0
2017-05-02,29005.0
2017-05-04,29260.0
2017-05-08,30015.0
2017-05-10,29705.0
2017-05-11,30040.0
2017-05-12,29920.0
2017-05-15,30005.0
2017-05-16,30080.0
2017-05-17,30025.0
2017-05-18,29955.0
2017-05-19,29920.0
2017-05-22,30150.0
2017-05-23,30275.0
2017-05-24,30270.0
2017-05-25,30620.0
2017-05-26,30810.0
2017-05-29,30775.0
2017-05-30,30610.0
2017-05-31,30605.0
2017-06-01,30520.0
2017-06-02,30890.0
2017-06-05,30885.0
2017-06-07,30705.0
2017-06-08,30800.0
2017-06-09,31065.0
2017-06-12,30755.0
2017-06-13,30935.0
2017-06-14,30920.0
2017-06-15,30800.0
2017-06-16,30805.0
2017-06-19,30990.0
2017-06-20,31065.0
2017-06-21,30880.0
2017-06-22,31075.0
2017-06-23,31150.0
2017-06-26,31300.0
2017-06-27,31325.0
2017-06-28,31250.0
2017-06-29,31450.0
2017-06-30,31390.0
2017-07-03,31400.0
2017-07-04,31245.0
2017-07-05,31340.0
2017-07-06,31365.0
2017-07-07,31215.0
2017-07-10,31310.0
2017-07-11,31525.0
2017-07-12,31495.0
2017-07-13,31890.0
2017-07-14,31905.0
2017-07-17,32030.0
2017-07-18,32015.0
2017-07-19,32055.0
2017-07-20,32250.0
2017-07-21,32355.0
2017-07-24,32360.0
2017-07-25,32175.0
2017-07-26,32125.0
2017-07-27,32225.0
2017-07-28,31565.0
2017-07-31,31625.0
2017-08-01,31840.0
2017-08-02,31930.0
2017-08-03,31390.0
2017-08-04,31540.0
2017-08-07,31565.0
2017-08-08,31505.0
2017-08-09,31120.0
2017-08-10,30970.0
2017-08-11,30445.0
2017-08-14,30685.0
2017-08-16,30860.0
2017-08-17,31045.0
2017-08-18,30980.0
2017-08-21,30940.0
2017-08-22,31095.0
2017-08-23,31100.0
2017-08-24,31225.0
2017-08-25,31260.0
2017-08-28,31090.0
2017-08-29,31030.0
2017-08-30,31120.0
2017-08-31,30990.0
2017-09-01,30915.0
2017-09-04,30590.0
2017-09-05,30560.0
2017-09-06,30480.0
2017-09-07,30870.0
2017-09-08,30890.0
2017-09-11,31145.0
2017-09-12,31185.0
2017-09-13,31165.0
2017-09-14,31335.0
2017-09-15,31480.0
2017-09-18,32000.0
2017-09-19,31995.0
2017-09-20,31980.0
2017-09-21,31980.0
2017-09-22,31780.0
2017-09-25,31765.0
2017-09-26,31595.0
2017-09-27,31535.0
2017-09-28,31570.0
2017-09-29,31840.0
2017-10-10,32395.0
2017-10-11,32745.0
2017-10-12,32955.0
2017-10-13,32905.0
2017-10-16,32950.0
2017-10-17,33035.0
2017-10-18,33020.0
2017-10-19,32865.0
2017-10-20,33015.0
2017-10-23,33130.0
2017-10-24,33110.0
2017-10-25,33140.0
2017-10-26,32895.0
2017-10-27,33120.0
2017-10-30,33165.0
2017-10-31,33585.0
2017-11-01,34060.0
2017-11-02,33945.0
2017-11-03,34050.0
2017-11-06,33910.0
2017-11-07,33860.0
2017-11-08,33995.0
2017-11-09,33880.0
2017-11-10,33790.0
2017-11-13,33645.0
2017-11-14,33590.0
2017-11-15,33405.0
2017-11-16,33605.0
2017-11-17,33640.0
2017-11-20,33460.0
2017-11-21,33570.0
2017-11-22,33720.0
2017-11-23,33660.0
2017-11-24,33700.0
2017-11-27,33165.0
2017-11-28,33255.0
2017-11-29,33265.0
2017-11-30,32725.0
2017-12-01,32720.0
2017-12-04,33005.0
2017-12-05,33110.0
2017-12-06,32650.0
2017-12-07,32540.0
2017-12-08,32610.0
2017-12-11,32675.0
2017-12-12,32540.0
2017-12-13,32760.0
2017-12-14,32790.0
2017-12-15,32780.0
2017-12-18,32820.0
2017-12-19,32855.0
2017-12-20,32795.0
2017-12-21,32175.0
2017-12-22,32355.0
2017-12-26,32155.0
2017-12-27,32520.0
2017-12-28,33005.0
2018-01-02,33105.0
2018-01-03,33255.0
2018-01-04,32975.0
2018-01-05,33370.0
2018-01-08,33630.0
2018-01-09,33550.0
2018-01-10,33325.0
2018-01-11,33210.0
2018-01-12,33220.0
2018-01-15,33305.0
2018-01-16,33570.0
2018-01-17,33460.0
2018-01-18,33460.0
2018-01-19,33470.0
2018-01-22,33155.0
2018-01-23,33575.0
2018-01-24,33635.0
2018-01-25,33950.0
2018-01-26,34085.0
2018-01-29,34330.0
2018-01-30,33890.0
2018-01-31,33985.0
2018-02-01,33915.0
2018-02-02,33235.0
2018-02-05,32875.0
2018-02-06,32365.0
2018-02-07,31605.0
2018-02-08,31840.0
2018-02-09,31020.0
2018-02-12,31345.0
2018-02-13,31610.0
2018-02-14,31975.0
2018-02-19,32175.0
2018-02-20,31765.0
2018-02-21,31950.0
2018-02-22,31765.0
2018-02-23,32220.0
2018-02-26,32310.0
2018-02-27,32255.0
2018-02-28,31940.0
2018-03-02,31375.0
2018-03-05,31000.0
2018-03-06,31600.0
2018-03-07,31595.0
2018-03-08,31910.0
2018-03-09,32300.0
2018-03-12,32610.0
2018-03-13,32770.0
2018-03-14,32750.0
2018-03-15,32885.0
2018-03-16,32800.0
2018-03-19,32610.0
2018-03-20,32700.0
2018-03-21,32735.0
2018-03-22,32865.0
2018-03-23,31775.0
2018-03-26,32000.0
2018-03-27,32200.0
2018-03-28,31740.0
2018-03-29,32045.0
2018-03-30,32180.0
2018-04-02,32060.0
2018-04-03,31910.0
2018-04-04,31450.0
2018-04-05,31910.0
2018-04-06,31750.0
2018-04-09,31985.0
2018-04-10,32015.0
2018-04-11,31915.0
2018-04-12,32035.0
2018-04-13,32130.0
2018-04-16,32160.0
2018-04-17,32100.0
2018-04-18,32475.0
2018-04-19,32635.0
2018-04-20,32395.0
2018-04-23,32395.0
2018-04-24,32255.0
2018-04-25,31975.0
2018-04-26,32445.0
2018-04-27,32285.0
2018-04-30,32545.0
2018-05-02,32180.0
2018-05-03,32070.0
2018-05-04,31830.0
2018-05-08,31645.0
2018-05-09,31590.0
2018-05-10,31810.0
2018-05-11,31995.0
2018-05-14,31920.0
2018-05-15,31635.0
2018-05-16,31745.0
2018-05-17,31610.0
2018-05-18,31720.0
2018-05-21,31780.0
2018-05-23,31975.0
2018-05-24,31875.0
2018-05-25,31950.0
2018-05-28,32060.0
2018-05-29,31780.0
2018-05-30,31070.0
2018-05-31,31275.0
2018-06-01,31380.0
2018-06-04,31570.0
2018-06-05,31640.0
2018-06-07,31915.0
2018-06-08,31625.0
2018-06-11,31870.0
2018-06-12,31845.0
2018-06-14,31255.0
2018-06-15,31080.0
2018-06-18,30710.0
2018-06-19,30280.0
2018-06-20,30610.0
2018-06-21,30265.0
2018-06-22,30515.0
2018-06-25,30540.0
2018-06-26,30500.0
2018-06-27,30375.0
2018-06-28,30075.0
2018-06-29,30240.0
2018-07-02,29500.0
2018-07-03,29535.0
2018-07-04,29470.0
2018-07-05,29385.0
2018-07-06,29555.0
2018-07-09,29755.0
2018-07-10,29840.0
2018-07-11,29680.0
2018-07-12,29715.0
2018-07-13,30045.0
2018-07-16,29955.0
2018-07-17,29935.0
2018-07-18,29845.0
2018-07-19,29790.0
2018-07-20,29935.0
2018-07-23,29670.0
2018-07-24,29760.0
2018-07-25,29720.0
2018-07-26,29850.0
2018-07-27,29970.0
2018-07-30,29915.0
2018-07-31,29990.0
2018-08-01,30050.0
2018-08-02,29560.0
2018-08-03,29770.0
2018-08-06,29725.0
2018-08-07,29930.0
2018-08-08,29910.0
2018-08-09,29880.0
2018-08-10,29600.0
2018-08-13,29175.0
2018-08-14,29380.0
2018-08-16,29030.0
2018-08-17,29055.0
2018-08-20,29100.0
2018-08-21,29385.0
2018-08-22,29515.0
2018-08-23,29605.0
2018-08-24,29735.0
2018-08-27,29905.0
2018-08-28,29900.0
2018-08-29,29975.0
2018-08-30,30030.0
2018-08-31,30120.0
2018-09-03,29955.0
2018-09-04,30100.0
2018-09-05,29710.0
2018-09-06,29600.0
2018-09-07,29490.0
2018-09-10,29540.0
2018-09-11,29470.0
2018-09-12,29410.0
2018-09-13,29440.0
2018-09-14,29915.0
2018-09-17,29710.0
2018-09-18,29835.0
2018-09-19,29845.0
2018-09-20,30110.0
2018-09-21,30250.0
2018-09-27,30480.0
2018-09-28,30325.0
2018-10-01,30290.0
2018-10-02,29910.0
2018-10-04,29430.0
2018-10-05,29400.0
