Date,파워 코스피100
2016-11-15,18895.0
2016-11-16,18965.0
2016-11-17,18970.0
2016-11-18,18980.0
2016-11-21,18950.0
2016-11-22,19190.0
2016-11-23,19320.0
2016-11-24,19195.0
2016-11-25,19210.0
2016-11-28,19275.0
2016-11-29,19225.0
2016-11-30,19370.0
2016-12-01,19380.0
2016-12-02,19265.0
2016-12-05,19235.0
2016-12-06,19480.0
2016-12-07,19565.0
2016-12-08,19990.0
2016-12-09,19890.0
2016-12-12,19850.0
2016-12-13,19870.0
2016-12-14,19940.0
2016-12-15,19915.0
2016-12-16,19985.0
2016-12-19,19950.0
2016-12-20,20015.0
2016-12-21,19980.0
2016-12-22,19955.0
2016-12-23,19885.0
2016-12-26,19955.0
2016-12-27,20000.0
2016-12-28,19990.0
2016-12-29,20145.0
2017-01-02,20150.0
2017-01-03,20360.0
2017-01-04,20380.0
2017-01-05,20270.0
2017-01-06,20375.0
2017-01-09,20470.0
2017-01-10,20425.0
2017-01-11,20795.0
2017-01-12,20880.0
2017-01-13,20765.0
2017-01-16,20645.0
2017-01-17,20705.0
2017-01-18,20685.0
2017-01-19,20715.0
2017-01-20,20660.0
2017-01-23,20685.0
2017-01-24,20725.0
2017-01-25,20800.0
2017-01-26,21015.0
2017-01-31,20850.0
2017-02-01,20870.0
2017-02-02,20780.0
2017-02-03,20830.0
2017-02-06,20950.0
2017-02-07,20890.0
2017-02-08,20660.0
2017-02-09,20790.0
2017-02-10,20820.0
2017-02-13,20790.0
2017-02-14,20770.0
2017-02-15,20770.0
2017-02-16,20780.0
2017-02-17,20810.0
2017-02-20,20860.0
2017-02-21,21050.0
2017-02-22,21110.0
2017-02-23,21150.0
2017-02-24,20975.0
2017-02-27,20845.0
2017-02-28,20925.0
2017-03-02,21105.0
2017-03-03,20935.0
2017-03-06,20950.0
2017-03-07,21035.0
2017-03-08,21075.0
2017-03-09,21090.0
2017-03-10,21080.0
2017-03-13,21400.0
2017-03-14,21560.0
2017-03-15,21610.0
2017-03-16,21710.0
2017-03-17,21815.0
2017-03-20,21825.0
2017-03-21,22070.0
2017-03-22,21905.0
2017-03-23,22010.0
2017-03-24,21960.0
2017-03-27,21790.0
2017-03-28,21790.0
2017-03-29,21860.0
2017-03-30,21830.0
2017-03-31,21845.0
2017-04-03,21810.0
2017-04-04,21840.0
2017-04-05,21835.0
2017-04-06,21745.0
2017-04-07,21655.0
2017-04-10,21590.0
2017-04-11,21460.0
2017-04-12,21475.0
2017-04-13,21605.0
2017-04-14,21585.0
2017-04-17,21625.0
2017-04-18,21630.0
2017-04-19,21490.0
2017-04-20,21510.0
2017-04-21,21795.0
2017-04-24,21840.0
2017-04-25,21925.0
