Date,TIGER 인버스
2018-03-20,6540.0
2018-03-21,6535.0
2018-03-22,6510.0
2018-03-23,6740.0
2018-03-26,6665.0
2018-03-27,6635.0
2018-03-28,6735.0
2018-03-29,6665.0
2018-03-30,6650.0
2018-04-02,6665.0
2018-04-03,6680.0
2018-04-04,6800.0
2018-04-05,6690.0
2018-04-06,6735.0
2018-04-09,6685.0
2018-04-10,6685.0
2018-04-11,6695.0
2018-04-12,6700.0
2018-04-13,6660.0
2018-04-16,6650.0
2018-04-17,6660.0
2018-04-18,6590.0
2018-04-19,6550.0
2018-04-20,6610.0
2018-04-23,6600.0
2018-04-24,6635.0
2018-04-25,6680.0
2018-04-26,6605.0
2018-04-27,6530.0
2018-04-30,6500.0
2018-05-02,6545.0
2018-05-03,6585.0
2018-05-04,6620.0
2018-05-08,6650.0
2018-05-09,6670.0
2018-05-10,6640.0
2018-05-11,6600.0
2018-05-14,6600.0
2018-05-15,6660.0
2018-05-16,6655.0
2018-05-17,6680.0
2018-05-18,6655.0
2018-05-21,6645.0
2018-05-23,6610.0
2018-05-24,6615.0
2018-05-25,6605.0
2018-05-28,6590.0
2018-05-29,6645.0
2018-05-30,6785.0
2018-05-31,6775.0
2018-06-01,6720.0
2018-06-04,6680.0
2018-06-05,6675.0
2018-06-07,6600.0
2018-06-08,6680.0
2018-06-11,6630.0
2018-06-12,6635.0
2018-06-14,6735.0
2018-06-15,6800.0
2018-06-18,6880.0
2018-06-19,6970.0
2018-06-20,6895.0
2018-06-21,6970.0
2018-06-22,6915.0
2018-06-25,6920.0
2018-06-26,6920.0
2018-06-27,6940.0
2018-06-28,7010.0
2018-06-29,7000.0
2018-07-02,7155.0
2018-07-03,7130.0
2018-07-04,7160.0
2018-07-05,7180.0
2018-07-06,7135.0
2018-07-09,7085.0
2018-07-10,7070.0
2018-07-11,7105.0
2018-07-12,7090.0
2018-07-13,7015.0
2018-07-16,7040.0
2018-07-17,7040.0
2018-07-18,7060.0
2018-07-19,7075.0
2018-07-20,7055.0
2018-07-23,7100.0
2018-07-24,7075.0
2018-07-25,7100.0
2018-07-26,7060.0
2018-07-27,7035.0
2018-07-30,7045.0
2018-07-31,7050.0
2018-08-01,7015.0
2018-08-02,7140.0
2018-08-03,7095.0
2018-08-06,7090.0
2018-08-07,7050.0
2018-08-08,7045.0
2018-08-09,7050.0
2018-08-10,7125.0
2018-08-13,7215.0
2018-08-14,7195.0
2018-08-16,7260.0
2018-08-17,7255.0
2018-08-20,7255.0
2018-08-21,7180.0
2018-08-22,7150.0
2018-08-23,7135.0
2018-08-24,7100.0
2018-08-27,7070.0
2018-08-28,7060.0
2018-08-29,7035.0
2018-08-30,7040.0
2018-08-31,7015.0
2018-09-03,7050.0
2018-09-04,7020.0
2018-09-05,7115.0
2018-09-06,7130.0
2018-09-07,7165.0
2018-09-10,7150.0
2018-09-11,7165.0
2018-09-12,7165.0
2018-09-13,7175.0
2018-09-14,7055.0
2018-09-17,7115.0
2018-09-18,7080.0
2018-09-19,7075.0
2018-09-20,7015.0
2018-09-21,6980.0
2018-09-27,6930.0
2018-09-28,6960.0
2018-10-01,6980.0
2018-10-02,7060.0
2018-10-04,7170.0
