Date,TIGER 경기방어
2017-07-07,13270.0
2017-07-10,13160.0
2017-07-11,13185.0
2017-07-12,13105.0
2017-07-13,13090.0
2017-07-14,13145.0
2017-07-17,13180.0
2017-07-18,13195.0
2017-07-19,13350.0
2017-07-20,13350.0
2017-07-21,13395.0
2017-07-24,13575.0
2017-07-25,13595.0
2017-07-26,13660.0
2017-07-27,13710.0
2017-07-28,13695.0
2017-07-31,13510.0
2017-08-01,13505.0
2017-08-02,13565.0
2017-08-03,13415.0
2017-08-04,13325.0
2017-08-07,13355.0
2017-08-08,13270.0
2017-08-09,13250.0
2017-08-10,13260.0
2017-08-11,13145.0
2017-08-14,13125.0
2017-08-16,13170.0
2017-08-17,13135.0
2017-08-18,13145.0
2017-08-21,13050.0
2017-08-22,13060.0
2017-08-23,13045.0
2017-08-24,13195.0
2017-08-25,13170.0
2017-08-28,13265.0
2017-08-29,13180.0
2017-08-30,13220.0
2017-08-31,13075.0
2017-09-01,13030.0
2017-09-04,12845.0
2017-09-05,12735.0
2017-09-06,12635.0
2017-09-07,12750.0
2017-09-08,12580.0
2017-09-11,12540.0
2017-09-12,12585.0
2017-09-13,12480.0
2017-09-14,12520.0
2017-09-15,12645.0
2017-09-18,12540.0
2017-09-19,12530.0
2017-09-20,12550.0
2017-09-21,12555.0
2017-09-22,12400.0
2017-09-25,12185.0
2017-09-26,12295.0
2017-09-27,12340.0
2017-09-28,12425.0
2017-09-29,12570.0
2017-10-10,12675.0
2017-10-11,12585.0
2017-10-12,12730.0
2017-10-13,13015.0
2017-10-16,13220.0
2017-10-17,13225.0
2017-10-18,13210.0
2017-10-19,13265.0
2017-10-20,13255.0
2017-10-23,13160.0
2017-10-24,13330.0
2017-10-25,13315.0
2017-10-26,13425.0
2017-10-27,13375.0
2017-10-30,13395.0
2017-10-31,13400.0
2017-11-01,13375.0
2017-11-02,13335.0
2017-11-03,13595.0
2017-11-06,13655.0
2017-11-07,13615.0
2017-11-08,13740.0
2017-11-09,13755.0
2017-11-10,13670.0
2017-11-13,13745.0
2017-11-14,13740.0
2017-11-15,13860.0
2017-11-16,13850.0
2017-11-17,13830.0
2017-11-20,13950.0
2017-11-21,13965.0
2017-11-22,13855.0
2017-11-23,13925.0
2017-11-24,13940.0
2017-11-27,14065.0
2017-11-28,14050.0
2017-11-29,14080.0
2017-11-30,13960.0
2017-12-01,14030.0
2017-12-04,14180.0
2017-12-05,14305.0
2017-12-06,14100.0
2017-12-07,13930.0
2017-12-08,13710.0
2017-12-11,13995.0
2017-12-12,13790.0
2017-12-13,14075.0
2017-12-14,14090.0
2017-12-15,14175.0
2017-12-18,14160.0
2017-12-19,14025.0
2017-12-20,13980.0
2017-12-21,13860.0
2017-12-22,13940.0
2017-12-26,13980.0
2017-12-27,14095.0
2017-12-28,14155.0
2018-01-02,14225.0
2018-01-03,14130.0
2018-01-04,13920.0
2018-01-05,13950.0
2018-01-08,14015.0
2018-01-09,14105.0
2018-01-10,14255.0
2018-01-11,14300.0
2018-01-12,14280.0
2018-01-15,14310.0
2018-01-16,14300.0
2018-01-17,14245.0
2018-01-18,14315.0
2018-01-19,14330.0
2018-01-22,14290.0
2018-01-23,14350.0
2018-01-24,14290.0
2018-01-25,14265.0
2018-01-26,14460.0
2018-01-29,14535.0
2018-01-30,14490.0
2018-01-31,14355.0
2018-02-01,14315.0
2018-02-02,14175.0
2018-02-05,13930.0
2018-02-06,13795.0
2018-02-07,13470.0
2018-02-08,13475.0
2018-02-09,13305.0
2018-02-12,13295.0
2018-02-13,13230.0
2018-02-14,13230.0
2018-02-19,13315.0
2018-02-20,13300.0
2018-02-21,13445.0
2018-02-22,13405.0
2018-02-23,13535.0
2018-02-26,13570.0
2018-02-27,13475.0
2018-02-28,13275.0
2018-03-02,13180.0
2018-03-05,13090.0
2018-03-06,13055.0
2018-03-07,12975.0
2018-03-08,13095.0
2018-03-09,13115.0
2018-03-12,13200.0
2018-03-13,13060.0
2018-03-14,12935.0
2018-03-15,13170.0
2018-03-16,13205.0
2018-03-19,13075.0
2018-03-20,13090.0
2018-03-21,13030.0
2018-03-22,12980.0
2018-03-23,12695.0
2018-03-26,12765.0
2018-03-27,12855.0
2018-03-28,12750.0
2018-03-29,13075.0
2018-03-30,13125.0
2018-04-02,13265.0
2018-04-03,13430.0
2018-04-04,13345.0
2018-04-05,13285.0
2018-04-06,13260.0
2018-04-09,13530.0
2018-04-10,13635.0
2018-04-11,13525.0
2018-04-12,13335.0
2018-04-13,13310.0
2018-04-16,13320.0
2018-04-17,13285.0
2018-04-18,13240.0
2018-04-19,12945.0
2018-04-20,13015.0
2018-04-23,12810.0
2018-04-24,12845.0
2018-04-25,12770.0
2018-04-26,12825.0
2018-04-27,12870.0
2018-04-30,12975.0
2018-05-02,12850.0
2018-05-03,12685.0
2018-05-04,12540.0
2018-05-08,12385.0
2018-05-09,12595.0
2018-05-10,12630.0
2018-05-11,12660.0
2018-05-14,12575.0
2018-05-15,12615.0
2018-05-16,12670.0
2018-05-17,12575.0
2018-05-18,12660.0
2018-05-21,12700.0
2018-05-23,12520.0
2018-05-24,12625.0
2018-05-25,12715.0
2018-05-28,12705.0
2018-05-29,12670.0
2018-05-30,12540.0
2018-05-31,12520.0
2018-06-01,12680.0
2018-06-04,12560.0
2018-06-05,12595.0
2018-06-07,12800.0
2018-06-08,12800.0
2018-06-11,12880.0
2018-06-12,13005.0
2018-06-14,12965.0
2018-06-15,12990.0
2018-06-18,13075.0
2018-06-19,12680.0
2018-06-20,12940.0
2018-06-21,12790.0
2018-06-22,13010.0
2018-06-25,12940.0
2018-06-26,12950.0
2018-06-27,12915.0
2018-06-28,12895.0
2018-06-29,12940.0
2018-07-02,12795.0
2018-07-03,12670.0
2018-07-04,12550.0
2018-07-05,12395.0
2018-07-06,12535.0
2018-07-09,12495.0
2018-07-10,12465.0
2018-07-11,12395.0
2018-07-12,12565.0
2018-07-13,12610.0
2018-07-16,12605.0
2018-07-17,12565.0
2018-07-18,12395.0
2018-07-19,12255.0
2018-07-20,12285.0
2018-07-23,12175.0
2018-07-24,12245.0
2018-07-25,12045.0
2018-07-26,11980.0
2018-07-27,11990.0
2018-07-30,12015.0
2018-07-31,12165.0
2018-08-01,12310.0
2018-08-02,12250.0
2018-08-03,12335.0
2018-08-06,12315.0
2018-08-07,12250.0
2018-08-08,12265.0
2018-08-09,12335.0
2018-08-10,12310.0
2018-08-13,12075.0
2018-08-14,12070.0
2018-08-16,11995.0
2018-08-17,12060.0
2018-08-20,12025.0
2018-08-21,12120.0
2018-08-22,12060.0
2018-08-23,12195.0
2018-08-24,12315.0
2018-08-27,12355.0
2018-08-28,12255.0
2018-08-29,12230.0
2018-08-30,12180.0
2018-08-31,12235.0
2018-09-03,12195.0
2018-09-04,12315.0
2018-09-05,12235.0
2018-09-06,12240.0
2018-09-07,12300.0
2018-09-10,12195.0
2018-09-11,12270.0
2018-09-12,12415.0
2018-09-13,12525.0
2018-09-14,12580.0
2018-09-17,12675.0
2018-09-18,12680.0
2018-09-19,12650.0
2018-09-20,12565.0
2018-09-21,12645.0
2018-09-27,12785.0
2018-09-28,12830.0
2018-10-01,12730.0
2018-10-02,12510.0
2018-10-04,12325.0
