Date,TIGER KRX100
2017-11-24,52660.0
2017-11-27,52005.0
2017-11-28,52000.0
2017-11-29,51915.0
2017-11-30,51225.0
2017-12-01,51285.0
2017-12-04,51170.0
2017-12-05,51295.0
2017-12-06,51165.0
2017-12-07,51025.0
2017-12-08,51095.0
2017-12-11,51150.0
2017-12-12,51150.0
2017-12-13,51290.0
2017-12-14,52115.0
2017-12-15,51575.0
2017-12-18,51575.0
2017-12-19,51575.0
2017-12-20,51700.0
2017-12-21,50620.0
2017-12-22,50665.0
2017-12-26,50440.0
2017-12-27,51380.0
2017-12-28,52180.0
2018-01-02,52260.0
2018-01-03,52340.0
2018-01-04,52190.0
2018-01-05,52820.0
2018-01-08,53170.0
2018-01-09,53300.0
2018-01-10,52750.0
2018-01-11,52825.0
2018-01-12,52850.0
2018-01-15,53230.0
2018-01-16,53590.0
2018-01-17,53410.0
2018-01-18,53395.0
2018-01-19,53335.0
2018-01-22,52450.0
2018-01-23,53320.0
2018-01-24,53400.0
2018-01-25,53715.0
2018-01-26,53980.0
2018-01-29,54405.0
2018-01-30,53740.0
2018-01-31,53485.0
2018-02-01,53720.0
2018-02-02,52780.0
2018-02-05,52110.0
2018-02-06,51220.0
2018-02-07,50500.0
2018-02-08,50320.0
2018-02-09,48980.0
2018-02-12,49505.0
2018-02-13,50195.0
2018-02-14,50875.0
2018-02-19,51180.0
2018-02-20,50725.0
2018-02-21,50740.0
2018-02-22,50700.0
2018-02-23,51045.0
2018-02-26,51400.0
2018-02-27,51820.0
2018-02-28,51200.0
2018-03-02,50515.0
2018-03-05,50050.0
2018-03-06,50760.0
2018-03-07,50830.0
2018-03-08,51095.0
2018-03-09,51630.0
2018-03-12,52275.0
2018-03-13,52495.0
2018-03-14,52170.0
2018-03-15,52675.0
2018-03-16,52410.0
2018-03-19,52170.0
2018-03-20,52100.0
2018-03-21,52450.0
2018-03-22,52375.0
2018-03-23,50845.0
2018-03-26,50765.0
2018-03-27,51515.0
2018-03-28,50800.0
2018-03-29,51170.0
2018-03-30,51470.0
2018-04-02,51300.0
2018-04-03,51135.0
2018-04-04,50510.0
2018-04-05,50855.0
2018-04-06,50825.0
2018-04-09,50915.0
2018-04-10,50910.0
2018-04-11,50910.0
2018-04-12,51165.0
2018-04-13,51165.0
2018-04-16,51200.0
2018-04-17,51200.0
2018-04-18,51810.0
2018-04-19,52155.0
2018-04-20,51770.0
2018-04-23,51750.0
2018-04-24,51385.0
2018-04-25,51060.0
2018-04-26,51735.0
2018-04-27,51435.0
2018-04-30,51790.0
2018-05-02,51605.0
2018-05-03,51535.0
2018-05-04,51110.0
2018-05-08,50515.0
2018-05-09,50455.0
2018-05-10,50670.0
2018-05-11,50870.0
2018-05-14,50795.0
2018-05-15,50755.0
2018-05-16,50665.0
2018-05-17,50505.0
2018-05-18,50360.0
2018-05-21,50540.0
2018-05-23,51030.0
2018-05-24,50870.0
2018-05-25,51010.0
2018-05-28,51010.0
2018-05-29,50730.0
2018-05-30,49505.0
2018-05-31,49760.0
2018-06-01,50095.0
2018-06-04,50095.0
2018-06-05,50530.0
2018-06-07,50960.0
2018-06-08,50600.0
2018-06-11,50720.0
2018-06-12,50805.0
2018-06-14,50095.0
2018-06-15,49605.0
2018-06-18,48850.0
2018-06-19,48630.0
2018-06-20,48815.0
2018-06-21,48655.0
2018-06-22,48735.0
2018-06-25,48925.0
2018-06-26,48860.0
2018-06-27,48755.0
2018-06-28,48170.0
2018-06-29,48160.0
2018-07-02,47475.0
2018-07-03,47290.0
2018-07-04,47265.0
2018-07-05,47210.0
2018-07-06,47155.0
2018-07-09,47695.0
2018-07-10,48020.0
2018-07-11,47675.0
2018-07-12,47815.0
2018-07-13,48310.0
2018-07-16,48250.0
2018-07-17,48190.0
2018-07-18,48185.0
2018-07-19,48160.0
2018-07-20,48010.0
2018-07-23,47785.0
2018-07-24,47670.0
2018-07-25,47765.0
2018-07-26,48155.0
2018-07-27,48155.0
2018-07-30,48155.0
2018-07-31,48110.0
2018-08-01,48320.0
2018-08-02,47520.0
2018-08-03,47600.0
2018-08-06,47770.0
2018-08-07,47885.0
2018-08-08,47855.0
2018-08-09,47920.0
2018-08-10,47330.0
2018-08-13,46650.0
2018-08-14,46885.0
2018-08-16,46635.0
2018-08-17,46700.0
2018-08-20,46595.0
2018-08-21,47180.0
2018-08-22,47180.0
2018-08-23,47370.0
2018-08-24,47560.0
2018-08-27,48010.0
2018-08-28,48000.0
2018-08-29,47955.0
2018-08-30,48225.0
2018-08-31,48280.0
2018-09-03,47960.0
2018-09-04,48080.0
2018-09-05,47700.0
2018-09-06,47495.0
2018-09-07,47250.0
2018-09-10,47205.0
2018-09-11,47105.0
2018-09-12,47065.0
2018-09-13,47065.0
2018-09-14,47710.0
2018-09-17,47510.0
2018-09-18,47530.0
2018-09-19,47650.0
2018-09-20,48005.0
2018-09-21,48050.0
2018-09-27,48610.0
2018-09-28,48450.0
2018-10-01,48390.0
2018-10-02,47755.0
2018-10-04,46840.0
