Date,KBSTAR 주식혼합
2017-10-12,36140.0
2017-10-13,36085.0
2017-10-16,36140.0
2017-10-17,36200.0
2017-10-18,36290.0
2017-10-19,36150.0
2017-10-20,36245.0
2017-10-23,36355.0
2017-10-24,36300.0
2017-10-25,36330.0
2017-10-26,36135.0
2017-10-27,36290.0
2017-10-30,36280.0
2017-10-31,36635.0
2017-11-01,36890.0
2017-11-02,36850.0
2017-11-03,36925.0
2017-11-06,36875.0
2017-11-07,36815.0
2017-11-08,36855.0
2017-11-09,36815.0
2017-11-10,36745.0
2017-11-13,36625.0
2017-11-14,36580.0
2017-11-15,36455.0
2017-11-16,36630.0
2017-11-17,36655.0
2017-11-20,36545.0
2017-11-21,36570.0
2017-11-22,36685.0
2017-11-23,36650.0
2017-11-24,36770.0
2017-11-27,36405.0
2017-11-28,36430.0
2017-11-29,36450.0
2017-11-30,36005.0
2017-12-01,36045.0
2017-12-04,36220.0
2017-12-05,36335.0
2017-12-06,36010.0
2017-12-07,35825.0
2017-12-08,35890.0
2017-12-11,35935.0
2017-12-12,35850.0
2017-12-13,36020.0
2017-12-14,36165.0
2017-12-15,36025.0
2017-12-18,36060.0
2017-12-19,36080.0
2017-12-20,36000.0
2017-12-21,35560.0
2017-12-22,35670.0
2017-12-26,35520.0
2017-12-27,35840.0
2017-12-28,36235.0
2018-01-02,36330.0
2018-01-03,36445.0
2018-01-04,36250.0
2018-01-05,36550.0
2018-01-08,36705.0
2018-01-09,36590.0
2018-01-10,36440.0
2018-01-11,36360.0
2018-01-12,36410.0
2018-01-15,36415.0
2018-01-16,36645.0
2018-01-17,36560.0
2018-01-18,36585.0
2018-01-19,36595.0
2018-01-22,36360.0
2018-01-23,36645.0
2018-01-24,36690.0
2018-01-25,36925.0
2018-01-26,37000.0
2018-01-29,37220.0
2018-01-30,36905.0
2018-01-31,36935.0
2018-02-01,36930.0
2018-02-02,36405.0
2018-02-05,36105.0
2018-02-06,35750.0
2018-02-07,35145.0
2018-02-08,35275.0
2018-02-09,34645.0
2018-02-12,35010.0
2018-02-13,35160.0
2018-02-14,35370.0
2018-02-19,35550.0
2018-02-20,35295.0
2018-02-21,35420.0
2018-02-22,35260.0
2018-02-23,35545.0
2018-02-26,35670.0
2018-02-27,35665.0
2018-02-28,35330.0
2018-03-02,34970.0
2018-03-05,34680.0
2018-03-06,35110.0
2018-03-07,35160.0
2018-03-08,35385.0
2018-03-09,35675.0
2018-03-12,35985.0
2018-03-13,36095.0
2018-03-14,36065.0
2018-03-15,36165.0
2018-03-16,36090.0
2018-03-19,35945.0
2018-03-20,36000.0
2018-03-21,36045.0
2018-03-22,36155.0
2018-03-23,35290.0
2018-03-26,35470.0
2018-03-27,35615.0
2018-03-28,35215.0
2018-03-29,35525.0
2018-03-30,35630.0
2018-04-02,35505.0
2018-04-03,35390.0
2018-04-04,35065.0
2018-04-05,35430.0
2018-04-06,35270.0
2018-04-09,35445.0
2018-04-10,35490.0
2018-04-11,35415.0
2018-04-12,35500.0
2018-04-13,35580.0
2018-04-16,35605.0
2018-04-17,35555.0
2018-04-18,35855.0
2018-04-19,35990.0
2018-04-20,35785.0
2018-04-23,35765.0
2018-04-24,35610.0
2018-04-25,35435.0
2018-04-26,35735.0
2018-04-27,36125.0
2018-04-30,36240.0
2018-05-02,36130.0
2018-05-03,36015.0
2018-05-04,35750.0
2018-05-08,35565.0
2018-05-09,35555.0
2018-05-10,35660.0
2018-05-11,35835.0
2018-05-14,35760.0
2018-05-15,35550.0
2018-05-16,35630.0
2018-05-17,35535.0
2018-05-18,35610.0
2018-05-21,35695.0
2018-05-23,35875.0
2018-05-24,35770.0
2018-05-25,35830.0
2018-05-28,35910.0
2018-05-29,35705.0
2018-05-30,35210.0
2018-05-31,35235.0
2018-06-01,35445.0
2018-06-04,35535.0
2018-06-05,35595.0
2018-06-07,35490.0
2018-06-08,35290.0
2018-06-11,35430.0
2018-06-12,35430.0
2018-06-14,35065.0
2018-06-15,34875.0
2018-06-18,34540.0
2018-06-19,34235.0
2018-06-20,34520.0
2018-06-21,34250.0
2018-06-22,34415.0
2018-06-25,34460.0
2018-06-26,34415.0
2018-06-27,34395.0
2018-06-28,34125.0
2018-06-29,34210.0
2018-07-02,33685.0
2018-07-03,33735.0
2018-07-04,33645.0
2018-07-05,33535.0
2018-07-06,33725.0
2018-07-09,33875.0
2018-07-10,33920.0
2018-07-11,33790.0
2018-07-12,33855.0
2018-07-13,34125.0
2018-07-16,34030.0
2018-07-17,33990.0
2018-07-18,33950.0
2018-07-19,33930.0
2018-07-20,34030.0
2018-07-23,33750.0
2018-07-24,33835.0
2018-07-25,33830.0
2018-07-26,33960.0
2018-07-27,34010.0
2018-07-30,33995.0
2018-07-31,34035.0
2018-08-01,34110.0
2018-08-02,33730.0
2018-08-03,33880.0
2018-08-06,33835.0
2018-08-07,34015.0
2018-08-08,33990.0
2018-08-09,33975.0
2018-08-10,33730.0
2018-08-13,33400.0
2018-08-14,33550.0
2018-08-16,33295.0
2018-08-17,33340.0
2018-08-20,33345.0
2018-08-21,33645.0
2018-08-22,33730.0
2018-08-23,33800.0
2018-08-24,33910.0
2018-08-27,34030.0
2018-08-28,34015.0
2018-08-29,34110.0
2018-08-30,34160.0
2018-08-31,34225.0
2018-09-03,34100.0
2018-09-04,34220.0
2018-09-05,33915.0
2018-09-06,33820.0
2018-09-07,33725.0
2018-09-10,33790.0
2018-09-11,33705.0
2018-09-12,33690.0
2018-09-13,33705.0
2018-09-14,34060.0
2018-09-17,33915.0
2018-09-18,33980.0
2018-09-19,33990.0
2018-09-20,34190.0
2018-09-21,34250.0
2018-09-27,34460.0
2018-09-28,34370.0
2018-10-01,34350.0
