Date,TIGER 200 IT
2018-08-14,21410.0
2018-08-16,21165.0
2018-08-17,21105.0
2018-08-20,21020.0
2018-08-21,21525.0
2018-08-22,21665.0
2018-08-23,21960.0
2018-08-24,21970.0
2018-08-27,22275.0
2018-08-28,22075.0
2018-08-29,22370.0
2018-08-30,22435.0
2018-08-31,22410.0
2018-09-03,22235.0
2018-09-04,22480.0
2018-09-05,22120.0
2018-09-06,21865.0
2018-09-07,21580.0
2018-09-10,21645.0
2018-09-11,21590.0
2018-09-12,21450.0
2018-09-13,21310.0
2018-09-14,21820.0
2018-09-17,21680.0
2018-09-18,21725.0
2018-09-19,21810.0
2018-09-20,21880.0
2018-09-21,21740.0
2018-09-27,21725.0
2018-09-28,21440.0
2018-10-01,21470.0
2018-10-02,21135.0
2018-10-04,20850.0
