Date,KODEX 자동차
2017-12-27,17295.0
2017-12-28,17360.0
2018-01-02,17020.0
2018-01-03,17055.0
2018-01-04,16590.0
2018-01-05,16700.0
2018-01-08,16700.0
2018-01-09,16800.0
2018-01-10,16985.0
2018-01-11,16830.0
2018-01-12,16615.0
2018-01-15,16640.0
2018-01-16,16920.0
2018-01-17,16880.0
2018-01-18,16770.0
2018-01-19,17340.0
2018-01-22,17385.0
2018-01-23,17400.0
2018-01-24,17480.0
2018-01-25,17640.0
2018-01-26,16990.0
2018-01-29,17095.0
2018-01-30,17025.0
2018-01-31,17250.0
2018-02-01,17295.0
2018-02-02,17715.0
2018-02-05,17450.0
2018-02-06,17210.0
2018-02-07,16850.0
2018-02-08,16945.0
2018-02-09,16665.0
2018-02-12,16335.0
2018-02-13,16065.0
2018-02-14,16125.0
2018-02-19,16345.0
2018-02-20,16140.0
2018-02-21,16565.0
2018-02-22,16500.0
2018-02-23,16735.0
2018-02-26,16805.0
2018-02-27,16810.0
2018-02-28,16830.0
2018-03-02,16410.0
2018-03-05,16195.0
2018-03-06,16330.0
2018-03-07,15825.0
2018-03-08,15935.0
2018-03-09,16080.0
2018-03-12,16120.0
2018-03-13,16020.0
2018-03-14,16200.0
2018-03-15,16120.0
2018-03-16,16130.0
2018-03-19,15775.0
2018-03-20,15920.0
2018-03-21,16050.0
2018-03-22,16055.0
2018-03-23,15775.0
2018-03-26,15825.0
2018-03-27,16105.0
2018-03-28,16440.0
2018-03-29,15890.0
2018-03-30,15715.0
2018-04-02,16070.0
2018-04-03,16420.0
2018-04-04,16770.0
2018-04-05,16550.0
2018-04-06,16365.0
2018-04-09,16225.0
2018-04-10,16360.0
2018-04-11,16240.0
2018-04-12,16070.0
2018-04-13,15935.0
2018-04-16,15930.0
2018-04-17,16150.0
2018-04-18,16195.0
2018-04-19,15975.0
2018-04-20,16000.0
2018-04-23,16010.0
2018-04-24,16125.0
2018-04-25,15975.0
2018-04-26,15735.0
2018-04-27,15680.0
2018-04-30,15975.0
2018-05-02,15990.0
2018-05-03,16000.0
2018-05-04,15805.0
2018-05-08,15705.0
2018-05-09,15605.0
2018-05-10,15540.0
2018-05-11,15700.0
2018-05-14,15655.0
2018-05-15,15500.0
2018-05-16,15575.0
2018-05-17,15650.0
2018-05-18,15660.0
2018-05-21,15690.0
2018-05-23,15460.0
2018-05-24,15145.0
2018-05-25,14930.0
2018-05-28,14885.0
2018-05-29,14700.0
2018-05-30,14370.0
2018-05-31,14335.0
2018-06-01,14630.0
2018-06-04,15190.0
2018-06-05,15025.0
2018-06-07,15140.0
2018-06-08,15060.0
2018-06-11,14930.0
2018-06-12,14950.0
2018-06-14,14725.0
2018-06-15,14600.0
2018-06-18,14590.0
2018-06-19,14385.0
2018-06-20,14270.0
2018-06-21,14030.0
2018-06-22,14155.0
2018-06-25,14210.0
2018-06-26,14285.0
2018-06-27,13985.0
2018-06-28,13905.0
2018-06-29,13875.0
2018-07-02,13635.0
2018-07-03,13545.0
2018-07-04,13150.0
2018-07-05,13320.0
2018-07-06,13750.0
2018-07-09,13805.0
2018-07-10,13645.0
2018-07-11,13585.0
2018-07-12,13700.0
2018-07-13,13930.0
2018-07-16,14285.0
2018-07-17,14320.0
2018-07-18,14160.0
2018-07-19,14170.0
2018-07-20,14300.0
2018-07-23,14450.0
2018-07-24,14275.0
2018-07-25,14410.0
2018-07-26,14395.0
2018-07-27,14520.0
2018-07-30,14490.0
2018-07-31,14485.0
2018-08-01,14465.0
2018-08-02,14175.0
2018-08-03,14150.0
2018-08-06,14320.0
2018-08-07,14355.0
2018-08-08,14550.0
2018-08-09,14500.0
2018-08-10,14605.0
2018-08-13,14520.0
2018-08-14,14420.0
2018-08-16,14600.0
2018-08-17,14530.0
2018-08-20,14750.0
2018-08-21,14610.0
2018-08-22,14470.0
2018-08-23,14285.0
2018-08-24,14325.0
2018-08-27,14310.0
2018-08-28,14535.0
2018-08-29,14425.0
2018-08-30,14295.0
2018-08-31,14375.0
2018-09-03,14330.0
2018-09-04,14390.0
2018-09-05,14550.0
2018-09-06,14890.0
2018-09-07,15005.0
2018-09-10,14840.0
2018-09-11,14615.0
2018-09-12,14635.0
2018-09-13,14470.0
2018-09-14,14655.0
2018-09-17,14525.0
2018-09-18,14590.0
2018-09-19,14615.0
2018-09-20,14785.0
2018-09-21,14805.0
2018-09-27,14920.0
2018-09-28,14940.0
2018-10-01,14740.0
2018-10-02,14640.0
2018-10-04,14220.0
