Date,KBSTAR 국고채3년
2017-08-28,111055.0
2017-08-29,111055.0
2017-08-30,111100.0
2017-08-31,111130.0
2017-09-01,111135.0
2017-09-04,111035.0
2017-09-05,111045.0
2017-09-06,111090.0
2017-09-07,110750.0
2017-09-08,110860.0
2017-09-11,110855.0
2017-09-12,110785.0
2017-09-13,110900.0
2017-09-14,110915.0
2017-09-15,110930.0
2017-09-18,110920.0
2017-09-19,110840.0
2017-09-20,110780.0
2017-09-21,110765.0
2017-09-22,110845.0
2017-09-25,110845.0
2017-09-26,110725.0
2017-09-27,110575.0
2017-09-28,110465.0
2017-09-29,110555.0
2017-10-10,110415.0
2017-10-11,110460.0
2017-10-12,110540.0
2017-10-13,110550.0
2017-10-16,110510.0
2017-10-17,110460.0
2017-10-18,110500.0
2017-10-19,110255.0
2017-10-20,110025.0
2017-10-23,110085.0
2017-10-24,110035.0
2017-10-25,109985.0
2017-10-26,109800.0
2017-10-27,109670.0
2017-10-30,109855.0
2017-10-31,109835.0
2017-11-01,109795.0
2017-11-02,109875.0
2017-11-03,109950.0
2017-11-06,109870.0
2017-11-07,109950.0
2017-11-08,109905.0
2017-11-09,109960.0
2017-11-10,109965.0
2017-11-13,109840.0
2017-11-14,109810.0
2017-11-15,109835.0
2017-11-16,109925.0
2017-11-17,109855.0
2017-11-20,109960.0
2017-11-21,109975.0
2017-11-22,109950.0
2017-11-23,110090.0
2017-11-24,109965.0
2017-11-27,110035.0
2017-11-28,110155.0
2017-11-29,110180.0
2017-11-30,110330.0
2017-12-01,110320.0
2017-12-04,110275.0
2017-12-05,110265.0
2017-12-06,110325.0
2017-12-07,109775.0
2017-12-08,109820.0
2017-12-11,109840.0
2017-12-12,109885.0
2017-12-13,109885.0
2017-12-14,109920.0
2017-12-15,109925.0
2017-12-18,109905.0
2017-12-19,109845.0
2017-12-20,109880.0
2017-12-21,109855.0
2017-12-22,109770.0
2017-12-26,109780.0
2017-12-27,109725.0
2017-12-28,109790.0
2018-01-02,109825.0
2018-01-03,109840.0
2018-01-04,109780.0
2018-01-05,109790.0
2018-01-08,109815.0
2018-01-09,109770.0
2018-01-10,109605.0
2018-01-11,109730.0
2018-01-12,109685.0
2018-01-15,109560.0
2018-01-16,109580.0
2018-01-17,109590.0
2018-01-18,109675.0
2018-01-19,109735.0
2018-01-22,109705.0
2018-01-23,109700.0
2018-01-24,109705.0
2018-01-25,109680.0
2018-01-26,109655.0
2018-01-29,109475.0
2018-01-30,109385.0
2018-01-31,109435.0
2018-02-01,109515.0
2018-02-02,109530.0
2018-02-05,109540.0
2018-02-06,109605.0
2018-02-07,109605.0
2018-02-08,109585.0
2018-02-09,109580.0
2018-02-12,109555.0
2018-02-13,109640.0
2018-02-14,109710.0
2018-02-19,109625.0
2018-02-20,109555.0
2018-02-21,109640.0
2018-02-22,109595.0
2018-02-23,109705.0
2018-02-26,109775.0
2018-02-27,109840.0
2018-02-28,109825.0
2018-03-02,109760.0
2018-03-05,109715.0
2018-03-06,109720.0
2018-03-07,109445.0
2018-03-08,109500.0
2018-03-09,109500.0
2018-03-12,109460.0
2018-03-13,109490.0
2018-03-14,109560.0
2018-03-15,109600.0
2018-03-16,109630.0
2018-03-19,109640.0
2018-03-20,109585.0
2018-03-21,109600.0
2018-03-22,109700.0
2018-03-23,109830.0
2018-03-26,109795.0
2018-03-27,109795.0
2018-03-28,109885.0
2018-03-29,109880.0
2018-03-30,109930.0
2018-04-02,109900.0
2018-04-03,109945.0
2018-04-04,110045.0
2018-04-05,110115.0
2018-04-06,110175.0
2018-04-09,110155.0
2018-04-10,110105.0
2018-04-11,110175.0
2018-04-12,110215.0
2018-04-13,110240.0
2018-04-16,110200.0
2018-04-17,110145.0
2018-04-18,110115.0
2018-04-19,110090.0
2018-04-20,110110.0
2018-04-23,110020.0
2018-04-24,110025.0
2018-04-25,109970.0
2018-04-26,109950.0
2018-04-27,110125.0
2018-04-30,110125.0
2018-05-02,110035.0
2018-05-03,110055.0
2018-05-04,109950.0
2018-05-08,109860.0
2018-05-09,109870.0
2018-05-10,109930.0
2018-05-11,109905.0
2018-05-14,109905.0
2018-05-15,109895.0
2018-05-16,109905.0
2018-05-17,110075.0
2018-05-18,110180.0
2018-05-21,110160.0
2018-05-23,110170.0
2018-05-24,110340.0
2018-05-25,110340.0
2018-05-28,110285.0
2018-05-29,110340.0
2018-05-30,110370.0
2018-05-31,110390.0
2018-06-01,110405.0
2018-06-04,110345.0
2018-06-05,110280.0
2018-06-07,109760.0
2018-06-08,109760.0
2018-06-11,109835.0
2018-06-12,109835.0
2018-06-14,109860.0
2018-06-15,109900.0
2018-06-18,110025.0
2018-06-19,110075.0
2018-06-20,110080.0
2018-06-21,110150.0
2018-06-22,110175.0
2018-06-25,110110.0
2018-06-26,110175.0
2018-06-27,110215.0
2018-06-28,110290.0
2018-06-29,110315.0
2018-07-02,110330.0
2018-07-03,110285.0
2018-07-04,110340.0
2018-07-05,110410.0
2018-07-06,110385.0
2018-07-09,110390.0
2018-07-10,110385.0
2018-07-11,110545.0
2018-07-12,110510.0
2018-07-13,110485.0
2018-07-16,110515.0
2018-07-17,110445.0
2018-07-18,110510.0
2018-07-19,110530.0
2018-07-20,110580.0
2018-07-23,110595.0
2018-07-24,110460.0
2018-07-25,110560.0
2018-07-26,110615.0
2018-07-27,110470.0
2018-07-30,110470.0
2018-07-31,110525.0
2018-08-01,110475.0
2018-08-02,110545.0
2018-08-03,110510.0
2018-08-06,110555.0
2018-08-07,110660.0
2018-08-08,110665.0
2018-08-09,110765.0
2018-08-10,110795.0
2018-08-13,110830.0
2018-08-14,110805.0
2018-08-16,110855.0
2018-08-17,110930.0
2018-08-20,111055.0
2018-08-21,111285.0
2018-08-22,111205.0
2018-08-23,111170.0
2018-08-24,111170.0
2018-08-27,111150.0
2018-08-28,111215.0
2018-08-29,111255.0
2018-08-30,111210.0
2018-08-31,111380.0
2018-09-03,111415.0
2018-09-04,111420.0
2018-09-05,111455.0
2018-09-06,111120.0
2018-09-07,111070.0
2018-09-10,111080.0
2018-09-11,111060.0
2018-09-12,111140.0
2018-09-13,111095.0
2018-09-14,110985.0
2018-09-17,110970.0
2018-09-18,110890.0
2018-09-19,110805.0
2018-09-20,110720.0
2018-09-21,110730.0
2018-09-27,110815.0
2018-09-28,110880.0
2018-10-01,110845.0
