Date,TIGER 미국나스닥100
2018-07-04,35550.0
2018-07-05,35650.0
2018-07-06,36065.0
2018-07-09,36375.0
2018-07-10,36995.0
2018-07-11,36705.0
2018-07-12,37150.0
2018-07-13,37695.0
2018-07-16,37815.0
2018-07-17,37260.0
2018-07-18,38040.0
2018-07-19,38010.0
2018-07-20,37950.0
2018-07-23,37635.0
2018-07-24,38030.0
2018-07-25,37840.0
2018-07-26,37800.0
2018-07-27,37360.0
2018-07-30,36915.0
2018-07-31,36450.0
2018-08-01,37025.0
2018-08-02,36975.0
2018-08-03,37765.0
2018-08-06,37540.0
2018-08-07,38075.0
2018-08-08,37900.0
2018-08-09,37925.0
2018-08-10,38090.0
2018-08-13,37995.0
2018-08-14,38100.0
2018-08-16,37885.0
2018-08-17,37695.0
2018-08-20,37700.0
2018-08-21,37505.0
2018-08-22,37505.0
2018-08-23,37820.0
2018-08-24,37770.0
2018-08-27,38030.0
2018-08-28,38100.0
2018-08-29,38280.0
2018-08-30,38500.0
2018-08-31,38600.0
2018-09-03,38600.0
2018-09-04,38820.0
2018-09-05,38680.0
2018-09-06,38315.0
2018-09-07,37975.0
2018-09-10,38150.0
2018-09-11,38155.0
2018-09-12,38465.0
2018-09-13,38135.0
2018-09-14,38475.0
2018-09-17,38335.0
2018-09-18,37985.0
2018-09-19,38200.0
2018-09-20,38120.0
2018-09-21,38460.0
2018-09-27,38305.0
2018-09-28,38490.0
2018-10-01,38725.0
