Date,파워 200
2018-05-15,32025.0
2018-05-16,32130.0
2018-05-17,31995.0
2018-05-18,32090.0
2018-05-21,32160.0
2018-05-23,32365.0
2018-05-24,32270.0
2018-05-25,32325.0
2018-05-28,32470.0
2018-05-29,32160.0
2018-05-30,31445.0
2018-05-31,31570.0
2018-06-01,31775.0
2018-06-04,31970.0
2018-06-05,32045.0
2018-06-07,32320.0
2018-06-08,32010.0
2018-06-11,32275.0
2018-06-12,32230.0
2018-06-14,31645.0
2018-06-15,31465.0
2018-06-18,31095.0
2018-06-19,30690.0
2018-06-20,30915.0
2018-06-21,30645.0
2018-06-22,30885.0
2018-06-25,30890.0
2018-06-26,30835.0
2018-06-27,30750.0
2018-06-28,30440.0
2018-06-29,30615.0
2018-07-02,29855.0
2018-07-03,29890.0
2018-07-04,29830.0
2018-07-05,29715.0
2018-07-06,29915.0
2018-07-09,30145.0
2018-07-10,30200.0
2018-07-11,30035.0
2018-07-12,30130.0
2018-07-13,30415.0
2018-07-16,30315.0
2018-07-17,30280.0
2018-07-18,30215.0
2018-07-19,30155.0
2018-07-20,30280.0
2018-07-23,30040.0
2018-07-24,30135.0
2018-07-25,30080.0
2018-07-26,30265.0
2018-07-27,30360.0
2018-07-30,30225.0
2018-07-31,30260.0
2018-08-01,30375.0
2018-08-02,29875.0
2018-08-03,30040.0
2018-08-06,30025.0
2018-08-07,30220.0
2018-08-08,30215.0
2018-08-09,30210.0
2018-08-10,29875.0
2018-08-13,29485.0
2018-08-14,29610.0
2018-08-16,29330.0
2018-08-17,29325.0
2018-08-20,29365.0
2018-08-21,29665.0
2018-08-22,29785.0
2018-08-23,29900.0
2018-08-24,30030.0
2018-08-27,30180.0
2018-08-28,30215.0
2018-08-29,30280.0
2018-08-30,30310.0
2018-08-31,30545.0
2018-09-03,30245.0
2018-09-04,30385.0
2018-09-05,30000.0
2018-09-06,29930.0
2018-09-07,29790.0
2018-09-10,29845.0
2018-09-11,29745.0
2018-09-12,29720.0
2018-09-13,29755.0
2018-09-14,30205.0
2018-09-17,29990.0
2018-09-18,30110.0
2018-09-19,30145.0
2018-09-20,30405.0
2018-09-21,30545.0
2018-09-27,30780.0
2018-09-28,30620.0
2018-10-01,30570.0
2018-10-02,30205.0
2018-10-04,29715.0
2018-10-05,29685.0
2018-10-08,29545.0
