Date,KOSEF 미국달러선물
2017-09-20,11565.0
2017-09-21,11615.0
2017-09-22,11650.0
2017-09-25,11605.0
2017-09-26,11650.0
2017-09-27,11685.0
2017-09-28,11780.0
2017-09-29,11750.0
2017-10-10,11655.0
2017-10-11,11640.0
2017-10-12,11625.0
2017-10-13,11580.0
2017-10-16,11560.0
2017-10-17,11610.0
2017-10-18,11590.0
2017-10-19,11605.0
2017-10-20,11600.0
2017-10-23,11590.0
2017-10-24,11570.0
2017-10-25,11570.0
2017-10-26,11540.0
2017-10-27,11595.0
2017-10-30,11540.0
2017-10-31,11495.0
2017-11-01,11435.0
2017-11-02,11430.0
2017-11-03,11430.0
2017-11-06,11445.0
2017-11-07,11400.0
2017-11-08,11450.0
2017-11-09,11450.0
2017-11-10,11465.0
2017-11-13,11505.0
2017-11-14,11480.0
2017-11-15,11420.0
2017-11-16,11310.0
2017-11-17,11265.0
2017-11-20,11295.0
2017-11-21,11250.0
2017-11-22,11180.0
2017-11-23,11145.0
2017-11-24,11145.0
2017-11-27,11175.0
2017-11-28,11135.0
2017-11-29,11050.0
2017-11-30,11185.0
2017-12-01,11155.0
2017-12-04,11185.0
2017-12-05,11150.0
2017-12-06,11230.0
2017-12-07,11230.0
2017-12-08,11220.0
2017-12-11,11220.0
2017-12-12,11215.0
2017-12-13,11205.0
2017-12-14,11180.0
2017-12-15,11190.0
2017-12-18,11185.0
2017-12-19,11145.0
2017-12-20,11100.0
2017-12-21,11115.0
2017-12-22,11090.0
2017-12-26,11055.0
2017-12-27,10940.0
2017-12-28,10920.0
2018-01-02,10820.0
2018-01-03,10850.0
2018-01-04,10825.0
2018-01-05,10835.0
2018-01-08,10865.0
2018-01-09,10885.0
2018-01-10,10930.0
2018-01-11,10935.0
2018-01-12,10860.0
2018-01-15,10840.0
2018-01-16,10835.0
2018-01-17,10900.0
2018-01-18,10920.0
2018-01-19,10875.0
2018-01-22,10915.0
2018-01-23,10920.0
2018-01-24,10910.0
2018-01-25,10810.0
2018-01-26,10860.0
2018-01-29,10880.0
2018-01-30,10960.0
2018-01-31,10905.0
2018-02-01,10945.0
2018-02-02,11025.0
2018-02-05,11115.0
2018-02-06,11140.0
2018-02-07,11095.0
2018-02-08,11105.0
2018-02-09,11150.0
2018-02-12,11080.0
2018-02-13,11080.0
2018-02-14,11005.0
2018-02-19,10905.0
2018-02-20,10965.0
2018-02-21,10995.0
2018-02-22,11080.0
2018-02-23,11020.0
2018-02-26,10970.0
2018-02-27,10955.0
2018-02-28,11070.0
2018-03-02,11045.0
2018-03-05,11065.0
2018-03-06,11000.0
2018-03-07,10935.0
2018-03-08,10940.0
2018-03-09,10935.0
2018-03-12,10890.0
2018-03-13,10915.0
2018-03-14,10885.0
2018-03-15,10895.0
2018-03-16,10905.0
2018-03-19,10960.0
2018-03-20,10930.0
2018-03-21,10960.0
2018-03-22,10960.0
2018-03-23,11045.0
2018-03-26,11040.0
2018-03-27,10945.0
2018-03-28,10945.0
2018-03-29,10905.0
2018-03-30,10890.0
2018-04-02,10815.0
2018-04-03,10790.0
2018-04-04,10840.0
2018-04-05,10855.0
2018-04-06,10945.0
2018-04-09,10925.0
2018-04-10,10925.0
2018-04-11,10920.0
2018-04-12,10950.0
2018-04-13,10955.0
2018-04-16,10995.0
2018-04-17,10930.0
2018-04-18,10950.0
2018-04-19,10880.0
2018-04-20,10935.0
2018-04-23,10950.0
2018-04-24,11025.0
2018-04-25,11070.0
2018-04-26,11075.0
2018-04-27,11040.0
2018-04-30,10955.0
2018-05-02,11035.0
2018-05-03,11035.0
2018-05-04,11040.0
2018-05-08,11045.0
2018-05-09,11080.0
2018-05-10,11010.0
2018-05-11,10970.0
2018-05-14,10955.0
2018-05-15,11015.0
2018-05-16,11055.0
2018-05-17,11085.0
2018-05-18,11060.0
2018-05-21,11130.0
2018-05-23,11080.0
2018-05-24,11080.0
2018-05-25,11060.0
2018-05-28,11025.0
2018-05-29,11050.0
2018-05-30,11090.0
2018-05-31,11060.0
2018-06-01,11040.0
2018-06-04,11005.0
2018-06-05,11000.0
2018-06-07,10980.0
2018-06-08,11045.0
2018-06-11,11045.0
2018-06-12,11065.0
2018-06-14,11125.0
2018-06-15,11265.0
2018-06-18,11350.0
2018-06-19,11390.0
2018-06-20,11350.0
2018-06-21,11420.0
2018-06-22,11380.0
2018-06-25,11475.0
2018-06-26,11460.0
2018-06-27,11485.0
2018-06-28,11550.0
2018-06-29,11470.0
2018-07-02,11515.0
2018-07-03,11510.0
2018-07-04,11470.0
2018-07-05,11510.0
2018-07-06,11480.0
2018-07-09,11440.0
2018-07-10,11490.0
2018-07-11,11525.0
2018-07-12,11590.0
2018-07-13,11555.0
2018-07-16,11620.0
2018-07-17,11570.0
2018-07-18,11650.0
2018-07-19,11655.0
2018-07-20,11670.0
2018-07-23,11650.0
2018-07-24,11685.0
2018-07-25,11595.0
2018-07-26,11530.0
2018-07-27,11510.0
2018-07-30,11540.0
2018-07-31,11520.0
2018-08-01,11545.0
2018-08-02,11590.0
2018-08-03,11620.0
2018-08-06,11580.0
2018-08-07,11580.0
2018-08-08,11535.0
2018-08-09,11510.0
2018-08-10,11630.0
2018-08-13,11685.0
2018-08-14,11625.0
2018-08-16,11650.0
2018-08-17,11605.0
2018-08-20,11580.0
2018-08-21,11535.0
2018-08-22,11535.0
2018-08-23,11565.0
2018-08-24,11540.0
2018-08-27,11490.0
2018-08-28,11445.0
2018-08-29,11440.0
2018-08-30,11435.0
2018-08-31,11480.0
2018-09-03,11455.0
2018-09-04,11505.0
2018-09-05,11570.0
2018-09-06,11595.0
2018-09-07,11585.0
2018-09-10,11645.0
2018-09-11,11605.0
2018-09-12,11645.0
2018-09-13,11585.0
2018-09-14,11525.0
2018-09-17,11625.0
2018-09-18,11585.0
2018-09-19,11565.0
2018-09-20,11565.0
2018-09-21,11520.0
2018-09-27,11490.0
2018-09-28,11465.0
2018-10-01,11480.0
