Date,TREX 200
2017-12-27,32775.0
2017-12-28,33335.0
2018-01-02,33365.0
2018-01-03,33490.0
2018-01-04,33225.0
2018-01-05,33645.0
2018-01-08,33880.0
2018-01-09,33780.0
2018-01-10,33550.0
2018-01-11,33370.0
2018-01-12,33450.0
2018-01-15,33500.0
2018-01-16,33755.0
2018-01-17,33685.0
2018-01-18,33670.0
2018-01-19,33705.0
2018-01-22,33380.0
2018-01-23,33820.0
2018-01-24,33860.0
2018-01-25,34135.0
2018-01-26,34280.0
2018-01-29,34520.0
2018-01-30,34100.0
2018-01-31,34210.0
2018-02-01,34095.0
2018-02-02,33470.0
2018-02-05,33085.0
2018-02-06,32630.0
2018-02-07,31805.0
2018-02-08,32100.0
2018-02-09,31170.0
2018-02-12,31560.0
2018-02-13,31820.0
2018-02-14,32185.0
2018-02-19,32400.0
2018-02-20,31990.0
2018-02-21,32170.0
2018-02-22,31990.0
2018-02-23,32455.0
2018-02-26,32520.0
2018-02-27,32445.0
2018-02-28,32150.0
2018-03-02,31590.0
2018-03-05,31195.0
2018-03-06,31810.0
2018-03-07,31840.0
2018-03-08,32090.0
2018-03-09,32520.0
2018-03-12,32825.0
2018-03-13,33000.0
2018-03-14,32970.0
2018-03-15,33065.0
2018-03-16,33015.0
2018-03-19,32780.0
2018-03-20,32925.0
2018-03-21,32940.0
2018-03-22,33070.0
2018-03-23,31970.0
2018-03-26,32235.0
2018-03-27,32400.0
2018-03-28,31955.0
2018-03-29,32255.0
2018-03-30,32375.0
2018-04-02,32260.0
2018-04-03,32175.0
2018-04-04,31665.0
2018-04-05,32120.0
2018-04-06,31975.0
2018-04-09,32175.0
2018-04-10,32225.0
2018-04-11,32135.0
2018-04-12,32100.0
2018-04-13,32305.0
2018-04-16,32345.0
2018-04-17,32295.0
2018-04-18,32680.0
2018-04-19,32835.0
2018-04-20,32625.0
2018-04-23,32615.0
2018-04-24,32445.0
2018-04-25,32225.0
2018-04-26,32645.0
2018-04-27,32260.0
2018-04-30,32580.0
2018-05-02,32220.0
2018-05-03,32110.0
2018-05-04,31885.0
2018-05-08,31750.0
2018-05-09,31670.0
2018-05-10,31860.0
2018-05-11,32055.0
2018-05-14,31970.0
2018-05-15,31705.0
2018-05-16,31810.0
2018-05-17,31660.0
2018-05-18,31760.0
2018-05-21,31830.0
2018-05-23,32025.0
2018-05-24,31910.0
2018-05-25,31985.0
2018-05-28,32120.0
2018-05-29,31825.0
2018-05-30,31120.0
2018-05-31,31320.0
2018-06-01,31450.0
2018-06-04,31635.0
2018-06-05,31710.0
2018-06-07,31985.0
2018-06-08,31670.0
2018-06-11,31940.0
2018-06-12,31905.0
2018-06-14,31295.0
2018-06-15,31125.0
2018-06-18,30765.0
2018-06-19,30370.0
2018-06-20,30610.0
2018-06-21,30330.0
2018-06-22,30570.0
2018-06-25,30575.0
2018-06-26,30515.0
2018-06-27,30435.0
2018-06-28,30125.0
2018-06-29,30280.0
2018-07-02,29555.0
2018-07-03,29590.0
2018-07-04,29495.0
2018-07-05,29420.0
2018-07-06,29610.0
2018-07-09,29835.0
2018-07-10,29890.0
2018-07-11,29735.0
2018-07-12,29815.0
2018-07-13,30120.0
2018-07-16,30000.0
2018-07-17,29955.0
2018-07-18,29890.0
2018-07-19,29825.0
2018-07-20,29960.0
2018-07-23,29720.0
2018-07-24,29830.0
2018-07-25,29770.0
2018-07-26,29950.0
2018-07-27,30045.0
2018-07-30,29985.0
2018-07-31,30020.0
2018-08-01,30125.0
2018-08-02,29600.0
2018-08-03,29800.0
2018-08-06,29780.0
2018-08-07,29975.0
2018-08-08,29975.0
2018-08-09,29960.0
2018-08-10,29630.0
2018-08-13,29260.0
2018-08-14,29390.0
2018-08-16,29095.0
2018-08-17,29105.0
2018-08-20,29120.0
2018-08-21,29415.0
2018-08-22,29535.0
2018-08-23,29650.0
2018-08-24,29780.0
2018-08-27,29925.0
2018-08-28,29950.0
2018-08-29,30035.0
2018-08-30,30055.0
2018-08-31,30275.0
2018-09-03,29995.0
2018-09-04,30130.0
2018-09-05,29740.0
2018-09-06,29675.0
2018-09-07,29540.0
2018-09-10,29590.0
2018-09-11,29495.0
2018-09-12,29465.0
2018-09-13,29510.0
2018-09-14,29950.0
2018-09-17,29740.0
2018-09-18,29855.0
2018-09-19,29880.0
2018-09-20,30140.0
2018-09-21,30280.0
2018-09-27,30510.0
2018-09-28,30375.0
2018-10-01,30300.0
2018-10-02,29950.0
2018-10-04,29475.0
2018-10-05,29440.0
2018-10-08,29300.0
