Date,TIGER 반도체
2017-12-20,27495.0
2017-12-21,26675.0
2017-12-22,27360.0
2017-12-26,27115.0
2017-12-27,27815.0
2017-12-28,27880.0
2018-01-02,27830.0
2018-01-03,27855.0
2018-01-04,27400.0
2018-01-05,27650.0
2018-01-08,27100.0
2018-01-09,26840.0
2018-01-10,26415.0
2018-01-11,26945.0
2018-01-12,26840.0
2018-01-15,26615.0
2018-01-16,27615.0
2018-01-17,27690.0
2018-01-18,28055.0
2018-01-19,27770.0
2018-01-22,26850.0
2018-01-23,27210.0
2018-01-24,27345.0
2018-01-25,27855.0
2018-01-26,27890.0
2018-01-29,27945.0
2018-01-30,27380.0
2018-01-31,27245.0
2018-02-01,27700.0
2018-02-02,27085.0
2018-02-05,26230.0
2018-02-06,26285.0
2018-02-07,26430.0
2018-02-08,27395.0
2018-02-09,26835.0
2018-02-12,26970.0
2018-02-13,27075.0
2018-02-14,27690.0
2018-02-19,27855.0
2018-02-20,27250.0
2018-02-21,27775.0
2018-02-22,27540.0
2018-02-23,27730.0
2018-02-26,27690.0
2018-02-27,27675.0
2018-02-28,27350.0
2018-03-02,27105.0
2018-03-05,26755.0
2018-03-06,27505.0
2018-03-07,27320.0
2018-03-08,27485.0
2018-03-09,27905.0
2018-03-12,28265.0
2018-03-13,29080.0
2018-03-14,28900.0
2018-03-15,28715.0
2018-03-16,28695.0
2018-03-19,28730.0
2018-03-20,28545.0
2018-03-21,28275.0
2018-03-22,28095.0
2018-03-23,26515.0
2018-03-26,27095.0
2018-03-27,26820.0
2018-03-28,26450.0
2018-03-29,26700.0
2018-03-30,26885.0
2018-04-02,26560.0
2018-04-03,26535.0
2018-04-04,25965.0
2018-04-05,26470.0
2018-04-06,26130.0
2018-04-09,26375.0
2018-04-10,26295.0
2018-04-11,26650.0
2018-04-12,27245.0
2018-04-13,27355.0
2018-04-16,27535.0
2018-04-17,27450.0
2018-04-18,27535.0
2018-04-19,28095.0
2018-04-20,27625.0
2018-04-23,27155.0
2018-04-24,26520.0
2018-04-25,26300.0
2018-04-26,26875.0
2018-04-27,26720.0
2018-04-30,26310.0
2018-05-02,26075.0
2018-05-03,25935.0
2018-05-04,25675.0
2018-05-08,25355.0
2018-05-09,25820.0
2018-05-10,26085.0
2018-05-11,26260.0
2018-05-14,25910.0
2018-05-15,25860.0
2018-05-16,25935.0
2018-05-17,25825.0
2018-05-18,26380.0
2018-05-21,26420.0
2018-05-23,27355.0
2018-05-24,27280.0
2018-05-25,27215.0
2018-05-28,27210.0
2018-05-29,27210.0
2018-05-30,27250.0
2018-05-31,27250.0
2018-06-01,27040.0
2018-06-04,26885.0
2018-06-05,27355.0
2018-06-07,27600.0
2018-06-08,27150.0
2018-06-11,27145.0
2018-06-12,27035.0
2018-06-14,26615.0
2018-06-15,26490.0
2018-06-18,25425.0
2018-06-19,25020.0
2018-06-20,25710.0
2018-06-21,25770.0
2018-06-22,25800.0
2018-06-25,25460.0
2018-06-26,25400.0
2018-06-27,25220.0
2018-06-28,24530.0
2018-06-29,24760.0
2018-07-02,23910.0
2018-07-03,24395.0
2018-07-04,24285.0
2018-07-05,24655.0
2018-07-06,24965.0
2018-07-09,25155.0
2018-07-10,25360.0
2018-07-11,25250.0
2018-07-12,25475.0
2018-07-13,25920.0
2018-07-16,25840.0
2018-07-17,25920.0
2018-07-18,26105.0
2018-07-19,26000.0
2018-07-20,25620.0
2018-07-23,24245.0
2018-07-24,24550.0
2018-07-25,24085.0
2018-07-26,24795.0
2018-07-27,25480.0
2018-07-30,25490.0
2018-07-31,25550.0
2018-08-01,25635.0
2018-08-02,25235.0
2018-08-03,25370.0
2018-08-06,24840.0
2018-08-07,24950.0
2018-08-08,24930.0
2018-08-09,24740.0
2018-08-10,24225.0
2018-08-13,23400.0
2018-08-14,23440.0
2018-08-16,23415.0
2018-08-17,23210.0
2018-08-20,23000.0
2018-08-21,23795.0
2018-08-22,23720.0
2018-08-23,23650.0
2018-08-24,23760.0
2018-08-27,24110.0
2018-08-28,24225.0
2018-08-29,24305.0
2018-08-30,24380.0
2018-08-31,24590.0
2018-09-03,24540.0
2018-09-04,24590.0
2018-09-05,24625.0
2018-09-06,24155.0
2018-09-07,23460.0
2018-09-10,23510.0
2018-09-11,23600.0
2018-09-12,23410.0
2018-09-13,23210.0
2018-09-14,23460.0
2018-09-17,23170.0
2018-09-18,23235.0
2018-09-19,23225.0
2018-09-20,23170.0
2018-09-21,22870.0
2018-09-27,22730.0
2018-09-28,22530.0
2018-10-01,22400.0
2018-10-02,21895.0
2018-10-04,21580.0
