Date,TIGER 200커버드콜5%OTM
2017-01-31,11760.0
2017-02-01,11760.0
2017-02-02,11805.0
2017-02-03,11735.0
2017-02-06,11770.0
2017-02-07,11745.0
2017-02-08,11625.0
2017-02-09,11690.0
2017-02-10,11715.0
2017-02-13,11720.0
2017-02-14,11705.0
2017-02-15,11705.0
2017-02-16,11720.0
2017-02-17,11720.0
2017-02-20,11725.0
2017-02-21,11900.0
2017-02-22,11890.0
2017-02-23,11885.0
2017-02-24,11810.0
2017-02-27,11760.0
2017-02-28,11765.0
2017-03-02,11880.0
2017-03-03,11770.0
2017-03-06,11765.0
2017-03-07,11845.0
2017-03-08,11855.0
2017-03-09,11865.0
2017-03-10,11815.0
2017-03-13,11975.0
2017-03-14,12065.0
2017-03-15,12075.0
2017-03-16,12150.0
2017-03-17,12200.0
2017-03-20,12200.0
2017-03-21,12260.0
2017-03-22,12250.0
2017-03-23,12270.0
2017-03-24,12270.0
2017-03-27,12215.0
2017-03-28,12225.0
2017-03-29,12260.0
2017-03-30,12295.0
2017-03-31,12260.0
2017-04-03,12275.0
2017-04-04,12260.0
2017-04-05,12260.0
2017-04-06,12200.0
2017-04-07,12165.0
2017-04-10,12120.0
2017-04-11,12065.0
2017-04-12,12040.0
2017-04-13,12165.0
2017-04-14,12130.0
2017-04-17,12150.0
2017-04-18,12155.0
2017-04-19,12100.0
2017-04-20,12135.0
2017-04-21,12180.0
2017-04-24,12280.0
2017-04-25,12440.0
2017-04-26,12510.0
2017-04-27,12520.0
2017-04-28,12570.0
2017-05-02,12630.0
2017-05-04,12715.0
2017-05-08,12795.0
2017-05-10,12810.0
2017-05-11,12845.0
2017-05-12,12835.0
2017-05-15,12855.0
2017-05-16,12890.0
2017-05-17,12870.0
2017-05-18,12765.0
2017-05-19,12815.0
2017-05-22,12890.0
2017-05-23,13010.0
2017-05-24,12970.0
2017-05-25,13105.0
2017-05-26,13145.0
2017-05-29,13165.0
2017-05-30,13165.0
2017-05-31,13110.0
2017-06-01,13110.0
2017-06-02,13175.0
2017-06-05,13240.0
2017-06-07,13160.0
2017-06-08,13135.0
2017-06-09,13305.0
2017-06-12,13180.0
2017-06-13,13255.0
2017-06-14,13235.0
2017-06-15,13160.0
2017-06-16,13180.0
2017-06-19,13265.0
2017-06-20,13315.0
2017-06-21,13250.0
2017-06-22,13260.0
2017-06-23,13335.0
2017-06-26,13410.0
2017-06-27,13430.0
2017-06-28,13370.0
2017-06-29,13470.0
2017-06-30,13410.0
2017-07-03,13405.0
2017-07-04,13385.0
2017-07-05,13410.0
2017-07-06,13445.0
2017-07-07,13375.0
2017-07-10,13410.0
2017-07-11,13460.0
2017-07-12,13515.0
2017-07-13,13685.0
2017-07-14,13675.0
2017-07-17,13715.0
2017-07-18,13730.0
2017-07-19,13735.0
2017-07-20,13815.0
2017-07-21,13845.0
2017-07-24,13865.0
2017-07-25,13810.0
2017-07-26,13780.0
2017-07-27,13810.0
2017-07-28,13565.0
2017-07-31,13560.0
2017-08-01,13660.0
2017-08-02,13700.0
2017-08-03,13465.0
2017-08-04,13530.0
2017-08-07,13565.0
2017-08-08,13510.0
2017-08-09,13365.0
2017-08-10,13290.0
2017-08-11,13060.0
2017-08-14,13160.0
2017-08-16,13235.0
2017-08-17,13325.0
2017-08-18,13330.0
2017-08-21,13310.0
2017-08-22,13350.0
2017-08-23,13375.0
2017-08-24,13425.0
2017-08-25,13435.0
2017-08-28,13360.0
2017-08-29,13185.0
2017-08-30,13310.0
2017-08-31,13285.0
2017-09-01,13295.0
2017-09-04,13160.0
2017-09-05,13125.0
2017-09-06,13070.0
2017-09-07,13235.0
2017-09-08,13260.0
2017-09-11,13395.0
2017-09-12,13390.0
2017-09-13,13425.0
2017-09-14,13425.0
2017-09-15,13435.0
2017-09-18,13710.0
2017-09-19,13750.0
2017-09-20,13745.0
2017-09-21,13750.0
2017-09-22,13630.0
2017-09-25,13660.0
2017-09-26,13600.0
2017-09-27,13560.0
2017-09-28,13555.0
2017-09-29,13610.0
2017-10-10,13935.0
2017-10-11,14025.0
2017-10-12,14140.0
2017-10-13,14115.0
2017-10-16,14155.0
2017-10-17,14170.0
2017-10-18,14160.0
2017-10-19,14110.0
2017-10-20,14170.0
2017-10-23,14215.0
2017-10-24,14215.0
2017-10-25,14220.0
2017-10-26,14125.0
2017-10-27,14210.0
2017-10-30,14250.0
2017-10-31,14410.0
2017-11-01,14595.0
2017-11-02,14540.0
2017-11-03,14595.0
2017-11-06,14535.0
2017-11-07,14530.0
2017-11-08,14590.0
2017-11-09,14550.0
2017-11-10,14515.0
2017-11-13,14460.0
2017-11-14,14430.0
2017-11-15,14360.0
2017-11-16,14445.0
2017-11-17,14440.0
2017-11-20,14390.0
2017-11-21,14415.0
2017-11-22,14465.0
2017-11-23,14470.0
2017-11-24,14455.0
2017-11-27,14265.0
2017-11-28,14295.0
2017-11-29,14290.0
2017-11-30,14060.0
2017-12-01,14070.0
2017-12-04,14135.0
2017-12-05,14225.0
2017-12-06,14060.0
2017-12-07,13945.0
2017-12-08,14040.0
2017-12-11,14050.0
2017-12-12,13990.0
2017-12-13,14030.0
2017-12-14,14100.0
2017-12-15,14090.0
2017-12-18,14100.0
2017-12-19,14235.0
2017-12-20,14090.0
2017-12-21,13840.0
2017-12-22,13910.0
2017-12-26,13885.0
2017-12-27,13920.0
2017-12-28,14145.0
2018-01-02,14210.0
2018-01-03,14280.0
2018-01-04,14200.0
2018-01-05,14330.0
2018-01-08,14400.0
2018-01-09,14350.0
2018-01-10,14350.0
2018-01-11,14240.0
2018-01-12,14240.0
2018-01-15,14305.0
2018-01-16,14305.0
2018-01-17,14325.0
2018-01-18,14395.0
2018-01-19,14345.0
2018-01-22,14205.0
2018-01-23,14375.0
2018-01-24,14405.0
2018-01-25,14535.0
2018-01-26,14545.0
2018-01-29,14675.0
2018-01-30,14545.0
2018-01-31,14645.0
2018-02-01,14535.0
2018-02-02,14295.0
2018-02-05,14135.0
2018-02-06,13855.0
2018-02-07,13855.0
2018-02-08,13605.0
2018-02-09,13305.0
2018-02-12,13475.0
2018-02-13,13700.0
2018-02-14,13735.0
2018-02-19,13820.0
2018-02-20,13695.0
2018-02-21,13745.0
2018-02-22,13710.0
2018-02-23,13850.0
2018-02-26,13885.0
2018-02-27,13950.0
2018-02-28,13765.0
2018-03-02,13595.0
2018-03-05,13505.0
2018-03-06,13620.0
2018-03-07,13620.0
2018-03-08,13715.0
2018-03-09,13980.0
2018-03-12,14045.0
2018-03-13,14015.0
2018-03-14,14030.0
2018-03-15,14055.0
2018-03-16,14055.0
2018-03-19,14010.0
2018-03-20,14025.0
2018-03-21,14080.0
2018-03-22,14135.0
2018-03-23,13790.0
2018-03-26,13745.0
2018-03-27,13895.0
2018-03-28,13670.0
2018-03-29,13790.0
2018-03-30,13910.0
2018-04-02,13945.0
2018-04-03,13790.0
2018-04-04,13620.0
2018-04-05,13810.0
2018-04-06,13730.0
2018-04-09,13760.0
2018-04-10,13840.0
2018-04-11,13790.0
2018-04-12,13810.0
2018-04-13,13880.0
2018-04-16,13880.0
2018-04-17,13855.0
2018-04-18,14000.0
2018-04-19,14050.0
2018-04-20,13990.0
2018-04-23,13960.0
2018-04-24,13965.0
2018-04-25,13815.0
2018-04-26,14005.0
2018-04-27,14070.0
2018-04-30,14170.0
2018-05-02,14110.0
2018-05-03,14065.0
2018-05-04,14010.0
2018-05-08,14005.0
2018-05-09,13875.0
2018-05-10,13895.0
2018-05-11,14065.0
2018-05-14,14010.0
2018-05-15,13955.0
2018-05-16,13860.0
2018-05-17,13860.0
2018-05-18,13905.0
2018-05-21,13965.0
2018-05-23,14035.0
2018-05-24,14045.0
2018-05-25,14000.0
2018-05-28,14085.0
2018-05-29,13955.0
2018-05-30,13665.0
2018-05-31,13675.0
2018-06-01,13775.0
2018-06-04,13850.0
2018-06-05,13875.0
2018-06-07,14010.0
2018-06-08,13900.0
2018-06-11,13985.0
2018-06-12,13985.0
2018-06-14,13805.0
2018-06-15,13660.0
2018-06-18,13515.0
2018-06-19,13425.0
2018-06-20,13425.0
2018-06-21,13325.0
2018-06-22,13385.0
2018-06-25,13370.0
2018-06-26,13370.0
2018-06-27,13370.0
2018-06-28,13235.0
2018-06-29,13235.0
2018-07-02,13030.0
2018-07-03,12995.0
2018-07-04,12965.0
2018-07-05,12935.0
2018-07-06,12985.0
2018-07-09,13075.0
2018-07-10,13155.0
2018-07-11,13060.0
2018-07-12,13060.0
2018-07-13,13180.0
2018-07-16,13175.0
2018-07-17,13170.0
2018-07-18,13145.0
2018-07-19,13170.0
2018-07-20,13105.0
2018-07-23,13080.0
2018-07-24,13085.0
2018-07-25,13100.0
2018-07-26,13160.0
2018-07-27,13180.0
2018-07-30,13180.0
2018-07-31,13170.0
2018-08-01,13225.0
2018-08-02,13010.0
2018-08-03,13110.0
2018-08-06,13155.0
2018-08-07,13090.0
2018-08-08,13195.0
2018-08-09,13125.0
2018-08-10,13045.0
2018-08-13,12800.0
2018-08-14,12920.0
2018-08-16,12815.0
2018-08-17,12825.0
2018-08-20,12810.0
2018-08-21,12835.0
2018-08-22,12985.0
2018-08-23,13000.0
2018-08-24,13085.0
2018-08-27,13105.0
2018-08-28,13205.0
2018-08-29,13170.0
2018-08-30,13225.0
2018-08-31,13260.0
2018-09-03,13235.0
2018-09-04,13245.0
2018-09-05,13105.0
2018-09-06,13075.0
2018-09-07,12985.0
2018-09-10,13005.0
2018-09-11,12985.0
2018-09-12,12980.0
2018-09-13,12980.0
2018-09-14,13135.0
2018-09-17,13090.0
2018-09-18,13110.0
2018-09-19,13130.0
2018-09-20,13200.0
2018-09-21,13285.0
2018-09-27,13360.0
