Date,KODEX China H
2017-10-17,21290.0
2017-10-18,21285.0
2017-10-19,21350.0
2017-10-20,21190.0
2017-10-23,21105.0
2017-10-24,20900.0
2017-10-25,21020.0
2017-10-26,20930.0
2017-10-27,21380.0
2017-10-30,21310.0
2017-10-31,21060.0
2017-11-01,21000.0
2017-11-02,21075.0
2017-11-03,21060.0
2017-11-06,20800.0
2017-11-07,21030.0
2017-11-08,20990.0
2017-11-09,21150.0
2017-11-10,21355.0
2017-11-13,21250.0
2017-11-14,21120.0
2017-11-15,20725.0
2017-11-16,20745.0
2017-11-17,20770.0
2017-11-20,20605.0
2017-11-21,20955.0
2017-11-22,21130.0
2017-11-23,20895.0
2017-11-24,20940.0
2017-11-27,20825.0
2017-11-28,20565.0
2017-11-29,20445.0
2017-11-30,20245.0
2017-12-01,20230.0
2017-12-04,20455.0
2017-12-05,20350.0
2017-12-06,19955.0
2017-12-07,19860.0
2017-12-08,19970.0
2017-12-11,20275.0
2017-12-12,20175.0
2017-12-13,20300.0
2017-12-14,20350.0
2017-12-15,20080.0
2017-12-18,20145.0
2017-12-19,20335.0
2017-12-20,20185.0
2017-12-21,20370.0
2017-12-22,20350.0
2017-12-26,20635.0
2017-12-27,20325.0
2017-12-28,20250.0
2018-01-02,20810.0
2018-01-03,20860.0
2018-01-04,21110.0
2018-01-05,21060.0
2018-01-08,21085.0
2018-01-09,21210.0
2018-01-10,21320.0
2018-01-11,21350.0
2018-01-12,21470.0
2018-01-15,21710.0
2018-01-16,21900.0
2018-01-17,22145.0
2018-01-18,22430.0
2018-01-19,22715.0
2018-01-22,22965.0
2018-01-23,23325.0
2018-01-24,23525.0
2018-01-25,23205.0
2018-01-26,23690.0
2018-01-29,23560.0
2018-01-30,23320.0
2018-01-31,23140.0
2018-02-01,23530.0
2018-02-02,23685.0
2018-02-05,23690.0
2018-02-06,22680.0
2018-02-07,22050.0
2018-02-08,21905.0
2018-02-09,20810.0
2018-02-12,21160.0
2018-02-13,21170.0
2018-02-14,21280.0
2018-02-19,21850.0
2018-02-20,21700.0
2018-02-21,22085.0
2018-02-22,22120.0
2018-02-23,22260.0
2018-02-26,22360.0
2018-02-27,22090.0
2018-02-28,21680.0
2018-03-02,21350.0
2018-03-05,21050.0
2018-03-06,21280.0
2018-03-07,20950.0
2018-03-08,21275.0
2018-03-09,21505.0
2018-03-12,21770.0
2018-03-13,21955.0
2018-03-14,21660.0
2018-03-15,21820.0
2018-03-16,21730.0
2018-03-19,21835.0
2018-03-20,21785.0
2018-03-21,21865.0
2018-03-22,21645.0
2018-03-23,20915.0
2018-03-26,20965.0
2018-03-27,21245.0
2018-03-28,20885.0
2018-03-29,20710.0
2018-03-30,20810.0
2018-04-02,20810.0
2018-04-03,20540.0
2018-04-04,20520.0
2018-04-05,20475.0
2018-04-06,20615.0
2018-04-09,20775.0
2018-04-10,21095.0
2018-04-11,21190.0
2018-04-12,21105.0
2018-04-13,21120.0
2018-04-16,20745.0
2018-04-17,20595.0
2018-04-18,20680.0
2018-04-19,20800.0
2018-04-20,20785.0
2018-04-23,20710.0
2018-04-24,21140.0
2018-04-25,21070.0
2018-04-26,20720.0
2018-04-27,20755.0
2018-04-30,21100.0
2018-05-02,20970.0
2018-05-03,20790.0
2018-05-04,20695.0
2018-05-08,20980.0
2018-05-09,21160.0
2018-05-10,21065.0
2018-05-11,21290.0
2018-05-14,21460.0
2018-05-15,21450.0
2018-05-16,21530.0
2018-05-17,21340.0
2018-05-18,21515.0
2018-05-21,21685.0
2018-05-23,21280.0
2018-05-24,21105.0
2018-05-25,20910.0
2018-05-28,21080.0
2018-05-29,20865.0
2018-05-30,20650.0
2018-05-31,20790.0
2018-06-01,20825.0
2018-06-04,21145.0
2018-06-05,21260.0
2018-06-07,21475.0
2018-06-08,21300.0
2018-06-11,21275.0
2018-06-12,21425.0
2018-06-14,21000.0
2018-06-15,21185.0
2018-06-18,21185.0
2018-06-19,20710.0
2018-06-20,20830.0
2018-06-21,20630.0
2018-06-22,20440.0
2018-06-25,20460.0
2018-06-26,20230.0
2018-06-27,19910.0
2018-06-28,19785.0
2018-06-29,20070.0
2018-07-02,19680.0
2018-07-03,19700.0
2018-07-04,19510.0
2018-07-05,19375.0
2018-07-06,19775.0
2018-07-09,19900.0
2018-07-10,20080.0
2018-07-11,19755.0
2018-07-12,20180.0
2018-07-13,20165.0
2018-07-16,19980.0
2018-07-17,19830.0
2018-07-18,19860.0
2018-07-19,19790.0
2018-07-20,20150.0
2018-07-23,20270.0
2018-07-24,20700.0
2018-07-25,20720.0
2018-07-26,20480.0
2018-07-27,20395.0
2018-07-30,20575.0
2018-07-31,20500.0
2018-08-01,20545.0
2018-08-02,20055.0
2018-08-03,20085.0
2018-08-06,19995.0
2018-08-07,20225.0
2018-08-08,20225.0
2018-08-09,20530.0
2018-08-10,20520.0
2018-08-13,20240.0
2018-08-14,20030.0
2018-08-16,20070.0
2018-08-17,19575.0
2018-08-20,19760.0
2018-08-21,19900.0
2018-08-22,20050.0
2018-08-23,20090.0
2018-08-24,20050.0
2018-08-27,20450.0
2018-08-28,20390.0
2018-08-29,20345.0
2018-08-30,20300.0
2018-08-31,20080.0
2018-09-03,19875.0
2018-09-04,20150.0
2018-09-05,19865.0
2018-09-06,19655.0
2018-09-07,19780.0
2018-09-10,19600.0
2018-09-11,19375.0
2018-09-12,19270.0
2018-09-13,19520.0
2018-09-14,19640.0
2018-09-17,19650.0
2018-09-18,19730.0
2018-09-19,20140.0
2018-09-20,20110.0
2018-09-21,20490.0
2018-09-27,20415.0
2018-09-28,20435.0
2018-10-01,20610.0
2018-10-02,20050.0
2018-10-04,19815.0
2018-10-05,19805.0
