Date,파워 중기국고채
2017-01-05,101885.0
2017-01-06,101900.0
2017-01-09,101785.0
2017-01-10,101800.0
2017-01-11,101800.0
2017-01-12,101895.0
2017-01-13,101895.0
2017-01-16,101895.0
2017-01-17,101895.0
2017-01-18,101910.0
2017-01-19,101785.0
2017-01-20,101785.0
2017-01-23,101840.0
2017-01-24,101890.0
2017-01-25,101890.0
2017-01-26,101780.0
2017-01-31,101835.0
2017-02-01,101800.0
2017-02-02,101800.0
2017-02-03,101765.0
2017-02-06,101830.0
2017-02-07,101915.0
2017-02-08,101915.0
2017-02-09,101930.0
2017-02-10,101925.0
2017-02-13,101925.0
2017-02-14,101885.0
2017-02-15,101885.0
2017-02-16,101905.0
2017-02-17,101915.0
2017-02-20,101905.0
2017-02-21,101875.0
2017-02-22,101840.0
2017-02-23,101870.0
2017-02-24,101915.0
2017-02-27,101930.0
2017-02-28,101970.0
2017-03-02,101890.0
2017-03-03,101890.0
2017-03-06,101860.0
2017-03-07,101720.0
2017-03-08,100720.0
2017-03-09,100715.0
2017-03-10,100715.0
2017-03-13,100745.0
2017-03-14,100760.0
2017-03-15,100765.0
2017-03-16,101025.0
2017-03-17,101045.0
2017-03-20,101060.0
2017-03-21,101065.0
2017-03-22,101090.0
2017-03-23,101110.0
2017-03-24,101110.0
2017-03-27,101135.0
2017-03-28,101135.0
2017-03-29,101200.0
2017-03-30,101240.0
2017-03-31,101245.0
2017-04-03,101210.0
2017-04-04,101235.0
2017-04-05,101235.0
2017-04-06,101190.0
2017-04-07,101175.0
2017-04-10,101000.0
2017-04-11,101085.0
2017-04-12,101125.0
2017-04-13,101225.0
2017-04-14,101315.0
2017-04-17,101300.0
2017-04-18,101260.0
2017-04-19,101350.0
2017-04-20,101295.0
2017-04-21,101245.0
2017-04-24,101110.0
2017-04-25,101195.0
2017-04-26,101200.0
2017-04-27,101240.0
2017-04-28,101285.0
2017-05-02,101280.0
2017-05-04,101265.0
2017-05-08,101240.0
2017-05-10,101190.0
2017-05-11,101170.0
2017-05-12,101200.0
2017-05-15,101200.0
2017-05-16,101175.0
2017-05-17,101210.0
2017-05-18,101275.0
2017-05-19,101310.0
2017-05-22,101310.0
2017-05-23,101320.0
2017-05-24,101350.0
2017-05-25,101350.0
2017-05-26,101350.0
2017-05-29,101350.0
2017-05-30,101415.0
2017-05-31,101460.0
2017-06-01,101460.0
2017-06-02,101480.0
2017-06-05,101515.0
2017-06-07,100720.0
2017-06-08,100720.0
2017-06-09,100720.0
2017-06-12,100595.0
2017-06-13,100660.0
2017-06-14,100695.0
2017-06-15,100695.0
2017-06-16,100695.0
2017-06-19,100695.0
2017-06-20,100695.0
