Date,KOSEF 통안채1년
2018-02-28,100880.0
2018-03-02,100890.0
2018-03-05,100895.0
2018-03-06,100875.0
2018-03-07,100855.0
2018-03-08,100855.0
2018-03-09,100855.0
2018-03-12,100865.0
2018-03-13,100890.0
2018-03-14,100870.0
2018-03-15,100905.0
2018-03-16,100915.0
2018-03-19,100915.0
2018-03-20,100925.0
2018-03-21,100935.0
2018-03-22,100965.0
2018-03-23,100995.0
2018-03-26,100980.0
2018-03-27,100985.0
2018-03-28,101000.0
2018-03-29,101015.0
2018-03-30,101020.0
2018-04-02,101015.0
2018-04-03,101065.0
2018-04-04,101065.0
2018-04-05,101095.0
2018-04-06,101105.0
2018-04-09,101105.0
2018-04-10,101130.0
2018-04-11,101120.0
2018-04-12,101135.0
2018-04-13,101150.0
2018-04-16,101195.0
2018-04-17,101180.0
2018-04-18,101500.0
2018-04-19,101215.0
2018-04-20,101190.0
2018-04-23,101175.0
2018-04-24,101195.0
2018-04-25,101185.0
2018-04-26,101215.0
2018-04-27,101240.0
2018-04-30,101245.0
2018-05-02,104555.0
2018-05-03,101250.0
2018-05-04,101250.0
2018-05-08,101195.0
2018-05-09,101215.0
2018-05-10,101230.0
2018-05-11,101215.0
2018-05-14,101220.0
2018-05-15,101230.0
2018-05-16,101260.0
2018-05-17,101290.0
2018-05-18,101320.0
2018-05-21,101315.0
2018-05-23,101330.0
2018-05-24,101330.0
2018-05-25,101370.0
2018-05-28,101385.0
2018-05-29,101400.0
2018-05-30,101400.0
2018-05-31,101415.0
2018-06-01,101435.0
2018-06-04,101455.0
2018-06-05,101440.0
2018-06-07,101470.0
2018-06-08,101460.0
2018-06-11,101475.0
2018-06-12,101470.0
2018-06-14,101480.0
2018-06-15,101465.0
2018-06-18,101480.0
2018-06-19,101485.0
2018-06-20,101500.0
2018-06-21,101520.0
2018-06-22,101530.0
2018-06-25,101540.0
2018-06-26,101550.0
2018-06-27,101555.0
2018-06-28,101560.0
2018-06-29,101585.0
2018-07-02,101600.0
2018-07-03,101610.0
2018-07-04,101620.0
2018-07-05,101655.0
2018-07-06,101640.0
2018-07-09,101650.0
2018-07-10,101670.0
2018-07-11,101690.0
2018-07-12,101705.0
2018-07-13,101680.0
2018-07-16,101680.0
2018-07-17,101685.0
2018-07-18,101715.0
2018-07-19,101720.0
2018-07-20,101745.0
2018-07-23,101750.0
2018-07-24,101740.0
2018-07-25,101740.0
2018-07-26,101765.0
2018-07-27,101745.0
