Date,KODEX 반도체
2017-12-07,26425.0
2017-12-08,26580.0
2017-12-11,27000.0
2017-12-12,26745.0
2017-12-13,26855.0
2017-12-14,26910.0
2017-12-15,26805.0
2017-12-18,26585.0
2017-12-19,27050.0
2017-12-20,27050.0
2017-12-21,26120.0
2017-12-22,26865.0
2017-12-26,26620.0
2017-12-27,27210.0
2017-12-28,27475.0
2018-01-02,27225.0
2018-01-03,27395.0
2018-01-04,26895.0
2018-01-05,27135.0
2018-01-08,26550.0
2018-01-09,26430.0
2018-01-10,25860.0
2018-01-11,26420.0
2018-01-12,26260.0
2018-01-15,26125.0
2018-01-16,27055.0
2018-01-17,27075.0
2018-01-18,27490.0
2018-01-19,27160.0
2018-01-22,26400.0
2018-01-23,26700.0
2018-01-24,26860.0
2018-01-25,27340.0
2018-01-26,27380.0
2018-01-29,27430.0
2018-01-30,26850.0
2018-01-31,26800.0
2018-02-01,27120.0
2018-02-02,26490.0
2018-02-05,25785.0
2018-02-06,25720.0
2018-02-07,25860.0
2018-02-08,26795.0
2018-02-09,26355.0
2018-02-12,26550.0
2018-02-13,26560.0
2018-02-14,27080.0
2018-02-19,27325.0
2018-02-20,26860.0
2018-02-21,27320.0
2018-02-22,27045.0
2018-02-23,27115.0
2018-02-26,27060.0
2018-02-27,27205.0
2018-02-28,26845.0
2018-03-02,26710.0
2018-03-05,26355.0
2018-03-06,27030.0
2018-03-07,26820.0
2018-03-08,26950.0
2018-03-09,27305.0
2018-03-12,27790.0
2018-03-13,28460.0
2018-03-14,28345.0
2018-03-15,28290.0
2018-03-16,28180.0
2018-03-19,28205.0
2018-03-20,28040.0
2018-03-21,27835.0
2018-03-22,27580.0
2018-03-23,25920.0
2018-03-26,26665.0
2018-03-27,26410.0
2018-03-28,25950.0
2018-03-29,26210.0
2018-03-30,26420.0
2018-04-02,26025.0
2018-04-03,25935.0
2018-04-04,25475.0
2018-04-05,25985.0
2018-04-06,25705.0
2018-04-09,25815.0
2018-04-10,25740.0
2018-04-11,26195.0
2018-04-12,26730.0
2018-04-13,26920.0
2018-04-16,26945.0
2018-04-17,26930.0
2018-04-18,26960.0
2018-04-19,27500.0
2018-04-20,27030.0
2018-04-23,26655.0
2018-04-24,26035.0
2018-04-25,25900.0
2018-04-26,26435.0
2018-04-27,26355.0
2018-04-30,25925.0
2018-05-02,25715.0
2018-05-03,25575.0
2018-05-04,25315.0
2018-05-08,24995.0
2018-05-09,25355.0
2018-05-10,25625.0
2018-05-11,25905.0
2018-05-14,25550.0
2018-05-15,25605.0
2018-05-16,25550.0
2018-05-17,25590.0
2018-05-18,25930.0
2018-05-21,26025.0
2018-05-23,27000.0
2018-05-24,26920.0
2018-05-25,26910.0
2018-05-28,26845.0
2018-05-29,26830.0
2018-05-30,26865.0
2018-05-31,26860.0
2018-06-01,26660.0
2018-06-04,26440.0
2018-06-05,26910.0
2018-06-07,27160.0
2018-06-08,26730.0
2018-06-11,26725.0
2018-06-12,26750.0
2018-06-14,26200.0
2018-06-15,25935.0
2018-06-18,24925.0
2018-06-19,24600.0
2018-06-20,25355.0
2018-06-21,25270.0
2018-06-22,25385.0
2018-06-25,25030.0
2018-06-26,24915.0
2018-06-27,24725.0
2018-06-28,24140.0
2018-06-29,24380.0
2018-07-02,23530.0
2018-07-03,24025.0
2018-07-04,24040.0
2018-07-05,24175.0
2018-07-06,24495.0
2018-07-09,24805.0
2018-07-10,24975.0
2018-07-11,24845.0
2018-07-12,25050.0
2018-07-13,25530.0
2018-07-16,25485.0
2018-07-17,25500.0
2018-07-18,25590.0
2018-07-19,25590.0
2018-07-20,25115.0
2018-07-23,23770.0
2018-07-24,24135.0
2018-07-25,23605.0
2018-07-26,24305.0
2018-07-27,25170.0
2018-07-30,25100.0
2018-07-31,25150.0
2018-08-01,25290.0
2018-08-02,24850.0
2018-08-03,24900.0
2018-08-06,24335.0
2018-08-07,24530.0
2018-08-08,24500.0
2018-08-09,24270.0
2018-08-10,23725.0
2018-08-13,23025.0
2018-08-14,23085.0
2018-08-16,23005.0
2018-08-17,22820.0
2018-08-20,22620.0
2018-08-21,23350.0
2018-08-22,23260.0
2018-08-23,23245.0
2018-08-24,23330.0
2018-08-27,23680.0
2018-08-28,23625.0
2018-08-29,23940.0
2018-08-30,23940.0
2018-08-31,24190.0
2018-09-03,24135.0
2018-09-04,24170.0
2018-09-05,24020.0
2018-09-06,23775.0
2018-09-07,23155.0
2018-09-10,23225.0
2018-09-11,23230.0
2018-09-12,23030.0
2018-09-13,22830.0
2018-09-14,23125.0
2018-09-17,22825.0
2018-09-18,22850.0
2018-09-19,22800.0
2018-09-20,22705.0
2018-09-21,22500.0
2018-09-27,22360.0
2018-09-28,22155.0
2018-10-01,22035.0
2018-10-02,21590.0
2018-10-04,21225.0
