Date,KINDEX 중기국고채
2018-05-23,104780.0
2018-05-24,104930.0
2018-05-25,104980.0
2018-05-28,104905.0
2018-05-29,104980.0
2018-05-30,104965.0
2018-05-31,105020.0
2018-06-01,105005.0
2018-06-04,104950.0
2018-06-05,104920.0
2018-06-07,104310.0
2018-06-08,104355.0
2018-06-11,104435.0
2018-06-12,104440.0
2018-06-14,104425.0
2018-06-15,104515.0
2018-06-18,104590.0
2018-06-19,104625.0
2018-06-20,104645.0
2018-06-21,104745.0
2018-06-22,104745.0
2018-06-25,104770.0
2018-06-26,104730.0
2018-06-27,104750.0
2018-06-28,104875.0
2018-06-29,104905.0
2018-07-02,104880.0
2018-07-03,104840.0
2018-07-04,104885.0
2018-07-05,104965.0
2018-07-06,104940.0
2018-07-09,104975.0
2018-07-10,104990.0
2018-07-11,105065.0
2018-07-12,105040.0
2018-07-13,105035.0
2018-07-16,105055.0
2018-07-17,105040.0
2018-07-18,105055.0
2018-07-19,105070.0
2018-07-20,105105.0
2018-07-23,105130.0
2018-07-24,105055.0
2018-07-25,105115.0
2018-07-26,105145.0
2018-07-27,105005.0
2018-07-30,105020.0
2018-07-31,105010.0
2018-08-01,105020.0
2018-08-02,105080.0
2018-08-03,105100.0
2018-08-06,105105.0
2018-08-07,105180.0
2018-08-08,105175.0
2018-08-09,105280.0
2018-08-10,105370.0
2018-08-13,105345.0
2018-08-14,105345.0
2018-08-16,105350.0
2018-08-17,105505.0
2018-08-20,105540.0
2018-08-21,105785.0
2018-08-22,105700.0
2018-08-23,105675.0
2018-08-24,105685.0
2018-08-27,105705.0
2018-08-28,105705.0
2018-08-29,105745.0
2018-08-30,105700.0
2018-08-31,105850.0
2018-09-03,105865.0
2018-09-04,105890.0
2018-09-05,105915.0
2018-09-06,105600.0
2018-09-07,105580.0
2018-09-10,105605.0
2018-09-11,105555.0
2018-09-12,105645.0
2018-09-13,105590.0
2018-09-14,105485.0
2018-09-17,105470.0
2018-09-18,105440.0
2018-09-19,105350.0
2018-09-20,105230.0
2018-09-21,105245.0
2018-09-27,105310.0
2018-09-28,105370.0
2018-10-01,105325.0
2018-10-02,105365.0
