Date,TIGER LG그룹+펀더멘털
2018-07-05,7355.0
2018-07-06,7370.0
2018-07-09,7480.0
2018-07-10,7570.0
2018-07-11,7575.0
2018-07-12,7500.0
2018-07-13,7640.0
2018-07-16,7595.0
2018-07-17,7645.0
2018-07-18,7660.0
2018-07-19,7765.0
2018-07-20,7790.0
2018-07-23,7690.0
2018-07-24,7790.0
2018-07-25,7855.0
2018-07-26,7970.0
2018-07-27,7935.0
2018-07-30,7935.0
2018-07-31,7945.0
2018-08-01,7995.0
2018-08-02,7995.0
2018-08-03,8100.0
2018-08-06,8040.0
2018-08-07,8040.0
2018-08-08,7955.0
2018-08-09,8040.0
2018-08-10,8050.0
2018-08-13,7870.0
2018-08-14,7885.0
2018-08-16,7975.0
2018-08-17,7955.0
2018-08-20,7945.0
2018-08-21,7970.0
2018-08-22,7875.0
2018-08-23,7890.0
2018-08-24,7940.0
2018-08-27,7925.0
2018-08-28,7940.0
2018-08-29,8010.0
2018-08-30,7915.0
2018-08-31,7925.0
2018-09-03,7865.0
2018-09-04,7915.0
2018-09-05,7905.0
2018-09-06,7820.0
2018-09-07,7750.0
2018-09-10,7770.0
2018-09-11,7700.0
2018-09-12,7690.0
2018-09-13,7795.0
2018-09-14,7835.0
2018-09-17,7765.0
2018-09-18,7755.0
2018-09-19,7730.0
2018-09-20,7730.0
2018-09-21,7730.0
2018-09-27,7880.0
