Date,TIGER 모멘텀
2018-06-20,25150.0
2018-06-21,25085.0
2018-06-22,24925.0
2018-06-25,25210.0
2018-06-26,24995.0
2018-06-27,24915.0
2018-06-28,24805.0
2018-06-29,25030.0
2018-07-02,24535.0
2018-07-03,24490.0
2018-07-04,24275.0
2018-07-05,24155.0
2018-07-06,24415.0
2018-07-09,24205.0
2018-07-10,24590.0
2018-07-11,24395.0
2018-07-12,24580.0
2018-07-13,24890.0
2018-07-16,24875.0
2018-07-17,24350.0
2018-07-18,24045.0
2018-07-19,23795.0
2018-07-20,23810.0
2018-07-23,23385.0
2018-07-24,23765.0
2018-07-25,23735.0
2018-07-26,23985.0
2018-07-27,24025.0
2018-07-30,23990.0
2018-07-31,23665.0
2018-08-01,23970.0
2018-08-02,23570.0
2018-08-03,23890.0
2018-08-06,23480.0
2018-08-07,23475.0
2018-08-08,23385.0
2018-08-09,23375.0
2018-08-10,22975.0
2018-08-13,22715.0
2018-08-14,22965.0
2018-08-16,23155.0
2018-08-17,23385.0
2018-08-20,23255.0
2018-08-21,23735.0
2018-08-22,23525.0
2018-08-23,23865.0
2018-08-24,24230.0
2018-08-27,24700.0
2018-08-28,24540.0
2018-08-29,24645.0
2018-08-30,24545.0
2018-08-31,24650.0
2018-09-03,24435.0
2018-09-04,24670.0
2018-09-05,24470.0
2018-09-06,24375.0
2018-09-07,24315.0
2018-09-10,24405.0
2018-09-11,24615.0
2018-09-12,24505.0
2018-09-13,24450.0
2018-09-14,24685.0
2018-09-17,24345.0
2018-09-18,24350.0
2018-09-19,24420.0
2018-09-20,24320.0
2018-09-21,24410.0
2018-09-27,24585.0
2018-09-28,24585.0
2018-10-01,24465.0
2018-10-02,23945.0
