Date,KODEX 구리선물(H)
2017-09-18,6280.0
2017-09-19,6235.0
2017-09-20,6275.0
2017-09-21,6150.0
2017-09-22,6100.0
2017-09-25,6190.0
2017-09-26,6220.0
2017-09-27,6175.0
2017-09-28,6125.0
2017-09-29,6265.0
2017-10-10,6405.0
2017-10-11,6435.0
2017-10-12,6520.0
2017-10-13,6560.0
2017-10-16,6740.0
2017-10-17,6745.0
2017-10-18,6665.0
2017-10-19,6665.0
2017-10-20,6705.0
2017-10-23,6660.0
2017-10-24,6765.0
2017-10-25,6635.0
2017-10-26,6675.0
2017-10-27,6570.0
2017-10-30,6490.0
2017-10-31,6525.0
2017-11-01,6650.0
2017-11-02,6580.0
2017-11-03,6585.0
2017-11-06,6590.0
2017-11-07,6615.0
2017-11-08,6460.0
2017-11-09,6450.0
2017-11-10,6475.0
2017-11-13,6470.0
2017-11-14,6520.0
2017-11-15,6410.0
2017-11-16,6380.0
2017-11-17,6415.0
2017-11-20,6410.0
2017-11-21,6470.0
2017-11-22,6570.0
2017-11-23,6555.0
2017-11-24,6610.0
2017-11-27,6650.0
2017-11-28,6470.0
2017-11-29,6425.0
2017-11-30,6360.0
2017-12-01,6385.0
2017-12-04,6485.0
2017-12-05,6380.0
2017-12-06,6175.0
2017-12-07,6180.0
2017-12-08,6200.0
2017-12-11,6170.0
2017-12-12,6235.0
2017-12-13,6285.0
2017-12-14,6330.0
2017-12-15,6415.0
2017-12-18,6480.0
2017-12-19,6480.0
2017-12-20,6525.0
2017-12-21,6640.0
2017-12-22,6645.0
2017-12-26,6740.0
2017-12-27,6760.0
2017-12-28,6840.0
2018-01-02,6800.0
2018-01-03,6765.0
2018-01-04,6795.0
2018-01-05,6755.0
2018-01-08,6670.0
2018-01-09,6720.0
2018-01-10,6690.0
2018-01-11,6755.0
2018-01-12,6700.0
2018-01-15,6820.0
2018-01-16,6720.0
2018-01-17,6665.0
2018-01-18,6625.0
2018-01-19,6645.0
2018-01-22,6630.0
2018-01-23,6670.0
2018-01-24,6500.0
2018-01-25,6735.0
2018-01-26,6675.0
2018-01-29,6660.0
2018-01-30,6570.0
2018-01-31,6650.0
2018-02-01,6635.0
2018-02-02,6690.0
2018-02-05,6630.0
2018-02-06,6570.0
2018-02-07,6625.0
2018-02-08,6455.0
2018-02-09,6375.0
2018-02-12,6405.0
2018-02-13,6480.0
2018-02-14,6560.0
2018-02-19,6695.0
2018-02-20,6630.0
2018-02-21,6545.0
2018-02-22,6575.0
2018-02-23,6670.0
2018-02-26,6660.0
2018-02-27,6655.0
2018-02-28,6500.0
2018-03-02,6460.0
2018-03-05,6430.0
2018-03-06,6500.0
2018-03-07,6460.0
2018-03-08,6440.0
