Date,TIGER 200
2017-11-28,33140.0
2017-11-29,33125.0
2017-11-30,32540.0
2017-12-01,32565.0
2017-12-04,32900.0
2017-12-05,33010.0
2017-12-06,32530.0
2017-12-07,32425.0
2017-12-08,32515.0
2017-12-11,32555.0
2017-12-12,32460.0
2017-12-13,32685.0
2017-12-14,32655.0
2017-12-15,32695.0
2017-12-18,32735.0
2017-12-19,32755.0
2017-12-20,32670.0
2017-12-21,32050.0
2017-12-22,32185.0
2017-12-26,32020.0
2017-12-27,32405.0
2017-12-28,32855.0
2018-01-02,32995.0
2018-01-03,33130.0
2018-01-04,32880.0
2018-01-05,33285.0
2018-01-08,33510.0
2018-01-09,33395.0
2018-01-10,33185.0
2018-01-11,33015.0
2018-01-12,33085.0
2018-01-15,33165.0
2018-01-16,33420.0
2018-01-17,33325.0
2018-01-18,33325.0
2018-01-19,33340.0
2018-01-22,33030.0
2018-01-23,33475.0
2018-01-24,33510.0
2018-01-25,33795.0
2018-01-26,33925.0
2018-01-29,34170.0
2018-01-30,33695.0
2018-01-31,33695.0
2018-02-01,33700.0
2018-02-02,33070.0
2018-02-05,32730.0
2018-02-06,32215.0
2018-02-07,31430.0
2018-02-08,31650.0
2018-02-09,30845.0
2018-02-12,31185.0
2018-02-13,31460.0
2018-02-14,31850.0
2018-02-19,32040.0
2018-02-20,31640.0
2018-02-21,31805.0
2018-02-22,31625.0
2018-02-23,32090.0
2018-02-26,32135.0
2018-02-27,32075.0
2018-02-28,31665.0
2018-03-02,31225.0
2018-03-05,30815.0
2018-03-06,31460.0
2018-03-07,31450.0
2018-03-08,31820.0
2018-03-09,32150.0
2018-03-12,32435.0
2018-03-13,32600.0
2018-03-14,32565.0
2018-03-15,32665.0
2018-03-16,32625.0
2018-03-19,32385.0
2018-03-20,32555.0
2018-03-21,32570.0
2018-03-22,32685.0
2018-03-23,31610.0
2018-03-26,31880.0
2018-03-27,32035.0
2018-03-28,31600.0
2018-03-29,31880.0
2018-03-30,31955.0
2018-04-02,31905.0
2018-04-03,31825.0
2018-04-04,31325.0
2018-04-05,31765.0
2018-04-06,31610.0
2018-04-09,31805.0
2018-04-10,31875.0
2018-04-11,31750.0
2018-04-12,31760.0
2018-04-13,31955.0
2018-04-16,32000.0
2018-04-17,31935.0
2018-04-18,32295.0
2018-04-19,32450.0
2018-04-20,32255.0
2018-04-23,32250.0
2018-04-24,32070.0
2018-04-25,31875.0
2018-04-26,32235.0
2018-04-27,32120.0
2018-04-30,32265.0
2018-05-02,32085.0
2018-05-03,31955.0
2018-05-04,31735.0
2018-05-08,31575.0
2018-05-09,31490.0
2018-05-10,31715.0
2018-05-11,31890.0
2018-05-14,31805.0
2018-05-15,31550.0
2018-05-16,31635.0
2018-05-17,31505.0
2018-05-18,31595.0
2018-05-21,31690.0
2018-05-23,31865.0
2018-05-24,31800.0
2018-05-25,31835.0
2018-05-28,31960.0
2018-05-29,31695.0
2018-05-30,30955.0
2018-05-31,31130.0
2018-06-01,31305.0
2018-06-04,31485.0
2018-06-05,31580.0
2018-06-07,31835.0
2018-06-08,31535.0
2018-06-11,31780.0
2018-06-12,31745.0
2018-06-14,31135.0
2018-06-15,30995.0
2018-06-18,30635.0
2018-06-19,30235.0
2018-06-20,30455.0
2018-06-21,30210.0
2018-06-22,30435.0
2018-06-25,30445.0
2018-06-26,30355.0
2018-06-27,30300.0
2018-06-28,29995.0
2018-06-29,30065.0
2018-07-02,29415.0
2018-07-03,29445.0
2018-07-04,29370.0
2018-07-05,29300.0
2018-07-06,29475.0
2018-07-09,29715.0
2018-07-10,29770.0
2018-07-11,29590.0
2018-07-12,29685.0
2018-07-13,30000.0
2018-07-16,29885.0
2018-07-17,29845.0
2018-07-18,29775.0
2018-07-19,29705.0
2018-07-20,29840.0
2018-07-23,29605.0
2018-07-24,29695.0
2018-07-25,29640.0
2018-07-26,29840.0
2018-07-27,29925.0
2018-07-30,29755.0
2018-07-31,29785.0
2018-08-01,29905.0
2018-08-02,29370.0
2018-08-03,29590.0
2018-08-06,29560.0
2018-08-07,29780.0
2018-08-08,29765.0
2018-08-09,29750.0
2018-08-10,29435.0
2018-08-13,29035.0
2018-08-14,29165.0
2018-08-16,28880.0
2018-08-17,28885.0
2018-08-20,28920.0
2018-08-21,29230.0
2018-08-22,29330.0
2018-08-23,29450.0
2018-08-24,29575.0
2018-08-27,29720.0
2018-08-28,29745.0
2018-08-29,29820.0
2018-08-30,29845.0
2018-08-31,29955.0
2018-09-03,29780.0
2018-09-04,29920.0
2018-09-05,29545.0
2018-09-06,29480.0
2018-09-07,29335.0
2018-09-10,29400.0
2018-09-11,29290.0
2018-09-12,29285.0
2018-09-13,29300.0
2018-09-14,29740.0
2018-09-17,29535.0
2018-09-18,29670.0
