Date,close,adj_close
2009.6.25,588000,11760
2009.6.26,596000,11920
2009.6.29,598000,11960
2009.6.30,592000,11840
2009.7.1,603000,12060
2009.7.2,602000,12040
2009.7.3,601000,12020
2009.7.6,634000,12680
2009.7.7,650000,13000
2009.7.8,655000,13100
2009.7.9,650000,13000
2009.7.10,645000,12900
2009.7.13,620000,12400
2009.7.14,634000,12680
2009.7.15,666000,13320
2009.7.16,674000,13480
2009.7.17,670000,13400
2009.7.20,690000,13800
2009.7.21,692000,13840
2009.7.22,688000,13760
2009.7.23,678000,13560
2009.7.24,683000,13660
2009.7.27,699000,13980
2009.7.28,700000,14000
2009.7.29,697000,13940
2009.7.30,714000,14280
2009.7.31,724000,14480
2009.8.3,715000,14300
2009.8.4,725000,14500
2009.8.5,733000,14660
2009.8.6,715000,14300
2009.8.7,716000,14320
2009.8.10,710000,14200
2009.8.11,705000,14100
2009.8.12,693000,13860
2009.8.13,702000,14040
2009.8.14,731000,14620
2009.8.17,713000,14260
2009.8.18,730000,14600
2009.8.19,738000,14760
2009.8.20,740000,14800
2009.8.21,757000,15140
2009.8.24,783000,15660
2009.8.25,775000,15500
2009.8.26,777000,15540
2009.8.27,767000,15340
2009.8.28,764000,15280
2009.8.31,771000,15420
2009.9.1,799000,15980
2009.9.2,784000,15680
2009.9.3,775000,15500
2009.9.4,767000,15340
2009.9.7,773000,15460
2009.9.8,781000,15620
2009.9.9,781000,15620
2009.9.10,791000,15820
2009.9.11,793000,15860
2009.9.14,764000,15280
2009.9.15,769000,15380
2009.9.16,795000,15900
2009.9.17,810000,16200
2009.9.18,806000,16120
2009.9.21,798000,15960
2009.9.22,825000,16500
2009.9.23,820000,16400
2009.9.24,803000,16060
2009.9.25,795000,15900
2009.9.28,796000,15920
2009.9.29,812000,16240
2009.9.30,815000,16300
2009.10.1,792000,15840
2009.10.5,747000,14940
2009.10.6,745000,14900
2009.10.7,722000,14440
2009.10.8,720000,14400
2009.10.9,755000,15100
2009.10.12,749000,14980
2009.10.13,757000,15140
2009.10.14,769000,15380
2009.10.15,775000,15500
2009.10.16,746000,14920
2009.10.19,751000,15020
2009.10.20,752000,15040
2009.10.21,735000,14700
2009.10.22,726000,14520
2009.10.23,745000,14900
2009.10.26,753000,15060
2009.10.27,742000,14840
2009.10.28,720000,14400
2009.10.29,718000,14360
2009.10.30,723000,14460
2009.11.2,718000,14360
2009.11.3,729000,14580
2009.11.4,733000,14660
2009.11.5,712000,14240
2009.11.6,722000,14440
2009.11.9,724000,14480
2009.11.10,727000,14540
2009.11.11,735000,14700
2009.11.12,720000,14400
2009.11.13,714000,14280
2009.11.16,733000,14660
2009.11.17,728000,14560
2009.11.18,750000,15000
2009.11.19,759000,15180
2009.11.20,755000,15100
2009.11.23,759000,15180
2009.11.24,742000,14840
2009.11.25,749000,14980
2009.11.26,743000,14860
2009.11.27,712000,14240
2009.11.30,720000,14400
2009.12.1,737000,14740
2009.12.2,747000,14940
2009.12.3,759000,15180
2009.12.4,762000,15240
2009.12.7,771000,15420
2009.12.8,772000,15440
2009.12.9,778000,15560
2009.12.10,788000,15760
2009.12.11,785000,15700
2009.12.14,779000,15580
2009.12.15,777000,15540
2009.12.16,780000,15600
2009.12.17,765000,15300
2009.12.18,773000,15460
2009.12.21,771000,15420
2009.12.22,781000,15620
2009.12.23,784000,15680
2009.12.24,790000,15800
2009.12.28,787000,15740
2009.12.29,786000,15720
2009.12.30,799000,15980
2010.1.4,809000,16180
2010.1.5,822000,16440
2010.1.6,841000,16820
2010.1.7,813000,16260
2010.1.8,821000,16420
2010.1.11,797000,15940
2010.1.12,809000,16180
2010.1.13,797000,15940
2010.1.14,827000,16540
2010.1.15,842000,16840
2010.1.18,843000,16860
2010.1.19,823000,16460
2010.1.20,834000,16680
2010.1.21,850000,17000
2010.1.22,825000,16500
2010.1.25,842000,16840
2010.1.26,815000,16300
2010.1.27,800000,16000
2010.1.28,808000,16160
2010.1.29,784000,15680
2010.2.1,777000,15540
2010.2.2,772000,15440
2010.2.3,777000,15540
2010.2.4,776000,15520
2010.2.5,750000,15000
2010.2.8,748000,14960
2010.2.9,761000,15220
2010.2.10,755000,15100
2010.2.11,763000,15260
2010.2.12,750000,15000
2010.2.16,756000,15120
2010.2.17,779000,15580
2010.2.18,775000,15500
2010.2.19,760000,15200
2010.2.22,773000,15460
2010.2.23,767000,15340
2010.2.24,752000,15040
2010.2.25,736000,14720
2010.2.26,744000,14880
2010.3.2,770000,15400
2010.3.3,771000,15420
2010.3.4,761000,15220
2010.3.5,775000,15500
2010.3.8,786000,15720
2010.3.9,786000,15720
2010.3.10,784000,15680
2010.3.11,778000,15560
2010.3.12,778000,15560
2010.3.15,768000,15360
2010.3.16,765000,15300
2010.3.17,798000,15960
2010.3.18,797000,15940
2010.3.19,804000,16080
2010.3.22,801000,16020
2010.3.23,809000,16180
2010.3.24,819000,16380
2010.3.25,819000,16380
2010.3.26,820000,16400
2010.3.29,818000,16360
2010.3.30,814000,16280
2010.3.31,818000,16360
2010.4.1,845000,16900
2010.4.2,857000,17140
2010.4.5,870000,17400
2010.4.6,869000,17380
2010.4.7,859000,17180
2010.4.8,863000,17260
2010.4.9,856000,17120
2010.4.12,830000,16600
2010.4.13,828000,16560
2010.4.14,845000,16900
2010.4.15,855000,17100
2010.4.16,848000,16960
