Date,Mkt,SMB,HML,Rf
1989.6.28,-0.015285108,0.003723402,0.010433397,0.000485108
1989.6.29,-0.002985108,0.004196244,0.007871923,0.000485108
1989.6.30,-0.011685108,0.005782713,0.008879612,0.000485108
1989.7.1,-0.010185108,4.76E-05,0.000351701,0.000485108
1989.7.3,0.022714892,-0.008553335,-0.01012475,0.000485108
1989.7.4,0.010214892,-0.003935253,-0.009899281,0.000485108
1989.7.5,-0.001585108,-0.00101595,-0.001775443,0.000485108
1989.7.6,-0.012185108,0.003650712,0.001190325,0.000485108
1989.7.7,0.015714892,-0.005924312,-0.0081179,0.000485108
1989.7.8,-0.005985108,-0.002423498,0.004084897,0.000485108
1989.7.10,-0.004685108,-0.000937652,0.001363068,0.000485108
1989.7.11,0.015214892,0.002083057,-0.002085004,0.000485108
1989.7.12,0.008414892,0.009643246,0.003281537,0.000485108
1989.7.13,-0.000885108,0.006290633,0.004566523,0.000485108
1989.7.14,-0.000885108,-0.001129298,0.002260035,0.000485108
1989.7.15,0.013014892,-0.010384778,0.003632139,0.000485108
1989.7.18,0.002514892,-0.008102842,-0.003055449,0.000485108
1989.7.19,-0.007585108,-0.000309621,0.002631512,0.000485108
1989.7.20,0.001696531,-0.00209273,-0.001896259,0.000403469
1989.7.21,-0.003620122,-0.001366597,0.000882793,0.000320122
1989.7.22,-0.005787028,0.001380248,0.002729182,0.000287028
1989.7.24,-0.002967502,-0.001838165,0.004595228,0.000467502
1989.7.25,0.009232498,-0.000432462,-0.004620615,0.000467502
1989.7.26,-0.002767502,0.004940164,0.000820828,0.000467502
1989.7.27,-0.005267502,0.006888828,0.005032288,0.000467502
1989.7.28,0.00482897,-0.006743794,-0.004473719,0.00047103
1989.7.29,-0.003767502,0.00308083,0.001434879,0.000467502
1989.7.31,0.000832498,-0.00121031,0.001002519,0.000467502
1989.8.1,-0.005667502,-0.000997864,0.001937005,0.000467502
1989.8.2,0.003232498,-0.002103928,-0.005438123,0.000467502
1989.8.3,-0.004267502,0.002968477,-0.00017584,0.000467502
1989.8.4,-0.002067502,-0.00150729,-0.003320724,0.000467502
1989.8.5,0.008732498,-0.001137618,-0.002116938,0.000467502
1989.8.7,0.00309823,-0.003810993,-0.00067464,0.00030177
1989.8.8,0.005532498,-0.006561524,-0.005679613,0.000467502
1989.8.9,0.009232498,-0.003045225,0.000880762,0.000467502
1989.8.10,0.001932498,0.000105728,0.003109235,0.000467502
1989.8.11,-0.003767502,0.004919869,0.002377188,0.000467502
1989.8.12,-0.000367502,0.00204476,0.003053469,0.000467502
1989.8.14,-0.000867502,0.002651007,0.003738158,0.000467502
1989.8.16,-0.009367502,0.001947408,0.000437888,0.000467502
1989.8.17,-0.001467502,0.001149368,0.003280362,0.000467502
1989.8.18,-0.003667502,0.006471204,-0.001150898,0.000467502
1989.8.19,0.000975072,0.006147548,-9.77E-05,0.000424928
1989.8.21,0.002585787,0.005444852,-0.000525359,0.000414213
1989.8.22,0.013571507,-0.006851413,-0.008458249,0.000428493
1989.8.23,0.014050182,-0.009930282,-0.012587418,0.000449818
1989.8.24,0.020150182,-0.018079786,-0.007412892,0.000449818
1989.8.25,-0.006849818,0.00290746,0.001868029,0.000449818
1989.8.26,0.015950182,-0.01716497,-0.010465752,0.000449818
1989.8.28,0.013250182,-0.01982897,-0.007540234,0.000449818
1989.8.29,0.002257278,-0.011693872,0.003877836,0.000442722
1989.8.30,0.006853728,-0.015094068,-0.000775476,0.000446272
1989.8.31,-0.008849818,0.013521512,0.001071645,0.000449818
1989.9.1,0.008550182,-0.007512876,0.003694984,0.000449818
1989.9.2,-0.002949818,0.002460723,0.002232449,0.000449818
1989.9.4,-0.007124928,0.003083376,-0.005554045,0.000424928
1989.9.5,-0.003707053,-0.003738726,0.00469766,0.000407053
1989.9.6,-0.010809121,0.006625947,0.004821121,0.000309121
1989.9.7,-0.004987028,-0.000907128,0.000576461,0.000287028
1989.9.8,0.005953728,-0.009918906,-0.001477887,0.000446272
1989.9.9,-0.001932055,-0.002138815,0.000778972,0.000432055
1989.9.11,-0.003532055,-0.001157625,-0.001085668,0.000432055
