Date,adj_close,Mkt,SMB,HML,RMW,CMA,MOM,Rf
2005.11.2,11500,0.016163477,-0.002437266,-0.006624452,-0.000577345,-0.000313661,0.003225464,0.000136523
2005.11.3,11740,0.007763477,-0.001541559,-0.008901693,0.000234286,0.001306546,-0.002366034,0.000136523
2005.11.4,11980,0.003165011,0.005909837,-0.009663405,0.005498629,-0.00020844,-0.006901519,0.000134989
2005.11.7,12000,-0.003039206,0.017197899,-0.00352642,-0.002588719,0.004610106,0.00149382,0.000139206
2005.11.8,12060,0.006663861,0.003711248,-0.000794412,0.003766678,0.008996664,0.000691695,0.000136139
2005.11.9,12020,0.000563861,0.004006628,-0.002827628,0.001795652,-0.002704384,-0.000351387,0.000136139
2005.11.10,12100,0.005463861,0.00302785,-0.000933782,0.00146577,0.002885739,-0.003450465,0.000136139
2005.11.11,12360,0.017463861,-0.012638549,0.001067422,0.004724354,0.008050102,-0.004394715,0.000136139
2005.11.14,12520,0.001063861,0.0038807,-0.0007582,0.000589703,0.006913897,0.001779414,0.000136139
2005.11.15,12420,-0.003136139,0.003164213,0.00102659,0.006313586,0.002911358,-0.001911165,0.000136139
2005.11.16,12600,0.010463861,0.000331731,0.00473548,0.004620277,0.002639992,-0.004550658,0.000136139
2005.11.17,12480,0.001563861,0.009998061,0.00042654,0.0028576,0.007837495,0.004281391,0.000136139
2005.11.18,12540,0.002163861,0.009504215,0.000620713,-0.002175783,-0.001934053,1.16E-05,0.000136139
2005.11.21,12420,-0.002834222,0.00873378,0.006841477,0.002570889,9.98E-05,0.000944074,0.000134222
2005.11.22,11800,-0.019336523,0.014435758,-7.68E-05,0.007233682,0.004890004,0.007769815,0.000136523
2005.11.23,12140,0.029963861,-0.010814092,0.002377632,0.001303204,0.002973428,-0.001811484,0.000136139
2005.11.24,12160,0.007463861,0.002559917,0.001814865,0.001451147,0.007615595,0.004776527,0.000136139
2005.11.25,12000,0.001063861,0.00415254,0.000260575,0.004972524,-0.008948054,0.003985374,0.000136139
2005.11.28,12020,0.000263861,0.010274451,-0.010400271,0.004738012,-0.012971789,0.002732988,0.000136139
2005.11.29,11880,-0.011236139,0.001479744,-0.001895487,0.004098277,-0.004453795,-0.002471883,0.000136139
2005.11.30,11960,0.013963477,-0.00060167,-0.005079787,-0.002782069,-0.002984002,0.004217859,0.000136523
2005.12.1,12120,0.006463477,0.007886787,-0.005367745,-0.003945802,0.004679836,-0.002384011,0.000136523
2005.12.2,12340,0.003063861,0.007283056,-0.010320755,-0.003494429,-0.001854932,-0.006019692,0.000136139
2005.12.5,12440,0.003664244,0.016276118,-0.006377233,0.009635959,0.005254746,-0.000630592,0.000135756
2005.12.6,12600,0.004366162,0.002292694,-0.003970272,0.005011991,0.005064192,-0.006791777,0.000133838
2005.12.7,12820,0.00266156,-0.019382883,0.006535651,-0.004984794,-0.000425457,-0.008910979,0.00013844
2005.12.8,12660,-0.000545333,-0.00780771,0.008752118,0.0058147,0.003855145,0.003354453,0.000145333
2005.12.9,12440,-0.005245333,0.00609463,0.00728306,0.003683459,0.001769621,0.007428472,0.000145333
2005.12.12,12360,0.011854667,-0.000711688,-0.001560921,-0.000366031,-0.003073951,0.003224858,0.000145333
2005.12.13,12360,0.002254285,0.002887658,-0.00017566,0.001659553,0.003736036,-6.99E-05,0.000145715
2005.12.14,12180,-0.001846098,0.012063357,-0.000212542,0.010892479,0.008351051,0.008436199,0.000146098
2005.12.15,12180,0.002454285,0.003252422,0.010651916,0.006307633,0.014474001,0.001313045,0.000145715
2005.12.16,12040,-0.012545715,-0.021436454,0.010505507,-0.003171761,0.002889763,-0.012475922,0.000145715
2005.12.19,12160,0.013754285,-0.006341416,0.003208846,-0.002552103,-0.001330382,-0.002742644,0.000145715
2005.12.20,12240,0.001053902,-0.001775375,0.001905291,0.005475828,0.001409994,-0.006560815,0.000146098
2005.12.21,12560,0.009655815,0.004040441,-0.007938584,0.000384273,-0.000115437,-0.002261398,0.000144185
2005.12.22,12680,-0.00254495,-0.030044248,0.006517875,-0.013493759,0.000367839,-0.005109134,0.00014495
2005.12.23,12900,0.006254285,-0.011460618,-0.00426237,-0.003311057,-0.001588426,0.000205166,0.000145715
2005.12.26,13080,0.005753902,0.003352199,-0.010755496,-0.00654862,-0.003686922,0.001691037,0.000146098
2005.12.27,13240,0.004254285,-0.005992712,2.41E-05,-0.005107526,0.002005129,-0.001281977,0.000145715
2005.12.28,13220,-0.004045715,0.005040411,-0.014159474,0.011180735,0.003160107,-0.00234189,0.000145715
2005.12.29,13180,0.008053902,-0.004641364,0.004262119,0.008059424,-0.0006948,0.010043656,0.000146098
2006.1.2,13180,0.007054285,0.016374481,-0.020356359,0.018206688,0.013653354,0.002388383,0.000145715
2006.1.3,13300,0.003854285,0.003774298,-0.006851865,7.59E-05,-1.10E-05,0.003662297,0.000145715
2006.1.4,13980,0.005054285,-0.000643666,-0.006198376,-0.010769708,0.000627396,-0.019626925,0.000145715
2006.1.5,13580,-0.00484495,-0.007686567,0.011389631,0.004789017,0.003409237,0.01032348,0.00014495
2006.1.6,13740,0.012254285,-0.005337726,0.002618677,0.003579827,0.014673724,0.001429485,0.000145715
2006.1.9,13760,-0.003245715,0.002202219,-0.000111106,-0.005148394,0.000269535,-0.000158828,0.000145715
2006.1.10,13960,-0.008646098,0.00642416,-0.005307705,0.001206089,0.00086938,-0.001932691,0.000146098
2006.1.11,13660,-0.001745715,-0.00068579,0.009527791,0.005339817,0.005537368,0.007232357,0.000145715
2006.1.12,13680,0.005954285,-0.007601692,0.010139992,-0.004046192,0.00513799,0.000509993,0.000145715
2006.1.13,13880,0.009654667,-0.003523811,0.001838983,0.005118219,0.008412997,-0.002580137,0.000145333
2006.1.16,14120,0.003754285,0.003341517,-0.002923443,0.010269481,-0.001133241,-0.000822836,0.000145715
2006.1.17,13940,-0.022845333,0.005954509,0.001128814,-0.010101231,-0.005708798,-0.008803845,0.000145333
2006.1.18,13600,-0.026545715,-0.019414267,0.009329411,-0.002097249,-0.001742318,-0.007073596,0.000145715
2006.1.19,13780,0.005555433,-0.004950116,0.007687054,-0.001546764,0.004892249,-0.007218406,0.000144567
2006.1.20,13740,-0.02654648,-0.016484303,-0.002282131,-0.012366669,-0.012724284,-0.015342613,0.00014648
2006.1.23,13700,-0.020745715,-0.069065687,0.011539422,-0.026916384,-0.01836182,-0.014812001,0.000145715
2006.1.24,13960,0.022554285,-0.000652153,-0.00892102,-0.001304247,0.004038932,0.008857542,0.000145715
2006.1.25,14280,0.011753902,0.028004614,-0.006745693,0.000533037,0.002395812,-0.001872017,0.000146098
2006.1.26,14320,0.00745352,0.013558885,-0.006232955,0.004004323,0.01320585,-0.000432607,0.00014648
2006.1.27,14400,0.023353902,0.012802284,-0.006137463,0.010495195,0.00445299,0.005613002,0.000146098
2006.1.31,14800,0.01085352,0.008516458,-0.005819422,-0.004438189,-0.000792997,-0.000659954,0.00014648
2006.2.1,14600,-0.017146098,-0.019283699,0.004959891,-0.013283193,-0.003080264,-0.00675572,0.000146098
